text,start,duration
Back again with this weeks video,3.46,1.88
this week we're going to learn how to use the lancing device and a blood glucose meter,5.42,4.16
but most importantly I'm going to teach you some really useful tips that everybody should know,9.66,4.16
so this is my lancing device they are used to obtain a sample of blood usually from the finger,16.3,6.2
"for our blood glucose meter here's the
first tip wash your hands with warm",22.54,3.64
"water and normal soap before you begin
and make sure you dry them now warming your",26.2,4.28
"hands gives the puncture site better
blood flow so it's easier to collect a",30.52,3.8
"sample rubbing your hands also helps
with this to load the lancing device",34.34,3.94
"it's pretty simple you first twist this
cap off then you get yourself a lancet",38.3,4.72
"that hasn't been used pop it in so the
grooves are in line next twist this cap",43.04,4.48
"off and now the needle is visible so
please be careful next get this cap pop",47.54,5.08
"it back on twist it on it should click
and that's it",52.64,3.4
tip two use a new lancet every time you use your lancing device (aww sound effect) I know I know,56.1,5.6
"it's time-consuming but remember this
every time you use your lancet the",61.72,3.74
"needle becomes dull so one it's gonna
hurt more and two you're at risk of a",65.48,4.14
"skin infection next is the depth
indicator which is the thing that I'm",69.64,3.46
"twisting here and it adjusts just how
deep the lancet tip will go into your",73.12,3.94
"finger now this isn't something that I
can teach you on a video you'll have to",77.08,3.2
"do it a couple of times to get the correct
setting for yourself tip 3 this is what",80.3,4.56
"we call the pad of the finger it has
more nerve endings compared to the side",84.88,3.62
"so for less pain when using this go for
the sides and switch fingers regularly",88.52,4.9
"to prevent thickening of the skin if
you're still in pain when you're using",93.44,3.18
"this then speak to your healthcare
professional about getting thinner",96.64,2.72
lancets and lastly pull the sliding barrel back,99.38,3.04
"so it locks into place the spring-loaded
lancet that we fitted earlier place it",102.44,4.78
"on your skin firmly and click the button
so it releases the lancet to puncture",107.24,4.8
your skin for the blood sample,112.06,1.42
so often I see patients blood glucose,115.8,2.199
"meters and their control solution has
never even been opened if you're not",118.02,4.14
"testing your machine or your test strips
how can you be sure you're getting the",122.18,3.52
"right readings ""do you want me to do your next scene?"" sure",125.72,3.92
"so tip 4 was meant
to be them by Lewis in the last scene but",129.68,3.04
"he couldn't remember his parts so I'll just
have to do it so perform a control",132.74,3.28
"solution test each time you open a new
vial of test strips or you feel like",136.04,3.74
"your meter isn't working properly let's
say it's giving unexpected results or",139.8,3.54
"you may have dropped it or damaged it
now I've left more information in the",143.36,3.46
description below about this,146.84,1.52
"so, so continuing on from our lancing device",150.98,3.14
"part to test our blood glucose we need to
get few things ready so we need a",154.14,4.08
"glucose monitor it's specific test
strips that are in date a primed and ready",158.24,4.82
"to use lancing device which we did
earlier a cotton wool pad a yellow sharps",163.08,5.14
"bin and a monitoring diary so we can
put our results in at the end",168.24,3.52
"next remove a test strip from the vial
and insert it into your blood glucose",171.78,4.38
"meter it should switch on at this point
and warm up and it will tell you when",176.18,3.7
"it's ready for your blood sample now
word of warning for the next scene there",179.9,3.52
"will be a little bit of blood so if you
don't like the sight of blood skip",183.44,3.16
"forward maybe about 30 seconds I'll put
the information in the description too",186.62,3.76
"now let's do it place the lancet device
firmly on the side of your finger press",190.4,4.76
"the release button and remove the device
from the puncture site warming up your",195.18,3.459
"hands makes it easier to get blood
without applying pressure if necessary",198.66,3.72
"apply very light pressure to the
surrounding area until a blood drop",202.4,4.0
"appears now wipe away the first drop of
blood with a clean cotton swab with the",206.4,4.72
"second drop of blood be careful not to
smear it make sure your meter is ready",211.14,3.82
"and gently touch the blood drop with the
test strip to collect a blood sample the",214.98,3.819
"test strip will draw the blood towards
itself after a few seconds the meter",218.82,4.2
"will display your blood glucose level
write this down with any other",223.04,3.259
"information in the monitoring diary or
update your electronic records tip 5",226.32,4.32
"diabetic patients tend to build up a
collection of different blood glucose",230.68,3.68
"meters over the years but it's really
important to only ever use one blood",234.38,4.039
"glucose meter to build up a trend of
results if you're going to use",238.44,3.42
"different machines you're going to end
up with slightly different results and",241.88,2.86
that's not a good thing and that's how it's done one,244.76,2.58
"last thing before I go
make sure to remove your used test strips",247.36,3.22
"and lancet and put them in your yellow
sharps bin the safest way to remove your",250.6,4.7
"lancet is by placing the lancet cap on a
hard surface and pushing the lancet",255.32,4.06
"needle into it now it's no longer
exposed and easy to remove so let me",259.4,4.62
"know how you get on my guide by leaving
a comment below because I'd love to read it",264.06,3.84
thanks for watching,267.98,1.48
"hey guys thanks for watching this week's
video",272.18,1.9
"make sure to click that like follow or
subscribe button now to stay up to date",274.1,4.06
with new weekly videos,278.18,1.94
"tip 5, can't say it a yellow
sharps bin and our monitoring diary",280.14,4.94
to input our results in who says input (Laughter) testing your glucose meter or your test,285.1,5.78
"strips how can you be sure that the
phone isn't gonna ring",290.9,3.3
