text,start,duration
so today we're going to talk about his,18.58,4.499
insulin resistance because that's really,21.46,5.369
the heart of type 2 diabetes and this is,23.079,6.75
my disclosure so I don't really have any,26.829,6.75
commercial interest so type 2 diabetes,29.829,5.76
is a really important disease because it,33.579,4.561
causes most or is associated with most,35.589,4.65
of the diseases that we care about today,38.14,3.54
which is heart disease cancer,40.239,5.011
Alzheimer's disease and so on but we,41.68,5.55
really have to think about this insulin,45.25,3.659
resistance and a new paradigm because,47.23,3.27
the one that we've been taught the one,48.909,3.121
that we understand actually isn't the,50.5,4.079
one that's really true and so type 2,52.03,4.649
diabetes is a disease with two phases,54.579,5.94
right so there's if you look at the time,56.679,6.031
course of the blood glucose before the,60.519,3.901
diagnosis of type 2 diabetes there's,62.71,3.78
actually two phases so there's a long,64.42,3.99
slow phase where the blood glucose Rises,66.49,3.84
very very slowly and that's where the,68.41,4.89
insulin resistance is rising okay but,70.33,5.039
the body produces enough insulin to,73.3,4.5
overcome this resistance so the blood,75.369,4.201
glucose stays relatively normal it's,77.8,3.39
compensated right so it's called a,79.57,4.74
compensatory hyperinsulinemia at some,81.19,6.989
point the the pancreas doesn't produce,84.31,6.03
sufficient insulin either the insulin,88.179,4.591
resistance is too high or the the amount,90.34,4.83
of insulin drops so because you lose,92.77,4.23
this compensation the blood glucose goes,95.17,3.809
up in type 2 diabetes is diagnosed but,97.0,4.229
that's relatively late in the game the,98.979,4.89
slide shows you that even up to 14 years,101.229,4.681
prior to the diagnosis of type 2,103.869,3.691
diabetes you get this rising insulin,105.91,4.049
resistance so you can see this when you,107.56,5.369
look across the spectrum of lean people,109.959,4.681
and hope these people then as they,112.929,4.2
develop more and more pre-diabetes and,114.64,4.589
diabetes insulin resistance goes up and,117.129,4.77
up and this is a slide of the beta cell,119.229,4.021
so the beta cell in the pancreas,121.899,3.541
produces insulin and this is the black,123.25,3.81
circles you can see as you go across a,125.44,3.72
spectrum from normal to obese to,127.06,4.44
pre-diabetes to diabetes insulin,129.16,5.219
production initially goes up so as you,131.5,4.89
go to the middle the black circles you,134.379,3.481
can see that it goes up but at some,136.39,3.989
point it drops and the white circles is,137.86,3.75
the blood glucose and you see as the,140.379,3.781
insulin production drops the blood,141.61,3.84
glucose goes up and you make the,144.16,3.66
diagnosis of type 2 diabetes but the key,145.45,4.29
problem there's two key problems right,147.82,3.36
is the resistance and the beta cell,149.74,2.31
dysfunction,151.18,3.45
and for this reason people tell you that,152.05,4.89
the beta cells are burning out right and,154.63,4.56
that's why type 2 diabetes is chronic,156.94,4.56
and progressive and eventually you know,159.19,4.59
you take medication and you take insulin,161.5,3.99
they take more insulin and Martinson,163.78,3.81
more insulin and that's the way we tell,165.49,3.95
people to think about type-2 diabetes,167.59,5.25
unfortunately it's not really true so,169.44,5.74
the key is to understand what insulin,172.84,6.39
resistance actually is okay where does,175.18,6.78
it come from how does it develop so in,179.23,4.2
order to understand insulin resistance,181.96,2.64
