text,start,duration
"Hey, guys.",1.73,1.0
"In this video we're going to talk about low
potassium.",2.73,2.49
Why?,5.22,1.32
"Because potassium is probably the number one
deficiency with most people, but it's the",6.54,5.05
hardest to detect.,11.59,1.04
"Because when you take a blood test, most of
the potassium, 98% of your potassium is inside",12.63,6.739
"the cell, not outside the cell.",19.369,1.771
"So when they do a blood test, it's not going
to show up unless it's really, really, really",21.14,4.42
extreme.,25.56,1.27
"The type of testing you would have to do would
be an intracellular test.",26.83,3.32
It's very sophisticated.,30.15,1.549
"People don't really ask for it, doctors probably
don't even know about it, but there is a test",31.699,3.981
that you can do.,35.68,1.0
But I like to go by symptoms.,36.68,1.44
Here are some of the symptoms of low potassium.,38.12,2.239
"And by the way, this is not Vitamin K.",40.359,2.831
This is a chemical symbol of potassium.,43.19,2.58
It's a K+.,45.77,1.289
"When you're low potassium, the blood pressure
will increase.",47.059,3.59
Why?,50.649,1.0
Because potassium is a physiological relaxer.,51.649,1.951
It's a tranquilizer.,53.6,1.27
It calms things down.,54.87,2.83
Muscle cramps.,57.7,1.39
Because potassium is an electrolyte.,59.09,2.48
Sugar cravings.,61.57,1.0
Why?,62.57,1.0
"Because potassium helps you store sugar, and
it will actually help you get rid of sugar",63.57,5.26
"cravings, because the storage of glucose needs
potassium.",68.83,7.12
Constipation.,75.95,1.29
Yeah.,77.24,1.3
That's another symptom of low potassium.,78.54,2.7
"And then, high insulin.",81.24,2.53
"There's a relationship between sugar, blood
sugars, diabetes and potassium.",83.77,5.05
"In fact, when you have enough potassium, the
need for insulin goes down.",88.82,4.93
"So I always recommend potassium for diabetic
clients.",93.75,5.44
This is another one.,99.19,1.0
Muscle weakness.,100.19,1.0
"You could have this unexplainable muscle weakness
and not know why.",101.19,2.76
Why?,103.95,1.0
"Because the electrolytes are needed to help
the muscles contract.",104.95,4.66
And that's why you have abnormal heartbeat.,109.61,2.35
Because the heart is a muscle.,111.96,2.28
Same thing with this muscle.,114.24,1.3
Same thing with that muscles.,115.54,2.23
"These abnormal heartbeats, for example, like
atrial fibrillation, arrhythmias, that's a",117.77,7.9
"combination of a deficiency of potassium and/or
magnesium.",125.67,5.229
Anxiety.,130.899,1.641
"And sleeping problems, because potassium is
something to calm you down.",132.54,4.699
"If you're doing something that doesn't involve
a lot of � Like, some diet that doesn't",137.239,4.61
"involve enough potassium, you can start manifesting
a lot of these symptoms.",141.849,4.67
"Now, let's just go into what causes low potassium.",146.519,3.991
"Well, if you are sick and you vomit or, let's
say, you're a bulimic, that can cause that.",150.51,6.52
"Or maybe you're just not eating enough in
your diet.",157.03,2.45
"Now, you might say, ""Well, I eat bananas.""",159.48,2.569
Right?,162.049,1.0
"Well, bananas only have 300 mg.",163.049,5.39
"You need 4,700 mg per day to hit your regular
amount that you need.",168.439,9.511
"You would have to consume 12 bananas, 11 bananas.",177.95,3.759
We don't want all that sugar.,181.709,2.821
"So what we want to do is we want to consume
our potassium from vegetables, from salad.",184.53,5.769
"And you're going to need about seven to 10
cups.",190.299,2.58
"If you watch my other videos, I talk about
that.",192.879,2.351
It's not that hard.,195.23,1.099
You just have a couple big salads.,196.329,1.211
"If you don't like salad, take kale, maybe
a little bit of berry, blend it with water,",197.54,5.24
and drink your salad.,202.78,2.51
That'll get the potassium in there.,205.29,1.41
So we want to start to increase that.,206.7,1.81
And that's how we increase it from the diet.,208.51,1.589
"You're going to feel a lot better, too.",210.099,1.791
"Because if you're doing like an Atkins diet,
high protein, you're going to definitely need",211.89,5.019
potassium.,216.909,1.0
"You're going to start feeling weakness, because
you don't have enough potassium.",217.909,7.06
"Ketosis is the state of fat-burning when you're
eating more fat, no carbs, and you can become",224.969,6.501
"deficient in potassium from that, too.",231.47,2.919
"That's why they always modify the ketosis
diet, and I make sure that we have enough",234.389,3.85
greens and vegetables to help balance that.,238.239,4.12
"Also, potassium is necessary for the digestion
and breakdown and buildup of protein.",242.359,11.11
"People that are losing their hair, for example,
and they're eating just protein thinking that",253.469,4.481
"they're going to get their hair back, without
potassium, sorry, it doesn't work.",257.95,4.33
So we've got diuretics.,262.28,1.09
"Say, you're out of blood pressure medication.",263.37,2.36
"Well, you're going to deplete your potassium
and keep the blood pressure there.",265.73,4.43
Interesting.,270.16,1.0
That's the diuretic.,271.16,2.82
That's one of the side effects.,273.98,1.32
"So you better make sure that your diuretic
is not pulling out potassium and you're not",275.3,5.36
putting it back in.,280.66,1.53
High cortisol.,282.19,1.0
That's stress.,283.19,2.25
Stress can also deplete potassium.,285.44,2.4
"In fact, I've had people do advanced testing
on their potassium levels, and they are eating",287.84,8.09
"a tremendous amount of potassium, but because
they're under a tremendous amount of stress,",295.93,5.3
their potassium stays low.,301.23,2.97
"Because with the adrenal, it's almost like
you have a hole in the bucket and the potassium",304.2,3.35
goes right through.,307.55,1.98
"Again, when you're under stress, you need
even more potassium.",309.53,4.76
"Anyway, this potassium is really important.",314.29,3.03
I forgot one.,317.32,1.53
"It's also high insulin will cause a low potassium,
and that's sugar.",318.85,6.02
So let's just add that to the list.,324.87,2.37
Consuming sugar will deplete your potassium.,327.24,2.55
And you can even feel it in your heartbeat.,329.79,1.8
"It starts to go boom, boom, boom, boom, fast.",331.59,3.29
"A strong heartbeat, you can hear it in your
inner ear.",334.88,3.51
"That is a sign of low potassium because you
just ate a lot of sugar, and you need to start",338.39,4.35
consuming more salad to put that back.,342.74,3.82
