text,start,duration
"Hey guys, in this video we're going to talk
about how to fix hypoglycemia, all right?",0.199,3.421
"Now, what is hypoglycemia?",3.62,1.989
"Hypoglycemia is a situation where the blood
sugars go too low.",5.609,3.99
"Normally in the body you should have blood
sugars of 100.",9.599,3.691
What does that mean?,13.29,1.469
I'll give you a little comparison.,14.759,1.591
"If you were to weigh let's say 180 pounds,
you'd have about a gallon and a half of blood",16.35,5.89
in your entire body.,22.24,1.35
"The amount of sugar that would be diluted
in there to equal 100 would be about one teaspoon,",23.59,6.06
so it's really very small amounts of sugar.,29.65,2.15
"And it doesn't mean you have to eat sugar,
your body can make sugar from other types",31.8,5.31
"of things, like protein, even fat.",37.11,2.04
"So it's not that you even have to eat any
sugar at all.",39.15,3.25
"But the point is that we need this normal
blood sugar to maintain fuel in the body.",42.4,4.98
"Okay, it should be 100.",47.38,1.2
"When it drops down below 70 that's when you
start getting the symptoms of hypoglycemia.",48.58,5.41
"Brain fog, cravings for sweets, anxiety, fatigue,
shakiness, weakness.",53.99,6.8
"It's kind of like if you have kids, you know,
and let's say you're bringing them grocery",60.79,4.64
"shopping with you when they're hungry and
tired.",65.43,2.219
"They're going to experience all these, specifically
irritability, right?",67.649,4.201
"And that's how low blood sugar ... And they're
just going the go a little crazy on you.",71.85,4.659
"The point is that when those blood sugars
crash it pushes you out of the present and",76.509,3.912
"you don't think rationally, and you'll eat
things that you end up regretting.",80.421,4.959
"Here's what happens, and this is the problem,
is that the doctors, the medical profession",85.38,6.46
"is telling people to keep some candy in their
pocket, or glucose tablets.",91.84,5.689
"In case your blood sugars run low, go ahead
and take some candy and bring 'em back up.",97.529,4.921
And these are even diabetics.,102.45,4.0
They're looking at this problem very superficially.,106.45,1.829
"It's kind of like if you stub your toe, and
well here, just take a pain pill every time",108.279,6.91
you stub your toe.,115.189,1.27
"But like, why don't we just look at why you're
stubbing your toe in the same spot?",116.459,3.881
"The why is this: if you're taking medication
and it's spiking it ... insulin too high and",120.34,8.389
"your blood sugars are coming down too fast,
it could be that you're taking too much medication.",128.729,6.161
You just need to lessen the medication.,134.89,1.76
"Rather than try to correct it at the blood
sugar level to add more sugar into the mix",136.65,5.169
"which will create more problem, why not just
take a little less next time to even it out.",141.819,5.37
That's one solution.,147.189,1.531
"Next solution is to get out of the diet what
triggers this in the first place, and I have",148.72,5.739
"a ton of videos on that, I'll put them down
below.",154.459,1.75
"You know, the sugars, refined carbohydrates,
and things like that.",156.209,3.76
"But I want to tell you an equally important
thing.",159.969,2.85
"It has to do with the opposing hormone to
insulin.",162.819,5.67
"Insulin reacts to glucose, and what it does
is it lowers blood sugar.",168.489,7.401
"So there's a hormone that does the opposite,
and it's made by the pancreas.",175.89,5.88
"Insulin is made by the pancreas, but this
hormone is also made by the pancreas too,",181.77,4.53
