text,start,duration
It is time!,0.0,1.079
We have arrived at the final conflict.,1.079,2.15
The battle royale.,3.229,1.351
"A fight to the…well, hopefully not death,
but a big fight anyway.",4.58,3.7
"It only seems fitting that we spend this,
our last episode of anatomy and physiology,",8.28,4.19
"talking about one of your body’s last-ditch
efforts to defend itself, at all costs.",12.47,4.2
"This is what happens when all the other failsafes
have failed.",16.67,3.45
"Your skin and mucous membranes did what they
could, as physical barriers against infection. And",20.12,4.44
"your humoral immune response cranked out antibodies,
in an effort to keep your interstitial spaces healthy.",24.56,4.58
"But when those systems weren’t enough, your
cells themselves were breached. And pathogens",29.15,4.429
"and abnormalities began to run amok where
antibodies could not get to them.",33.579,3.931
"Now, it becomes the business of your cell-mediated,
or cellular immune response.",37.51,4.469
"And that’s where stuff gets real. Where
cell fights cell.",41.979,3.62
And where the heroes look like T lymphocytes.,45.6,2.56
"These lymphocytes, known on the streets as
T cells, go after body cells that have been",48.17,3.979
"hijacked by things like viruses, or bacteria,
or become cancerous.",52.149,3.09
"T cells cause inflammation, activate macrophages,
get other T cells fired up, and generally",55.239,4.28
regulate much of the immune response.,59.52,1.8
"Which is important, because -- of all the
ways in this course that we have described",61.32,3.66
"how you could die -- two that we’ve neglected
to mention are what happens if your body completely",64.989,4.651
"fails to protect itself, and what happens
if your immune system goes rogue, and attacks",69.64,3.96
"your own, healthy cells.",73.6,1.33
"But even when they’re functioning well,
some of your immune cells are careening around",74.93,3.38
"your body like miniature, biological versions
of Mad Max war boys.",78.31,3.839
"Amped up on signaling chemicals, scouring
the terrain for hostiles, and covered from",82.149,3.941
"top to bottom in the dismembered parts of
the enemies that they have vanquished.",86.09,3.319
"They’re out to protect all of the tissues
and organs and systems that we’ve been talking",89.409,3.2
about for the past 46 weeks.,92.609,1.69
And these guys play for keeps.,94.3,1.5
"If there are cells in your body that look
and act like they’re from some post-apocalyptic",106.32,3.86
"hellscape, it’s gotta be the cells in your
immune system.",110.189,2.61
"Aside from the fact that they go around literally
eating their enemies, and have names like",112.799,4.02
"“natural killers,” some of these cells
are dressed for the part, too.",116.819,3.48
"Specifically, they go around wearing parts
of the organisms that they’ve killed, so",120.3,3.9
others can see them.,124.2,1.479
"Sounds a little bit messed up, but we’re
talking life and death here. The stakes are high.",125.679,3.44
