text,start,duration
"Hello, everybody.",0.55,1.0
My name is Dr. Talia Marcheggiani.,1.55,2.61
"I'm recording to you guys from my clinic in
Bloor West Village.",4.16,4.8
It's called Bloor West Wellness Clinic.,8.96,2.89
"And today I want to talk to you guys about
one of my favourite conditions to treat when",11.85,4.55
it comes to naturopathic medicine.,16.4,2.62
"And this condition is called Polycystic Ovarian
Syndrome.",19.02,4.13
"And this is an endocrine, or hormonal condition,
and it affects about 10% of women.",23.15,3.699
"It's the most common cause of hormonal imbalance
in women of menstruating age.",26.849,6.431
"And it's a syndrome, so it's not a disease.",33.28,2.98
"There's a different constellation of symptoms
that arise with it and this could be one of",36.26,5.13
the causes of infertility in a lot of women.,41.39,4.01
"And because the symptom pictures are so diverse,
it's really hard for a lot of women to be",45.4,5.889
"suspected for a diagnosis of PCOS, or polycystic
ovarian syndrome.",51.289,5.02
"So, PCOS, the hallmark, the diagnostic criteria,
based on the Rotterdam Criteria, is having",56.309,9.711
"either two of these three symptoms: anovulation
or oligomenorrhea, which means having periods",66.02,6.62
that are irregular.,72.64,1.81
"So, either having more than one period per
month or missed cycles and long cycles of",74.45,6.77
6 weeks or more.,81.22,1.01
"The average female menstrual cycle is about
26-34 days, so having periods outside of that",82.23,6.99
"""normal"" range could indicate one of the symptoms
of PCOS.",89.22,4.95
"The other one is something called ""hirsutism"",
which is caused by high androgens, or male",94.17,4.96
"sex hormones, like testosterone or DHEA.",99.13,3.85
"And some of the symptoms of that are acne,
so hormonal acne, those pustular, cystic acne",102.98,5.69
"that happens around the chin and jaw-line,
or the chest and back.",108.67,5.14
"And ""hirsutism"", which is the male-pattern
hair growth, which is great, if you're a woman,",113.81,6.93
"to have, which is the hair on the mustache
and chin.",120.74,3.36
"So, you kind of sport a Frida Kahlo mustache
and probably have to deal with that on the",124.1,4.579
regular.,128.679,1.0
"Similarly, having hair loss on the scalp,
is another sign.",129.679,3.871
"So, when you think of men, men will typically
experience male-pattern hair loss, and hair-growth",133.55,8.07
in the facial area.,141.62,1.32
"And the third symptoms is the presence of
cysts on the ovaries, which is diagnosed or",142.94,5.56
sighted with a transvaginal ultrasound.,148.5,2.72
"There's a scope placed through the vagina
and an ultrasound is done to see if there",151.22,4.88
are cysts on the ovaries.,156.1,2.93
"It can also be diagnosed with lab work, so
that's not using the Rotterdam criteria, but",159.03,3.56
"there are two hormones that the brain makes
that control the ovaries and these are called",162.59,4.41
"FSH, or follicle-stimulating hormone, and
LH, lutenizing hormone.",167.0,5.31
"The brain makes the hormones and they tell
the ovaries when to ovulate and the ovaries",172.31,4.06
"also make LH, lutenizing hormone after they've
ovulated, or after the corpus luteum forms,",176.37,7.64
"after ovulation should happen, so whether
the egg is fertilized or not, the corpus luteum",184.01,4.96
will form.,188.97,1.98
"And so PCOS is probable when you order labs
and find that, so the FSH and LH should be",190.95,8.58
"almost the same, they should be at a 1:1 ratio
and PCOS suspect when the LH to FSH ratio",199.53,8.28
is 2:1 or higher.,207.81,1.25
"So you have either 2 or more times the LH
than you have FSH.",209.06,5.539
"And this is because in PCOS, the ovaries will
secrete a lot more LH and that is one of the",214.599,9.081
"reasons why they hypothesize that there are
high androgens, because the LH can stimulate",223.68,4.16
more androgen release.,227.84,1.54
"So, there's a ""skinny PCOS"", so these are
women with those symptoms that don't experience",229.38,6.88
"obesity or metabolic syndrome, and then there's
the metabolic syndrome type of PCOS and in",236.26,6.52
"these patients there's an insulin-resistance
present, or a glucose-intolerance.",242.78,4.28
"And so these women will frequently experience
hypoglycaemic crashes.",247.06,3.8
"They'll also probably be on the obese side
and really struggle to keep weight off and",250.86,4.87
"they'll experience the low energy, the cravings
for carbs.",255.73,4.21
"They'll experience the hunger that comes two
hours after a meal, despite having eaten an",259.94,5.939
"adequate amount of fat and protein, and this
is really problematic for them because they're",265.879,7.051
"set up for diabetes and for cardiovascular
disease down the line.",272.93,3.889
"And then they're also experiencing symptoms
of obesity and they're not super happy with",276.819,4.331
how they look.,281.15,2.269
"And we're not exactly sure what causes PCOS
in women.",283.419,5.4
"There's evidence for it being heritable, so
genetically passed on.",288.819,4.271
"There's evidence for it being caused by insulin-dysregulation,
and perhaps the ovaries are not responding",293.09,6.829
properly to insulin.,299.919,1.981
"What insulin does, is it helps us take in
fuel or glucose into our cells and, just like",301.9,5.43
"all the cells in our body, the ovaries require
insulin to absorb glucose so that they can",307.33,4.38
function properly.,311.71,1.06
"And so one of the theories of PCOS is that
the ovaries are resisting insulin and the",312.77,6.75
"insulin is signalling them to grow, but they're
growing in the absence of proper fuel, or",319.52,7.239
"proper glucose as fuel and so they're creating
these follicles, or cysts.",326.759,5.96
"And so, absence of periods, or irregular periods;
male-pattern hair growth; obesity; infertility",332.719,6.51
