text,start,duration
"Transcriber: Emma Gon
Reviewer: Cathrine Ulstrand",0.0,7.0
"Hello, my name's Hertling",21.258,1.888
and I'm a soldier and,23.146,1.34
-- you probably could tell that.,24.486,2.49
I've been in the military for 38 years.,26.976,2.45
I'm thinking of making it a career.,29.426,1.385
I have seen -- (Laughter) --,30.811,1.888
I have seen and studied and analysed,32.699,2.879
all types of security threats.,35.578,2.48
I've fought in several wars,38.058,1.653
"but there's an emerging threat
that we're seeing",39.711,3.368
"and I'd like to talk a little bit
about today",43.079,2.374
"that I think will have an effect
on our future,",45.453,4.173
"our economy,",49.626,1.81
our youth,51.436,2.079
and our economic system.,53.515,2.59
It is an emerging threat,56.105,1.867
that concerns me significantly,57.972,2.706
and it's represented in this picture.,60.678,3.63
"Now you might think,",64.308,1.108
why is a soldier talking about,65.416,1.832
a young man who is obviously inactive,67.248,3.977
and perhaps is a little bit overweight?,71.225,2.514
And it's because of some things I've seen,73.739,2.788
in the last several years,76.527,1.917
and I'd like to talk a little bit about those today,78.444,2.38
and related to how I believe,80.824,1.802
it could be a national security threat,82.626,1.851
within the next 20 to 30 years.,84.477,2.493
"First of all, in 1983,",86.97,3.343
the Army sent me on something,90.313,1.673
called a broadening experience.,91.986,1.616
I was asked to go graduate school,93.602,2.194
at Indiana University.,95.796,1.207
"I had studied as an undergraduate 
in International Relations",97.003,2.779
"but they said, ""Hey we want you to go",99.782,1.715
"and get a Master's degree
in Exercise Physiology",101.497,3.794
"and then teach PE at West Point.""",105.291,3.045
"So I said, ""Okay, sounds like a great idea.",108.336,1.64
"It's broadening to be sure.""",109.976,2.052
And I went out there -- (Laugther) --,112.028,2.364
I went to Indiana University,114.392,1.522
and my first class was an anatomy class,115.914,2.776
and I had an anatomy lab.,118.69,1.601
I walked into the classroom,120.291,1.656
and they issued me a cadaver.,121.947,2.677
As they did everyone else in the class.,124.624,1.88
"And the cadaver I had,
came with a medical history",126.504,3.677
"The professor told us,
""In order to respect",130.181,2.548
"the people who have given
their bodies to science",132.729,2.662
"we'd ask you to respect them,
too, and you perhaps",135.391,2.334
wanna name them to remind yourself,137.725,2.48
that they were once a person,140.205,1.045
"although we don't wanna give you
their real name.""",141.25,1.715
So I named mine Charlie.,142.965,2.024
Charlie had a medical history.,144.989,1.217
He had been a two-pack-a-day smoker.,146.206,3.043
Charlie had not exercised in the last 20 years.,149.299,3.986
Charlie was extremely overweight,153.285,2.51
and Charlie had died of a cardiovascular disease,155.795,3.845
and he was 46 years old.,159.64,2.913
"When we pulled him up and we began,",162.553,1.473
the various students in the room began,164.026,1.715
our disection of these bodies,165.741,1.716
I had a lot of a tougher time,167.457,1.97
than some of the other students,169.427,1.561
because I had to cut through,170.988,1.51
several layers of adipose.,172.498,1.746
When I got to the internal body cavities,174.244,1.579
it was amazing to me,175.823,1.417
comparing Charlie's organs,177.24,1.758
"to some of the organs of 
the other students in the class.",178.998,2.452
The heart was surrounded by fat,181.45,2.888
several inches.,184.338,0.982
"One of the tricks our instructors taught us was,",185.32,2.617
"you know, we had to through these labs",187.937,2.177
where we had to name what vein was which,190.114,2.005
"and what artery was which,",192.119,1.962
"and the professor said, ""If you pull",194.081,2.319
"on an artery, it's like a rubber band.",196.4,1.643
"If you pull on a vein, it's like 
a guitar string and it'll twang.""",198.043,2.701
When I pulled on Charlie's arteries and veins,200.744,2.058
they broke off into my hand.,202.802,2.929
So I finished grad school,206.607,2.241
and went to teach at West Point for 3 years,208.848,1.637
from '83 to '86,210.485,1.544
and then after that assignment,212.029,1.502
I went back to the operational Army,213.531,1.522
and did things that all soldiers do:,215.053,2.246
