text,start,duration
"Everytime I drink something with aspartame
in it, I can't help but worry to myself: AM",0.28,3.53
I DRINKING CANCER?,3.81,2.85
"Hey everyone, Laci Green here for DNews.",6.66,6.45
"Artificial sweeteners have been a hotbed of
scientific debate for decades.",13.11,3.75
"There's so much to be said about it -- but
here's a quick roundup of a few things you",16.86,2.99
"should know about the most common artificial
sweeteners.",19.85,2.75
"Saccharin AKA Sweet n Low was the first artificial
sweetener discovered waaay back in 1879 while",22.6,5.47
"scientists were formulating chemical dyes
from coal tar.",28.07,2.94
I know: YUM!,31.01,1.2
"In the 70s, studies came out finding that
saccharin caused bladder cancer in rats - and",32.21,3.739
"so the government required a cancer warning
on the label.",35.949,2.651
"They tried to take it off the market, but
the diet industry was making big bucks and",38.6,3.979
weren't gonna have any of that.,42.579,1.591
"Fast forward to the 90s and studies begin
to suggest that the bladder cancer effect",44.17,3.729
"is ONLY in rodents, not humans, and by 2000,
the warning label was removed.",47.899,4.58
"However, the Center for Science in the Public
Interest, which is a non-profit watchdog group,",52.479,4.391
"has saccharin on their ""avoid"" list.",56.87,1.369
"Saccharin has lost a lot of its popularity
because of the controversy.",58.239,3.5
"The most common artificial sweetener on the
market today is sucralose AKA Splenda.",61.739,3.53
"There's a lot of talk about how Splenda is
unsafe and hasn't been tested...but since",65.269,4.191
"its discovery in 1976, it has been the subject
of over 100 long and short-term animal and",69.46,5.339
human studies.,74.799,1.0
"And except for a couple highly questioned
studies, no ill effects have been found, so",75.799,3.57
"long as you aren't eating a tub of sucralose
for dinner.",79.369,2.71
"The FDA approved it in 1998 and the CSPI also
agrees it's a safe, non-carcinogenic alternative",82.079,5.29
to sugar.,87.369,1.0
"Lastly, the biggie: aspartame.",88.369,2.6
"It's found in sooo many products these days,
from to drinks, to candy, gum, jam, processed",90.969,4.04
foods.,95.009,1.78
"Aspartame came about in the 60's when scientists
were looking for ulcer treatments.",96.789,3.661
It's been widely studied since then.,100.45,1.54
"The main things you should know is that the
cancer concerns come mostly from a set of",101.99,3.711
"high profile studies done in Italy where they
fed extremely high amounts of aspartame to",105.701,4.268
rats throughout their lifespan.,109.969,1.18
"The rats developed blood and breast cancers
as well as kidney tumors, which are extremely",111.149,3.96
rare in the breed of rat used.,115.109,1.851
"However, the FDA and the EFSA both rejected
the studies on the (rather vague) grounds",116.96,4.38
"that they ""lacked important data"" and approved
Aspartame anyway.",121.34,3.56
As for studies on people?,124.9,1.029
"The largest study was done by the National
Cancer Institute examining cancer rates in",125.929,4.141
a half million adults.,130.07,1.05
"Between groups that did and did not consume
products with aspartame, there was no increased",131.12,4.449
risk of cancer for those that did.,135.569,1.81
"The watchdog group argues that this study
was incomplete: it didn't include the very",137.379,3.97
"elderly, nor people who had consumed aspartame
since childhood.",141.349,4.271
"Aspartame intake was also self reported - which
is a serious flaw when you consider the fact",145.62,3.22
"that a lot of the time people don't know it's
in their food.",148.84,2.33
"The CSPI gives aspartame it's lowest food
safety ranking and argues that it is not safe",151.17,4.67
for human consumption.,155.84,1.0
"I've read lots of reports out of concern for
my own health, and you should too if you're",156.84,3.15
interested!,159.99,1.0
"The bottom line seems to be: sucralose is
the safest for regular consumption.",160.99,3.8
"Aspartame and saccharin are more questionable,
so if you're going to consume them, maybe",164.79,2.979
don't have too much.,167.769,1.151
"Also: if you're using artificial sweeteners
to lose weight, there's a STRONG body of research",168.92,3.849
that suggests it doesn't help.,172.769,1.751
"In fact, across several large studies done
at Yale for the National Institute of Health:",174.52,4.04
"people who use artificial sweeteners actually
gain weight over time.",178.56,3.22
"They're still trying to figure out why this
happens.",181.78,2.06
"Scientists are also just starting to study
a relatively new artificial sweetener touted",183.84,4.07
"as a ""natural alternative to sugar"" called
Stevia, or Truvia.",187.91,3.45
"With the limited studies that are out there,
it looks like it could be safe, and the CSPI",191.36,3.56
"statements seem more positive about the potential
for Stevia.",194.92,3.16
OH MAN.,198.08,1.359
Lotsa facts today!,199.439,1.0
Hope this was useful to some of you out there.,200.439,1.531
"I'm gonna put lots of further reading in the
description, check it out, and let me know",201.97,2.48
"what you think about artificial sweeteners
in the comments below.",204.45,2.739
"Thanks for joining me, I'll see you next time!",207.189,1.681
