,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,fear,37.0
3,100.jpg,middle eastern,sad,31.0
4,101.jpg,white,neutral,34.0
5,102.jpg,white,neutral,37.0
6,103.jpg,,,
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,white,fear,36.0
14,12.jpg,white,happy,41.0
15,13.jpg,white,neutral,33.0
16,14.jpg,white,neutral,39.0
17,15.jpg,white,neutral,33.0
18,16.jpg,latino hispanic,fear,32.0
19,17.jpg,white,surprise,34.0
20,18.jpg,middle eastern,neutral,32.0
21,19.jpg,white,neutral,27.0
22,2.jpg,,,
23,20.jpg,white,sad,33.0
24,21.jpg,white,happy,35.0
25,22.jpg,white,fear,33.0
26,23.jpg,white,neutral,35.0
27,24.jpg,latino hispanic,fear,31.0
28,25.jpg,latino hispanic,fear,29.0
29,26.jpg,white,fear,32.0
30,27.jpg,white,fear,36.0
31,28.jpg,white,sad,31.0
32,29.jpg,white,neutral,33.0
33,3.jpg,,,
34,30.jpg,white,neutral,35.0
35,31.jpg,white,fear,35.0
36,32.jpg,white,neutral,33.0
37,33.jpg,white,sad,33.0
38,34.jpg,white,neutral,32.0
39,35.jpg,white,neutral,34.0
40,36.jpg,white,sad,32.0
41,37.jpg,white,fear,39.0
42,38.jpg,white,neutral,32.0
43,39.jpg,white,sad,29.0
44,4.jpg,,,
45,40.jpg,latino hispanic,neutral,32.0
46,41.jpg,white,sad,32.0
47,42.jpg,latino hispanic,neutral,31.0
48,43.jpg,white,neutral,34.0
49,44.jpg,white,angry,31.0
50,45.jpg,white,fear,33.0
51,46.jpg,white,neutral,33.0
52,47.jpg,white,sad,35.0
53,48.jpg,white,neutral,31.0
54,49.jpg,white,neutral,34.0
55,5.jpg,,,
56,50.jpg,white,neutral,34.0
57,51.jpg,white,fear,38.0
58,52.jpg,white,neutral,34.0
59,53.jpg,white,angry,36.0
60,54.jpg,white,neutral,34.0
61,55.jpg,white,neutral,38.0
62,56.jpg,white,neutral,41.0
63,57.jpg,white,neutral,45.0
64,58.jpg,white,neutral,40.0
65,59.jpg,white,neutral,42.0
66,6.jpg,,,
67,60.jpg,white,sad,42.0
68,61.jpg,white,angry,37.0
69,62.jpg,white,happy,39.0
70,63.jpg,white,angry,38.0
71,64.jpg,white,angry,40.0
72,65.jpg,white,sad,30.0
73,66.jpg,white,neutral,34.0
74,67.jpg,white,happy,38.0
75,68.jpg,white,neutral,34.0
76,69.jpg,white,neutral,33.0
77,7.jpg,white,neutral,33.0
78,70.jpg,white,neutral,47.0
79,71.jpg,white,neutral,39.0
80,72.jpg,white,neutral,37.0
81,73.jpg,white,neutral,37.0
82,74.jpg,white,neutral,38.0
83,75.jpg,white,neutral,40.0
84,76.jpg,white,neutral,34.0
85,77.jpg,white,neutral,32.0
86,78.jpg,white,neutral,37.0
87,79.jpg,white,angry,39.0
88,8.jpg,white,neutral,38.0
89,80.jpg,latino hispanic,disgust,33.0
90,81.jpg,white,neutral,36.0
91,82.jpg,white,neutral,32.0
92,83.jpg,white,happy,28.0
93,84.jpg,white,neutral,31.0
94,85.jpg,white,fear,30.0
95,86.jpg,white,fear,30.0
96,87.jpg,latino hispanic,sad,30.0
97,88.jpg,white,neutral,36.0
98,89.jpg,white,angry,34.0
99,9.jpg,white,neutral,38.0
100,90.jpg,white,fear,41.0
101,91.jpg,white,sad,32.0
102,92.jpg,white,neutral,30.0
103,93.jpg,white,happy,42.0
104,94.jpg,white,neutral,46.0
105,95.jpg,middle eastern,neutral,32.0
106,96.jpg,middle eastern,sad,35.0
107,97.jpg,white,fear,35.0
108,98.jpg,white,neutral,40.0
109,99.jpg,white,neutral,32.0
