,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,happy,32.0
1,1.jpg,white,happy,29.0
2,10.jpg,white,fear,35.0
3,100.jpg,white,neutral,35.0
4,101.jpg,white,fear,36.0
5,102.jpg,white,neutral,32.0
6,103.jpg,white,neutral,34.0
7,104.jpg,white,neutral,33.0
8,105.jpg,white,sad,35.0
9,106.jpg,white,fear,36.0
10,107.jpg,white,fear,34.0
11,108.jpg,white,sad,35.0
12,109.jpg,white,sad,34.0
13,11.jpg,white,sad,34.0
14,110.jpg,white,sad,35.0
15,111.jpg,white,neutral,35.0
16,112.jpg,white,neutral,31.0
17,113.jpg,white,fear,31.0
18,114.jpg,white,sad,35.0
19,115.jpg,white,neutral,33.0
20,116.jpg,white,neutral,34.0
21,117.jpg,white,neutral,36.0
22,118.jpg,white,fear,34.0
23,119.jpg,white,neutral,33.0
24,12.jpg,white,fear,34.0
25,120.jpg,white,sad,34.0
26,121.jpg,white,neutral,32.0
27,122.jpg,white,neutral,36.0
28,123.jpg,white,fear,36.0
29,124.jpg,white,neutral,30.0
30,125.jpg,middle eastern,happy,38.0
31,126.jpg,white,angry,34.0
32,127.jpg,white,neutral,34.0
33,128.jpg,white,neutral,34.0
34,129.jpg,white,fear,34.0
35,13.jpg,white,neutral,30.0
36,130.jpg,white,happy,37.0
37,131.jpg,white,neutral,35.0
38,132.jpg,white,happy,30.0
39,133.jpg,middle eastern,fear,34.0
40,134.jpg,white,fear,34.0
41,135.jpg,white,disgust,32.0
42,136.jpg,white,neutral,39.0
43,137.jpg,white,neutral,31.0
44,138.jpg,white,angry,33.0
45,139.jpg,white,fear,34.0
46,14.jpg,white,surprise,30.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,white,surprise,31.0
50,143.jpg,white,happy,35.0
51,144.jpg,white,disgust,33.0
52,145.jpg,white,happy,30.0
53,146.jpg,white,fear,31.0
54,147.jpg,white,fear,35.0
55,148.jpg,white,neutral,31.0
56,149.jpg,latino hispanic,fear,32.0
57,15.jpg,white,neutral,35.0
58,150.jpg,white,disgust,33.0
59,151.jpg,white,sad,34.0
60,152.jpg,white,fear,31.0
61,153.jpg,white,surprise,33.0
62,154.jpg,white,sad,34.0
63,155.jpg,white,neutral,34.0
64,156.jpg,white,sad,37.0
65,157.jpg,white,happy,37.0
66,158.jpg,white,sad,35.0
67,159.jpg,white,fear,34.0
68,16.jpg,white,happy,33.0
69,160.jpg,white,fear,27.0
70,161.jpg,white,sad,35.0
71,162.jpg,white,sad,34.0
72,163.jpg,white,happy,36.0
73,164.jpg,asian,sad,33.0
74,165.jpg,white,disgust,33.0
75,166.jpg,white,neutral,36.0
76,167.jpg,white,happy,35.0
77,168.jpg,white,happy,34.0
78,169.jpg,white,fear,36.0
79,17.jpg,white,neutral,33.0
80,170.jpg,white,happy,35.0
81,171.jpg,white,fear,36.0
82,172.jpg,white,happy,32.0
83,173.jpg,white,happy,37.0
84,174.jpg,white,fear,35.0
85,175.jpg,white,angry,35.0
86,176.jpg,white,happy,34.0
87,177.jpg,white,fear,30.0
88,178.jpg,white,fear,34.0
89,179.jpg,white,happy,30.0
90,18.jpg,white,fear,33.0
91,180.jpg,white,fear,32.0
92,181.jpg,white,fear,34.0
93,182.jpg,white,angry,36.0
94,183.jpg,white,neutral,32.0
95,184.jpg,white,fear,35.0
96,185.jpg,white,fear,33.0
97,186.jpg,white,happy,36.0
98,187.jpg,white,sad,34.0
99,188.jpg,white,neutral,35.0
100,189.jpg,white,sad,34.0
101,19.jpg,white,fear,34.0
102,190.jpg,white,fear,35.0
103,191.jpg,white,sad,34.0
104,192.jpg,white,sad,34.0
105,193.jpg,white,neutral,30.0
106,194.jpg,white,neutral,31.0
107,195.jpg,white,neutral,32.0
108,196.jpg,white,neutral,34.0
109,197.jpg,white,neutral,33.0
110,198.jpg,white,fear,35.0
111,199.jpg,white,sad,35.0
112,2.jpg,white,sad,36.0
113,20.jpg,white,fear,32.0
114,200.jpg,white,neutral,35.0
115,201.jpg,white,fear,37.0
116,202.jpg,white,neutral,34.0
117,203.jpg,white,surprise,30.0
118,204.jpg,white,fear,30.0
119,205.jpg,white,fear,33.0
120,206.jpg,white,fear,31.0
121,207.jpg,white,neutral,35.0
122,208.jpg,white,surprise,33.0
123,209.jpg,white,surprise,30.0
124,21.jpg,white,surprise,31.0
125,210.jpg,white,neutral,36.0
126,211.jpg,white,fear,33.0
127,212.jpg,white,fear,34.0
128,213.jpg,white,fear,28.0
129,214.jpg,white,happy,35.0
130,215.jpg,white,neutral,31.0
131,216.jpg,white,surprise,32.0
132,217.jpg,white,sad,35.0
133,218.jpg,white,fear,36.0
134,219.jpg,white,fear,32.0
135,22.jpg,white,sad,35.0
136,220.jpg,white,angry,34.0
137,221.jpg,white,neutral,34.0
138,222.jpg,white,happy,31.0
139,223.jpg,white,neutral,34.0
140,224.jpg,white,neutral,35.0
141,225.jpg,white,sad,34.0
142,226.jpg,white,happy,32.0
143,227.jpg,white,angry,33.0
144,228.jpg,white,fear,31.0
145,229.jpg,white,happy,35.0
146,23.jpg,white,happy,27.0
147,230.jpg,white,neutral,30.0
148,231.jpg,white,happy,31.0
149,232.jpg,white,sad,31.0
150,233.jpg,white,neutral,31.0
151,234.jpg,asian,sad,35.0
152,235.jpg,white,fear,34.0
153,236.jpg,white,surprise,32.0
154,237.jpg,white,happy,31.0
155,238.jpg,white,sad,34.0
156,239.jpg,white,neutral,35.0
157,24.jpg,white,angry,36.0
158,240.jpg,white,fear,33.0
159,241.jpg,white,fear,35.0
160,242.jpg,white,sad,35.0
161,243.jpg,white,neutral,34.0
162,244.jpg,white,happy,31.0
163,245.jpg,white,happy,27.0
164,246.jpg,white,happy,28.0
165,247.jpg,white,happy,36.0
166,248.jpg,white,fear,34.0
167,249.jpg,white,neutral,34.0
168,25.jpg,white,neutral,31.0
169,250.jpg,white,happy,36.0
170,251.jpg,white,happy,29.0
171,252.jpg,white,neutral,34.0
172,253.jpg,white,neutral,34.0
173,254.jpg,white,fear,34.0
174,255.jpg,white,fear,34.0
175,256.jpg,white,angry,35.0
176,257.jpg,white,fear,34.0
177,258.jpg,white,fear,33.0
178,259.jpg,white,surprise,35.0
179,26.jpg,white,happy,30.0
180,260.jpg,white,fear,30.0
181,261.jpg,white,fear,33.0
182,262.jpg,white,angry,30.0
183,263.jpg,white,fear,33.0
184,264.jpg,white,neutral,35.0
185,265.jpg,white,fear,33.0
186,266.jpg,middle eastern,fear,33.0
187,267.jpg,middle eastern,happy,36.0
188,268.jpg,white,surprise,31.0
189,269.jpg,white,sad,33.0
190,27.jpg,white,happy,32.0
191,270.jpg,latino hispanic,fear,35.0
192,271.jpg,middle eastern,fear,35.0
193,272.jpg,latino hispanic,sad,33.0
194,273.jpg,white,neutral,35.0
195,274.jpg,white,happy,31.0
196,275.jpg,white,fear,38.0
197,276.jpg,white,fear,32.0
198,277.jpg,white,sad,35.0
199,278.jpg,white,happy,35.0
200,279.jpg,white,fear,35.0
201,28.jpg,white,sad,35.0
202,280.jpg,white,happy,32.0
203,281.jpg,white,neutral,35.0
204,282.jpg,white,fear,35.0
205,283.jpg,white,surprise,32.0
206,284.jpg,white,sad,35.0
207,285.jpg,asian,angry,35.0
208,286.jpg,white,angry,31.0
209,287.jpg,white,neutral,35.0
210,288.jpg,white,angry,35.0
211,289.jpg,white,happy,30.0
212,29.jpg,white,neutral,34.0
213,290.jpg,white,neutral,31.0
214,291.jpg,white,fear,33.0
215,292.jpg,white,fear,35.0
216,293.jpg,white,neutral,34.0
217,294.jpg,white,neutral,35.0
218,295.jpg,white,sad,35.0
219,296.jpg,white,happy,35.0
220,297.jpg,white,angry,35.0
221,298.jpg,white,sad,34.0
222,299.jpg,white,sad,34.0
223,3.jpg,white,happy,36.0
224,30.jpg,white,happy,35.0
225,300.jpg,white,neutral,30.0
226,301.jpg,white,neutral,36.0
227,302.jpg,white,fear,33.0
228,303.jpg,white,happy,37.0
229,304.jpg,white,neutral,34.0
230,305.jpg,white,happy,29.0
231,306.jpg,white,happy,30.0
232,307.jpg,white,happy,30.0
233,308.jpg,white,happy,32.0
234,309.jpg,white,neutral,30.0
235,31.jpg,white,fear,34.0
236,310.jpg,white,fear,30.0
237,311.jpg,white,happy,30.0
238,312.jpg,white,neutral,33.0
239,313.jpg,white,angry,36.0
240,314.jpg,white,happy,29.0
241,315.jpg,asian,fear,35.0
242,316.jpg,white,neutral,35.0
243,317.jpg,white,sad,36.0
244,318.jpg,white,sad,35.0
245,319.jpg,white,happy,34.0
246,32.jpg,white,angry,34.0
247,320.jpg,white,neutral,34.0
248,321.jpg,,,
249,322.jpg,white,happy,35.0
250,323.jpg,white,fear,35.0
251,324.jpg,white,fear,34.0
252,325.jpg,asian,angry,35.0
253,326.jpg,white,fear,29.0
254,327.jpg,white,angry,35.0
255,328.jpg,latino hispanic,fear,33.0
256,329.jpg,white,angry,35.0
257,33.jpg,white,neutral,34.0
258,330.jpg,white,fear,36.0
259,331.jpg,white,fear,37.0
260,332.jpg,white,fear,31.0
261,333.jpg,white,neutral,33.0
262,334.jpg,white,fear,37.0
263,335.jpg,white,fear,36.0
264,336.jpg,white,sad,34.0
265,337.jpg,white,happy,32.0
266,338.jpg,white,surprise,36.0
267,339.jpg,white,angry,34.0
268,34.jpg,latino hispanic,happy,32.0
269,340.jpg,white,sad,34.0
270,341.jpg,latino hispanic,sad,34.0
271,342.jpg,middle eastern,fear,34.0
272,343.jpg,white,happy,32.0
273,344.jpg,middle eastern,happy,39.0
274,345.jpg,white,happy,34.0
275,346.jpg,white,neutral,32.0
276,347.jpg,white,sad,36.0
277,348.jpg,white,fear,31.0
278,349.jpg,middle eastern,happy,36.0
279,35.jpg,white,happy,36.0
280,350.jpg,white,fear,35.0
281,351.jpg,white,happy,34.0
282,352.jpg,white,happy,31.0
283,353.jpg,white,happy,31.0
284,354.jpg,white,angry,35.0
285,36.jpg,,,
286,37.jpg,,,
287,38.jpg,white,happy,35.0
288,39.jpg,white,sad,35.0
289,4.jpg,white,fear,35.0
290,40.jpg,white,happy,32.0
291,41.jpg,white,happy,33.0
292,42.jpg,white,sad,35.0
293,43.jpg,white,happy,31.0
294,44.jpg,white,fear,31.0
295,45.jpg,white,happy,34.0
296,46.jpg,white,fear,31.0
297,47.jpg,,,
298,48.jpg,white,happy,35.0
299,49.jpg,white,neutral,36.0
300,5.jpg,white,neutral,34.0
301,50.jpg,white,neutral,33.0
302,51.jpg,white,neutral,34.0
303,52.jpg,white,angry,35.0
304,53.jpg,white,fear,34.0
305,54.jpg,,,
306,55.jpg,white,fear,35.0
307,56.jpg,white,neutral,34.0
308,57.jpg,white,happy,31.0
309,58.jpg,white,fear,33.0
310,59.jpg,white,surprise,33.0
311,6.jpg,white,neutral,30.0
312,60.jpg,white,neutral,33.0
313,61.jpg,white,fear,34.0
314,62.jpg,white,fear,32.0
315,63.jpg,white,surprise,34.0
316,64.jpg,,,
317,65.jpg,,,
318,66.jpg,white,happy,31.0
319,67.jpg,,,
320,68.jpg,white,fear,31.0
321,69.jpg,white,happy,32.0
322,7.jpg,white,fear,31.0
323,70.jpg,white,happy,34.0
324,71.jpg,white,happy,33.0
325,72.jpg,white,fear,37.0
326,73.jpg,latino hispanic,fear,33.0
327,74.jpg,white,fear,34.0
328,75.jpg,white,fear,34.0
329,76.jpg,white,fear,36.0
330,77.jpg,white,neutral,34.0
331,78.jpg,white,happy,31.0
332,79.jpg,white,fear,32.0
333,8.jpg,white,sad,39.0
334,80.jpg,white,happy,32.0
335,81.jpg,white,neutral,36.0
336,82.jpg,white,neutral,34.0
337,83.jpg,white,neutral,33.0
338,84.jpg,white,fear,39.0
339,85.jpg,white,happy,30.0
340,86.jpg,white,fear,34.0
341,87.jpg,white,happy,34.0
342,88.jpg,white,happy,32.0
343,89.jpg,white,happy,30.0
344,9.jpg,white,sad,34.0
345,90.jpg,white,fear,36.0
346,91.jpg,white,fear,35.0
347,92.jpg,white,neutral,39.0
348,93.jpg,white,happy,36.0
349,94.jpg,white,fear,34.0
350,95.jpg,white,neutral,34.0
351,96.jpg,white,angry,34.0
352,97.jpg,middle eastern,neutral,37.0
353,98.jpg,white,fear,34.0
354,99.jpg,white,fear,34.0
