,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,sad,38.0
3,100.jpg,white,fear,41.0
4,101.jpg,asian,neutral,33.0
5,102.jpg,asian,neutral,33.0
6,103.jpg,white,neutral,36.0
7,104.jpg,asian,neutral,34.0
8,105.jpg,white,neutral,35.0
9,106.jpg,asian,surprise,37.0
10,107.jpg,white,angry,45.0
11,108.jpg,white,happy,36.0
12,109.jpg,white,happy,35.0
13,11.jpg,white,neutral,32.0
14,110.jpg,white,angry,39.0
15,111.jpg,asian,neutral,36.0
16,112.jpg,asian,neutral,41.0
17,113.jpg,asian,neutral,34.0
18,114.jpg,asian,neutral,43.0
19,115.jpg,white,angry,39.0
20,116.jpg,white,fear,28.0
21,117.jpg,white,angry,41.0
22,118.jpg,asian,neutral,39.0
23,119.jpg,white,neutral,39.0
24,12.jpg,asian,neutral,36.0
25,120.jpg,asian,angry,36.0
26,121.jpg,asian,fear,39.0
27,122.jpg,white,neutral,36.0
28,123.jpg,white,angry,40.0
29,124.jpg,asian,fear,32.0
30,125.jpg,white,neutral,44.0
31,126.jpg,white,surprise,39.0
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,white,surprise,42.0
36,130.jpg,asian,neutral,29.0
37,132.jpg,asian,neutral,36.0
38,134.jpg,white,fear,39.0
39,136.jpg,asian,neutral,35.0
40,138.jpg,white,angry,41.0
41,14.jpg,white,neutral,35.0
42,140.jpg,white,surprise,39.0
43,142.jpg,white,fear,32.0
44,144.jpg,white,surprise,42.0
45,146.jpg,white,surprise,42.0
46,148.jpg,white,angry,46.0
47,15.jpg,white,surprise,41.0
48,150.jpg,white,surprise,41.0
49,152.jpg,,,
50,154.jpg,white,angry,40.0
51,156.jpg,,,
52,158.jpg,white,happy,27.0
53,16.jpg,asian,angry,39.0
54,160.jpg,asian,fear,35.0
55,162.jpg,white,neutral,36.0
56,164.jpg,asian,neutral,34.0
57,166.jpg,middle eastern,neutral,34.0
58,168.jpg,asian,neutral,33.0
59,17.jpg,white,surprise,48.0
60,170.jpg,white,surprise,45.0
61,172.jpg,white,neutral,39.0
62,174.jpg,middle eastern,neutral,39.0
63,176.jpg,middle eastern,neutral,38.0
