,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,,,
3,100.jpg,white,sad,35.0
4,101.jpg,white,neutral,31.0
5,102.jpg,asian,neutral,33.0
6,103.jpg,white,neutral,32.0
7,104.jpg,white,neutral,32.0
8,105.jpg,white,sad,36.0
9,106.jpg,white,neutral,34.0
10,107.jpg,white,neutral,33.0
11,108.jpg,white,happy,32.0
12,109.jpg,white,neutral,32.0
13,11.jpg,,,
14,110.jpg,white,neutral,34.0
15,111.jpg,white,neutral,37.0
16,112.jpg,white,sad,35.0
17,113.jpg,asian,sad,33.0
18,114.jpg,white,neutral,30.0
19,115.jpg,white,neutral,33.0
20,116.jpg,asian,sad,34.0
21,117.jpg,white,sad,36.0
22,118.jpg,white,happy,31.0
23,119.jpg,white,sad,35.0
24,12.jpg,,,
25,120.jpg,white,sad,35.0
26,121.jpg,white,neutral,35.0
27,122.jpg,,,
28,123.jpg,,,
29,124.jpg,,,
30,125.jpg,,,
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,,,
36,130.jpg,,,
37,131.jpg,,,
38,132.jpg,,,
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,,,
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,,,
45,139.jpg,,,
46,14.jpg,,,
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,,,
52,145.jpg,,,
53,146.jpg,,,
54,147.jpg,,,
55,148.jpg,,,
56,149.jpg,,,
57,15.jpg,,,
58,150.jpg,,,
59,151.jpg,,,
60,152.jpg,,,
61,153.jpg,,,
62,154.jpg,,,
63,155.jpg,,,
64,156.jpg,,,
65,157.jpg,,,
66,158.jpg,,,
67,159.jpg,,,
68,16.jpg,,,
69,160.jpg,,,
70,161.jpg,,,
71,162.jpg,,,
72,17.jpg,,,
73,18.jpg,,,
74,19.jpg,,,
75,2.jpg,,,
76,20.jpg,,,
77,21.jpg,,,
78,22.jpg,,,
79,23.jpg,,,
80,24.jpg,,,
81,25.jpg,,,
82,26.jpg,,,
83,27.jpg,,,
84,28.jpg,white,sad,37.0
85,29.jpg,white,neutral,34.0
86,3.jpg,,,
87,30.jpg,white,neutral,34.0
88,31.jpg,white,happy,32.0
89,32.jpg,white,neutral,34.0
90,33.jpg,white,sad,37.0
91,34.jpg,white,neutral,33.0
92,35.jpg,white,sad,34.0
93,36.jpg,white,sad,35.0
94,37.jpg,white,sad,35.0
95,38.jpg,white,sad,35.0
96,39.jpg,white,sad,34.0
97,4.jpg,,,
98,40.jpg,white,fear,31.0
99,41.jpg,white,neutral,32.0
100,42.jpg,white,neutral,31.0
101,43.jpg,white,sad,35.0
102,44.jpg,white,happy,31.0
103,45.jpg,asian,neutral,33.0
104,46.jpg,white,sad,35.0
105,47.jpg,white,sad,35.0
106,48.jpg,white,neutral,34.0
107,49.jpg,white,fear,35.0
108,5.jpg,,,
109,50.jpg,white,sad,35.0
110,51.jpg,white,sad,34.0
111,52.jpg,white,happy,32.0
112,53.jpg,white,neutral,32.0
113,54.jpg,white,fear,34.0
114,55.jpg,white,neutral,33.0
115,56.jpg,white,happy,30.0
116,57.jpg,white,happy,32.0
117,58.jpg,white,neutral,34.0
118,59.jpg,white,neutral,35.0
119,6.jpg,,,
120,60.jpg,white,neutral,33.0
121,61.jpg,white,fear,31.0
122,62.jpg,white,happy,33.0
123,63.jpg,white,sad,36.0
124,64.jpg,white,happy,33.0
125,65.jpg,white,neutral,33.0
126,66.jpg,white,fear,32.0
127,67.jpg,white,sad,34.0
128,68.jpg,white,sad,35.0
129,69.jpg,white,fear,34.0
130,7.jpg,,,
131,70.jpg,white,sad,37.0
132,71.jpg,white,fear,36.0
133,72.jpg,white,sad,35.0
134,73.jpg,white,neutral,34.0
135,74.jpg,white,sad,36.0
136,75.jpg,white,sad,34.0
137,76.jpg,white,sad,34.0
138,77.jpg,white,neutral,32.0
139,78.jpg,white,sad,35.0
140,79.jpg,white,sad,35.0
141,8.jpg,,,
142,80.jpg,white,sad,34.0
143,81.jpg,white,neutral,32.0
144,82.jpg,white,fear,33.0
145,83.jpg,white,sad,34.0
146,84.jpg,white,neutral,32.0
147,85.jpg,white,sad,36.0
148,86.jpg,asian,fear,37.0
149,87.jpg,white,sad,35.0
150,88.jpg,white,happy,31.0
151,89.jpg,white,sad,34.0
152,9.jpg,,,
153,90.jpg,white,neutral,33.0
154,91.jpg,white,sad,36.0
155,92.jpg,white,neutral,33.0
156,93.jpg,white,sad,34.0
157,94.jpg,white,neutral,32.0
158,95.jpg,white,fear,37.0
159,96.jpg,white,neutral,34.0
160,97.jpg,white,fear,32.0
161,98.jpg,white,neutral,30.0
162,99.jpg,white,fear,35.0
