,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,fear,31
1,1.jpg,white,sad,31
2,10.jpg,white,neutral,34
3,100.jpg,latino hispanic,neutral,39
4,101.jpg,white,fear,30
5,102.jpg,white,fear,41
6,103.jpg,white,fear,42
7,104.jpg,white,fear,40
8,105.jpg,white,neutral,39
9,106.jpg,white,fear,39
10,107.jpg,white,fear,39
11,108.jpg,white,fear,38
12,109.jpg,white,neutral,25
13,11.jpg,white,fear,42
14,110.jpg,white,neutral,36
15,111.jpg,white,fear,39
16,112.jpg,white,neutral,36
17,113.jpg,white,sad,41
18,114.jpg,white,fear,41
19,115.jpg,white,happy,26
20,116.jpg,white,fear,29
21,117.jpg,white,sad,34
22,118.jpg,white,fear,41
23,119.jpg,white,sad,40
24,12.jpg,white,sad,42
25,120.jpg,white,fear,41
26,121.jpg,white,fear,40
27,122.jpg,white,sad,42
28,123.jpg,white,neutral,28
29,124.jpg,white,fear,42
30,125.jpg,white,neutral,35
31,126.jpg,white,neutral,31
32,127.jpg,white,neutral,36
33,128.jpg,white,sad,40
34,129.jpg,white,neutral,39
35,13.jpg,white,neutral,35
36,130.jpg,white,fear,35
37,131.jpg,middle eastern,neutral,38
38,132.jpg,white,fear,41
39,133.jpg,white,fear,38
40,134.jpg,white,neutral,38
41,135.jpg,white,neutral,36
42,136.jpg,white,neutral,32
43,137.jpg,white,sad,39
44,138.jpg,white,fear,41
45,139.jpg,white,fear,39
46,14.jpg,white,neutral,33
47,140.jpg,white,fear,40
48,141.jpg,white,neutral,36
49,142.jpg,white,sad,43
50,143.jpg,white,fear,41
51,144.jpg,white,sad,39
52,145.jpg,white,fear,39
53,146.jpg,white,fear,39
54,147.jpg,white,fear,39
55,148.jpg,white,fear,35
56,149.jpg,latino hispanic,fear,36
57,15.jpg,white,neutral,37
58,150.jpg,white,neutral,39
59,151.jpg,white,fear,40
60,152.jpg,white,fear,38
61,153.jpg,white,fear,36
62,154.jpg,white,happy,41
63,155.jpg,white,neutral,39
64,156.jpg,white,sad,41
65,157.jpg,white,sad,43
66,158.jpg,white,fear,41
67,159.jpg,asian,fear,36
68,16.jpg,white,sad,39
69,160.jpg,white,sad,36
70,161.jpg,white,fear,31
71,162.jpg,white,fear,39
72,163.jpg,white,angry,40
73,164.jpg,middle eastern,happy,37
74,165.jpg,white,fear,40
75,166.jpg,white,happy,34
76,167.jpg,white,fear,41
77,168.jpg,white,neutral,33
78,169.jpg,asian,sad,30
79,17.jpg,white,neutral,33
80,170.jpg,white,sad,37
81,171.jpg,white,sad,42
82,172.jpg,white,sad,42
83,173.jpg,white,fear,37
84,174.jpg,white,neutral,34
85,175.jpg,white,fear,41
86,176.jpg,middle eastern,neutral,37
87,177.jpg,white,sad,39
88,178.jpg,white,sad,39
89,179.jpg,white,neutral,36
90,18.jpg,white,fear,41
91,180.jpg,white,fear,37
92,181.jpg,white,happy,39
93,182.jpg,white,sad,39
94,183.jpg,white,happy,39
95,184.jpg,white,fear,41
96,185.jpg,white,neutral,43
97,186.jpg,white,neutral,35
98,187.jpg,white,fear,39
99,188.jpg,white,happy,37
100,189.jpg,white,fear,37
101,19.jpg,white,sad,41
102,190.jpg,white,fear,41
103,191.jpg,white,fear,25
104,192.jpg,white,fear,31
105,193.jpg,white,fear,26
106,194.jpg,white,fear,43
107,195.jpg,white,fear,42
108,196.jpg,white,fear,41
109,197.jpg,white,sad,41
110,198.jpg,white,sad,38
111,199.jpg,white,fear,34
112,2.jpg,white,angry,40
113,20.jpg,white,fear,42
114,200.jpg,white,fear,38
115,201.jpg,white,fear,41
116,202.jpg,white,neutral,37
117,203.jpg,white,neutral,41
118,204.jpg,white,sad,36
