,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,sad,49.0
3,11.jpg,,,
4,12.jpg,,,
5,13.jpg,,,
6,14.jpg,,,
7,15.jpg,,,
8,16.jpg,,,
9,17.jpg,,,
10,18.jpg,,,
11,19.jpg,,,
12,2.jpg,,,
13,20.jpg,white,angry,35.0
14,21.jpg,white,angry,39.0
15,22.jpg,white,angry,47.0
16,23.jpg,latino hispanic,angry,38.0
17,24.jpg,middle eastern,angry,40.0
18,25.jpg,middle eastern,angry,43.0
19,26.jpg,middle eastern,neutral,41.0
20,27.jpg,white,neutral,44.0
21,28.jpg,middle eastern,fear,47.0
22,29.jpg,middle eastern,sad,46.0
23,3.jpg,middle eastern,angry,42.0
24,30.jpg,middle eastern,neutral,44.0
25,31.jpg,middle eastern,neutral,31.0
26,32.jpg,latino hispanic,neutral,40.0
27,33.jpg,,,
28,34.jpg,,,
29,35.jpg,,,
30,36.jpg,,,
31,37.jpg,,,
32,38.jpg,,,
33,39.jpg,,,
34,4.jpg,latino hispanic,fear,45.0
35,40.jpg,,,
36,41.jpg,,,
37,42.jpg,,,
38,43.jpg,,,
39,44.jpg,,,
40,45.jpg,,,
41,46.jpg,,,
42,47.jpg,,,
43,48.jpg,,,
44,49.jpg,,,
45,5.jpg,white,sad,48.0
46,50.jpg,,,
47,51.jpg,,,
48,52.jpg,,,
49,53.jpg,,,
50,54.jpg,,,
51,55.jpg,,,
52,56.jpg,,,
53,57.jpg,,,
54,58.jpg,latino hispanic,neutral,48.0
55,59.jpg,white,fear,51.0
56,6.jpg,latino hispanic,fear,47.0
57,60.jpg,middle eastern,fear,42.0
58,61.jpg,middle eastern,fear,47.0
59,62.jpg,latino hispanic,fear,45.0
60,63.jpg,middle eastern,neutral,40.0
61,64.jpg,black,sad,46.0
62,65.jpg,middle eastern,fear,42.0
63,66.jpg,latino hispanic,fear,35.0
64,67.jpg,middle eastern,neutral,42.0
65,68.jpg,latino hispanic,surprise,40.0
66,69.jpg,middle eastern,angry,45.0
67,7.jpg,latino hispanic,sad,51.0
68,70.jpg,middle eastern,sad,44.0
69,71.jpg,middle eastern,neutral,39.0
70,72.jpg,middle eastern,neutral,40.0
71,73.jpg,middle eastern,neutral,41.0
72,74.jpg,middle eastern,angry,43.0
73,75.jpg,,,
74,76.jpg,,,
75,77.jpg,,,
76,78.jpg,,,
77,79.jpg,,,
78,8.jpg,black,neutral,35.0
79,80.jpg,,,
80,81.jpg,,,
81,82.jpg,,,
82,83.jpg,,,
83,84.jpg,,,
84,85.jpg,,,
85,86.jpg,,,
86,87.jpg,,,
87,88.jpg,,,
88,89.jpg,,,
89,9.jpg,black,angry,37.0
90,90.jpg,,,
