frame,dominant_race,dominant_emotion,age
0.jpg,white,happy,45
1.jpg,middle eastern,happy,34
10.jpg,white,neutral,41
11.jpg,white,sad,43
12.jpg,white,happy,48
13.jpg,white,fear,39
14.jpg,latino hispanic,angry,34
15.jpg,white,angry,37
16.jpg,middle eastern,fear,39
17.jpg,latino hispanic,happy,46
18.jpg,white,sad,49
19.jpg,white,sad,52
2.jpg,white,happy,40
20.jpg,white,sad,44
21.jpg,white,happy,45
22.jpg,indian,sad,50
23.jpg,middle eastern,sad,43
24.jpg,indian,sad,43
25.jpg,latino hispanic,neutral,50
26.jpg,latino hispanic,neutral,51
27.jpg,latino hispanic,neutral,50
28.jpg,white,neutral,48
29.jpg,,,
3.jpg,white,sad,43
30.jpg,latino hispanic,neutral,49
31.jpg,white,neutral,42
32.jpg,,,
33.jpg,indian,sad,43
34.jpg,white,sad,45
35.jpg,middle eastern,neutral,46
36.jpg,middle eastern,sad,45
37.jpg,latino hispanic,sad,46
38.jpg,white,sad,47
39.jpg,latino hispanic,neutral,53
4.jpg,white,neutral,51
40.jpg,middle eastern,neutral,51
41.jpg,white,neutral,40
42.jpg,,,
43.jpg,indian,sad,45
44.jpg,,,
45.jpg,,,
46.jpg,,,
47.jpg,latino hispanic,neutral,49
48.jpg,latino hispanic,sad,45
49.jpg,latino hispanic,sad,42
5.jpg,white,neutral,42
50.jpg,latino hispanic,fear,45
51.jpg,white,sad,42
52.jpg,white,sad,46
53.jpg,white,sad,48
54.jpg,white,happy,46
55.jpg,middle eastern,sad,48
56.jpg,latino hispanic,sad,35
57.jpg,latino hispanic,happy,56
58.jpg,latino hispanic,sad,44
59.jpg,white,sad,45
6.jpg,white,happy,41
60.jpg,white,neutral,47
61.jpg,white,neutral,48
62.jpg,white,sad,45
63.jpg,asian,neutral,51
64.jpg,middle eastern,neutral,51
65.jpg,white,happy,52
66.jpg,white,happy,50
67.jpg,white,happy,49
68.jpg,white,happy,51
69.jpg,white,happy,44
7.jpg,latino hispanic,happy,44
70.jpg,middle eastern,happy,47
71.jpg,latino hispanic,happy,45
72.jpg,white,sad,42
73.jpg,white,angry,47
74.jpg,white,sad,51
75.jpg,white,sad,47
76.jpg,,,
77.jpg,white,happy,45
8.jpg,white,neutral,48
9.jpg,white,neutral,48
