,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,sad,26.0
3,100.jpg,white,fear,30.0
4,101.jpg,white,fear,31.0
5,102.jpg,white,sad,33.0
6,103.jpg,white,surprise,39.0
7,104.jpg,white,sad,36.0
8,105.jpg,white,sad,33.0
9,106.jpg,white,neutral,29.0
10,107.jpg,white,fear,32.0
11,108.jpg,white,neutral,27.0
12,109.jpg,,,
13,11.jpg,white,neutral,25.0
14,110.jpg,,,
15,111.jpg,,,
16,112.jpg,,,
17,113.jpg,,,
18,114.jpg,,,
19,115.jpg,white,fear,33.0
20,116.jpg,white,fear,28.0
21,117.jpg,white,sad,24.0
22,118.jpg,white,neutral,28.0
23,119.jpg,white,sad,37.0
24,12.jpg,white,sad,24.0
25,120.jpg,white,sad,35.0
26,121.jpg,white,sad,35.0
27,122.jpg,white,sad,29.0
28,123.jpg,white,surprise,29.0
29,124.jpg,white,sad,32.0
30,125.jpg,white,sad,31.0
31,126.jpg,white,sad,32.0
32,127.jpg,white,neutral,29.0
33,128.jpg,white,neutral,27.0
34,129.jpg,,,
35,13.jpg,white,neutral,27.0
36,130.jpg,,,
37,131.jpg,,,
38,132.jpg,,,
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,,,
42,14.jpg,white,sad,36.0
43,15.jpg,white,sad,27.0
44,16.jpg,white,sad,32.0
45,17.jpg,white,sad,29.0
46,18.jpg,white,sad,31.0
47,19.jpg,white,sad,35.0
48,2.jpg,,,
49,20.jpg,,,
50,21.jpg,white,sad,48.0
51,22.jpg,white,neutral,41.0
52,23.jpg,white,sad,30.0
53,24.jpg,white,neutral,44.0
54,25.jpg,white,sad,27.0
55,26.jpg,white,fear,27.0
56,27.jpg,white,sad,28.0
57,28.jpg,white,sad,32.0
58,29.jpg,white,sad,31.0
59,3.jpg,,,
60,30.jpg,white,fear,34.0
61,31.jpg,white,sad,32.0
62,32.jpg,white,surprise,29.0
63,33.jpg,white,sad,27.0
64,34.jpg,white,sad,26.0
65,35.jpg,white,sad,34.0
66,36.jpg,white,happy,27.0
67,37.jpg,white,sad,24.0
68,38.jpg,white,neutral,43.0
69,39.jpg,white,fear,27.0
70,4.jpg,,,
71,40.jpg,white,neutral,23.0
72,41.jpg,white,sad,31.0
73,42.jpg,white,neutral,26.0
74,43.jpg,white,fear,34.0
75,44.jpg,white,fear,39.0
76,45.jpg,white,fear,33.0
77,46.jpg,,,
78,47.jpg,white,neutral,39.0
79,48.jpg,,,
80,49.jpg,white,neutral,39.0
81,5.jpg,,,
82,50.jpg,,,
83,51.jpg,white,neutral,40.0
84,52.jpg,white,sad,34.0
85,53.jpg,white,sad,36.0
86,54.jpg,,,
87,55.jpg,white,fear,34.0
88,56.jpg,white,sad,34.0
89,57.jpg,white,sad,29.0
90,58.jpg,white,sad,23.0
91,59.jpg,white,neutral,34.0
92,6.jpg,,,
93,60.jpg,white,sad,33.0
94,61.jpg,white,sad,24.0
95,62.jpg,white,fear,44.0
96,63.jpg,white,neutral,30.0
97,64.jpg,white,fear,33.0
98,65.jpg,white,sad,33.0
99,66.jpg,white,neutral,29.0
100,67.jpg,white,neutral,31.0
101,68.jpg,white,angry,25.0
102,69.jpg,white,sad,26.0
103,7.jpg,,,
104,70.jpg,white,sad,37.0
105,71.jpg,white,sad,28.0
106,72.jpg,,,
107,73.jpg,white,sad,26.0
108,74.jpg,,,
109,75.jpg,,,
110,76.jpg,latino hispanic,sad,27.0
111,77.jpg,white,neutral,27.0
112,78.jpg,white,sad,25.0
113,79.jpg,white,fear,32.0
114,8.jpg,,,
115,80.jpg,white,sad,24.0
116,81.jpg,,,
117,82.jpg,white,happy,38.0
118,83.jpg,white,fear,42.0
119,84.jpg,white,fear,30.0
120,85.jpg,white,neutral,36.0
121,86.jpg,white,sad,39.0
122,87.jpg,white,fear,36.0
123,88.jpg,white,sad,28.0
124,89.jpg,white,neutral,48.0
125,9.jpg,white,sad,27.0
126,90.jpg,white,fear,28.0
127,91.jpg,white,fear,32.0
128,92.jpg,white,sad,37.0
129,93.jpg,white,happy,28.0
130,94.jpg,white,neutral,40.0
131,95.jpg,white,happy,31.0
132,96.jpg,,,
133,97.jpg,white,sad,26.0
134,98.jpg,white,sad,30.0
135,99.jpg,white,fear,32.0
