,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,fear,36.0
1,1.jpg,white,surprise,35.0
2,10.jpg,white,sad,38.0
3,100.jpg,white,happy,40.0
4,101.jpg,white,surprise,42.0
5,102.jpg,white,fear,44.0
6,103.jpg,white,fear,43.0
7,104.jpg,white,fear,44.0
8,105.jpg,white,sad,44.0
9,106.jpg,white,fear,42.0
10,107.jpg,white,surprise,43.0
11,108.jpg,white,fear,41.0
12,109.jpg,white,fear,40.0
13,11.jpg,white,sad,46.0
14,110.jpg,white,sad,36.0
15,111.jpg,white,sad,41.0
16,112.jpg,white,fear,40.0
17,113.jpg,white,fear,39.0
18,114.jpg,white,fear,42.0
19,115.jpg,white,fear,42.0
20,116.jpg,white,fear,43.0
21,117.jpg,white,sad,44.0
22,118.jpg,white,surprise,45.0
23,119.jpg,white,sad,28.0
24,12.jpg,white,sad,40.0
25,120.jpg,white,sad,43.0
26,121.jpg,white,sad,44.0
27,122.jpg,white,fear,44.0
28,123.jpg,white,fear,45.0
29,124.jpg,white,neutral,42.0
30,125.jpg,white,sad,44.0
31,126.jpg,white,fear,37.0
32,127.jpg,white,fear,44.0
33,128.jpg,white,surprise,39.0
34,129.jpg,white,happy,28.0
35,13.jpg,white,neutral,36.0
36,130.jpg,white,happy,30.0
37,131.jpg,white,sad,41.0
38,132.jpg,white,sad,35.0
39,133.jpg,white,fear,42.0
40,134.jpg,white,sad,47.0
41,135.jpg,white,fear,38.0
42,136.jpg,white,fear,47.0
43,137.jpg,white,sad,41.0
44,138.jpg,white,surprise,40.0
45,139.jpg,white,sad,36.0
46,14.jpg,white,neutral,40.0
47,140.jpg,white,sad,35.0
48,141.jpg,white,sad,35.0
49,142.jpg,white,fear,38.0
50,143.jpg,white,sad,39.0
51,144.jpg,white,fear,40.0
52,145.jpg,white,fear,41.0
53,146.jpg,white,sad,41.0
54,147.jpg,white,fear,42.0
55,148.jpg,white,fear,43.0
56,149.jpg,white,fear,43.0
57,15.jpg,white,sad,45.0
58,150.jpg,white,sad,34.0
59,151.jpg,white,sad,34.0
60,152.jpg,white,happy,32.0
61,153.jpg,white,happy,45.0
62,154.jpg,white,sad,44.0
63,155.jpg,white,sad,42.0
64,156.jpg,white,fear,40.0
65,157.jpg,white,sad,41.0
66,158.jpg,white,fear,36.0
67,159.jpg,white,fear,42.0
68,16.jpg,white,neutral,45.0
69,160.jpg,white,fear,44.0
70,161.jpg,white,surprise,41.0
71,162.jpg,white,fear,45.0
72,163.jpg,white,sad,43.0
73,164.jpg,white,sad,27.0
74,165.jpg,white,fear,43.0
75,166.jpg,white,sad,46.0
76,167.jpg,white,sad,42.0
77,168.jpg,white,fear,42.0
78,169.jpg,white,fear,40.0
79,17.jpg,white,neutral,45.0
80,170.jpg,white,surprise,41.0
81,171.jpg,white,neutral,44.0
82,172.jpg,white,surprise,44.0
83,173.jpg,white,fear,40.0
84,174.jpg,white,happy,45.0
85,175.jpg,white,sad,43.0
86,176.jpg,white,sad,40.0
87,177.jpg,white,neutral,40.0
88,178.jpg,white,sad,45.0
89,179.jpg,white,fear,40.0
90,18.jpg,white,neutral,40.0
91,180.jpg,white,sad,28.0
92,181.jpg,white,sad,29.0
93,182.jpg,white,fear,39.0
94,183.jpg,white,neutral,38.0
95,184.jpg,white,sad,37.0
96,185.jpg,white,sad,46.0
97,186.jpg,white,fear,42.0
98,187.jpg,white,fear,45.0
99,188.jpg,white,fear,43.0
100,189.jpg,white,sad,42.0
101,19.jpg,white,sad,42.0
102,190.jpg,white,sad,36.0
103,191.jpg,white,sad,40.0
104,192.jpg,white,fear,44.0
105,193.jpg,white,sad,42.0
106,194.jpg,white,sad,41.0
107,195.jpg,white,fear,37.0
108,196.jpg,white,surprise,43.0
109,197.jpg,white,fear,37.0
110,198.jpg,white,fear,44.0
111,199.jpg,white,sad,37.0
112,2.jpg,white,neutral,42.0
113,20.jpg,white,happy,43.0
114,200.jpg,white,sad,43.0
115,201.jpg,white,sad,44.0
116,202.jpg,white,surprise,43.0
117,203.jpg,white,surprise,44.0
118,204.jpg,white,sad,46.0
119,205.jpg,white,neutral,38.0
120,206.jpg,white,fear,46.0
121,207.jpg,white,fear,42.0
122,208.jpg,white,fear,44.0
123,209.jpg,white,sad,28.0
124,21.jpg,white,fear,44.0
125,210.jpg,white,neutral,43.0
126,211.jpg,white,sad,42.0
127,212.jpg,white,fear,40.0
128,213.jpg,white,surprise,42.0
129,214.jpg,white,sad,30.0
130,215.jpg,white,sad,28.0
131,216.jpg,white,sad,28.0
132,217.jpg,white,sad,42.0
133,218.jpg,white,sad,27.0
134,219.jpg,white,fear,38.0
135,22.jpg,white,sad,43.0
136,220.jpg,white,sad,29.0
137,221.jpg,white,fear,39.0
138,222.jpg,white,fear,44.0
139,223.jpg,white,sad,28.0
140,224.jpg,white,sad,29.0
141,225.jpg,white,fear,37.0
142,226.jpg,white,fear,42.0
143,227.jpg,white,sad,28.0
144,228.jpg,white,sad,39.0
145,229.jpg,white,sad,28.0
146,23.jpg,white,sad,45.0
147,230.jpg,white,sad,39.0
148,231.jpg,white,sad,40.0
149,232.jpg,white,surprise,46.0
150,233.jpg,white,surprise,41.0
151,234.jpg,white,fear,41.0
152,235.jpg,white,fear,36.0
153,236.jpg,white,sad,35.0
154,237.jpg,white,sad,41.0
155,238.jpg,white,fear,44.0
156,239.jpg,white,surprise,44.0
157,24.jpg,white,fear,42.0
158,240.jpg,white,fear,34.0
159,241.jpg,white,fear,39.0
160,242.jpg,white,sad,36.0
161,243.jpg,white,sad,41.0
162,244.jpg,white,sad,40.0
163,245.jpg,white,neutral,39.0
164,246.jpg,,,
165,247.jpg,,,
166,248.jpg,,,
167,249.jpg,,,
168,25.jpg,white,sad,44.0
169,250.jpg,,,
170,26.jpg,white,fear,39.0
171,27.jpg,white,sad,40.0
172,28.jpg,white,sad,45.0
173,29.jpg,white,sad,45.0
174,3.jpg,white,sad,46.0
175,30.jpg,white,surprise,46.0
176,31.jpg,white,fear,43.0
177,32.jpg,white,sad,45.0
178,33.jpg,white,happy,47.0
179,34.jpg,white,sad,44.0
180,35.jpg,white,sad,39.0
181,36.jpg,white,sad,40.0
182,37.jpg,white,sad,40.0
183,38.jpg,white,fear,43.0
184,39.jpg,white,neutral,42.0
185,4.jpg,white,neutral,44.0
186,40.jpg,white,sad,43.0
187,41.jpg,white,fear,42.0
188,42.jpg,white,surprise,45.0
189,43.jpg,white,surprise,44.0
190,44.jpg,white,fear,44.0
191,45.jpg,white,fear,46.0
192,46.jpg,white,neutral,43.0
193,47.jpg,white,fear,42.0
194,48.jpg,white,fear,43.0
195,49.jpg,white,sad,41.0
196,5.jpg,white,sad,45.0
197,50.jpg,white,sad,45.0
198,51.jpg,white,fear,44.0
199,52.jpg,white,surprise,44.0
200,53.jpg,white,sad,45.0
201,54.jpg,white,surprise,45.0
202,55.jpg,white,fear,43.0
203,56.jpg,white,fear,41.0
204,57.jpg,white,fear,45.0
205,58.jpg,white,fear,44.0
206,59.jpg,white,sad,45.0
207,6.jpg,white,happy,47.0
208,60.jpg,white,fear,40.0
209,61.jpg,white,fear,43.0
210,62.jpg,white,fear,43.0
211,63.jpg,white,surprise,43.0
212,64.jpg,white,fear,43.0
213,65.jpg,white,surprise,42.0
214,66.jpg,white,neutral,42.0
215,67.jpg,white,sad,43.0
216,68.jpg,white,fear,46.0
217,69.jpg,white,sad,46.0
218,7.jpg,white,happy,42.0
219,70.jpg,white,sad,46.0
220,71.jpg,white,sad,43.0
221,72.jpg,white,sad,39.0
222,73.jpg,white,surprise,40.0
223,74.jpg,white,sad,40.0
224,75.jpg,white,fear,47.0
225,76.jpg,white,sad,48.0
226,77.jpg,white,fear,45.0
227,78.jpg,white,fear,45.0
228,79.jpg,white,neutral,36.0
229,8.jpg,white,happy,43.0
230,80.jpg,white,fear,41.0
231,81.jpg,white,surprise,43.0
232,82.jpg,white,sad,46.0
233,83.jpg,white,sad,40.0
234,84.jpg,white,fear,43.0
235,85.jpg,white,surprise,44.0
