,frame,dominant_race,dominant_emotion,age
0,0.jpg,latino hispanic,surprise,34
1,1.jpg,white,neutral,33
2,10.jpg,latino hispanic,angry,34
3,100.jpg,white,angry,37
4,101.jpg,latino hispanic,neutral,36
5,102.jpg,latino hispanic,fear,39
6,103.jpg,latino hispanic,angry,35
7,104.jpg,latino hispanic,sad,37
8,105.jpg,white,fear,34
9,106.jpg,white,sad,25
10,107.jpg,latino hispanic,angry,42
11,108.jpg,white,neutral,36
12,109.jpg,latino hispanic,neutral,35
13,11.jpg,white,happy,39
14,110.jpg,latino hispanic,sad,37
15,111.jpg,latino hispanic,sad,37
16,112.jpg,latino hispanic,disgust,36
17,113.jpg,latino hispanic,angry,34
18,114.jpg,white,angry,36
19,115.jpg,white,sad,37
20,116.jpg,white,sad,34
21,117.jpg,latino hispanic,sad,34
22,118.jpg,white,angry,33
23,119.jpg,white,angry,35
24,12.jpg,white,neutral,36
25,120.jpg,white,sad,25
26,121.jpg,white,angry,34
27,122.jpg,latino hispanic,angry,35
28,123.jpg,white,neutral,35
29,124.jpg,latino hispanic,sad,35
30,125.jpg,white,happy,27
31,126.jpg,latino hispanic,angry,34
32,127.jpg,latino hispanic,sad,35
33,128.jpg,white,neutral,36
34,129.jpg,white,neutral,39
35,13.jpg,asian,neutral,29
36,130.jpg,white,fear,35
37,131.jpg,latino hispanic,fear,34
38,132.jpg,latino hispanic,sad,42
39,133.jpg,latino hispanic,sad,36
40,134.jpg,latino hispanic,neutral,34
41,135.jpg,white,fear,24
42,136.jpg,white,sad,33
43,137.jpg,white,sad,35
44,138.jpg,latino hispanic,neutral,37
45,139.jpg,middle eastern,sad,34
46,14.jpg,white,sad,34
47,140.jpg,latino hispanic,sad,36
48,141.jpg,latino hispanic,angry,39
49,142.jpg,white,sad,37
50,143.jpg,latino hispanic,sad,38
51,144.jpg,latino hispanic,sad,37
52,145.jpg,white,neutral,36
53,146.jpg,latino hispanic,angry,38
54,147.jpg,latino hispanic,angry,39
55,148.jpg,latino hispanic,neutral,34
56,149.jpg,latino hispanic,angry,35
57,15.jpg,white,neutral,37
58,150.jpg,white,neutral,34
59,151.jpg,latino hispanic,sad,40
60,152.jpg,latino hispanic,angry,33
61,153.jpg,latino hispanic,fear,34
62,154.jpg,latino hispanic,sad,40
63,155.jpg,latino hispanic,angry,35
64,156.jpg,latino hispanic,disgust,35
65,157.jpg,latino hispanic,angry,36
66,158.jpg,latino hispanic,neutral,37
67,159.jpg,latino hispanic,angry,35
68,16.jpg,latino hispanic,angry,34
