,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,asian,sad,44.0
3,100.jpg,latino hispanic,disgust,29.0
4,101.jpg,white,fear,36.0
5,102.jpg,latino hispanic,angry,33.0
6,103.jpg,latino hispanic,disgust,42.0
7,104.jpg,latino hispanic,neutral,33.0
8,105.jpg,latino hispanic,sad,44.0
9,106.jpg,latino hispanic,fear,42.0
10,107.jpg,latino hispanic,neutral,37.0
11,108.jpg,latino hispanic,fear,42.0
12,109.jpg,latino hispanic,angry,39.0
13,11.jpg,latino hispanic,fear,33.0
14,110.jpg,latino hispanic,angry,28.0
15,111.jpg,asian,fear,38.0
16,112.jpg,asian,fear,39.0
17,113.jpg,latino hispanic,neutral,37.0
18,114.jpg,latino hispanic,fear,40.0
19,115.jpg,asian,neutral,39.0
20,116.jpg,asian,neutral,30.0
21,117.jpg,asian,sad,35.0
22,118.jpg,latino hispanic,neutral,33.0
23,119.jpg,latino hispanic,neutral,37.0
24,12.jpg,latino hispanic,fear,42.0
25,120.jpg,asian,angry,34.0
26,121.jpg,asian,neutral,31.0
27,122.jpg,latino hispanic,angry,35.0
28,123.jpg,white,angry,36.0
29,124.jpg,asian,surprise,44.0
30,125.jpg,latino hispanic,neutral,31.0
31,126.jpg,latino hispanic,neutral,31.0
32,127.jpg,latino hispanic,sad,41.0
33,128.jpg,latino hispanic,angry,27.0
34,129.jpg,latino hispanic,neutral,33.0
35,13.jpg,latino hispanic,angry,36.0
36,130.jpg,asian,fear,35.0
37,131.jpg,asian,neutral,34.0
38,132.jpg,latino hispanic,fear,33.0
39,133.jpg,latino hispanic,neutral,34.0
40,134.jpg,asian,fear,43.0
41,135.jpg,latino hispanic,surprise,41.0
42,136.jpg,latino hispanic,sad,43.0
43,137.jpg,latino hispanic,angry,44.0
44,138.jpg,latino hispanic,fear,39.0
45,139.jpg,asian,fear,40.0
46,14.jpg,latino hispanic,angry,42.0
47,140.jpg,latino hispanic,sad,36.0
48,141.jpg,latino hispanic,neutral,33.0
49,142.jpg,asian,happy,30.0
50,143.jpg,latino hispanic,sad,45.0
51,144.jpg,latino hispanic,neutral,35.0
52,145.jpg,latino hispanic,neutral,29.0
53,146.jpg,latino hispanic,sad,41.0
