,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,,,
3,100.jpg,asian,sad,26.0
4,101.jpg,asian,fear,33.0
5,102.jpg,asian,sad,30.0
6,103.jpg,asian,neutral,29.0
7,104.jpg,white,neutral,35.0
8,105.jpg,asian,sad,34.0
9,106.jpg,white,sad,35.0
10,107.jpg,white,fear,37.0
11,108.jpg,asian,neutral,29.0
12,109.jpg,white,fear,36.0
13,11.jpg,,,
14,110.jpg,white,sad,34.0
15,111.jpg,white,neutral,33.0
16,112.jpg,asian,neutral,29.0
17,113.jpg,asian,fear,35.0
18,114.jpg,white,sad,35.0
19,115.jpg,asian,neutral,35.0
20,116.jpg,asian,neutral,29.0
21,117.jpg,asian,sad,29.0
22,118.jpg,asian,neutral,35.0
23,119.jpg,white,neutral,26.0
24,12.jpg,,,
25,120.jpg,asian,fear,34.0
26,121.jpg,white,sad,34.0
27,122.jpg,white,sad,34.0
28,123.jpg,white,sad,35.0
29,124.jpg,,,
30,125.jpg,,,
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,,,
36,130.jpg,,,
37,131.jpg,,,
38,132.jpg,,,
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,,,
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,,,
45,139.jpg,,,
46,14.jpg,asian,sad,32.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,,,
52,145.jpg,,,
53,146.jpg,asian,sad,36.0
54,147.jpg,white,neutral,27.0
55,148.jpg,white,sad,35.0
56,149.jpg,asian,neutral,32.0
57,15.jpg,white,sad,36.0
58,150.jpg,asian,neutral,28.0
59,151.jpg,asian,sad,33.0
60,152.jpg,asian,neutral,30.0
61,153.jpg,asian,sad,31.0
62,154.jpg,asian,sad,29.0
63,155.jpg,asian,sad,34.0
64,156.jpg,asian,neutral,29.0
65,157.jpg,white,sad,34.0
66,158.jpg,asian,neutral,31.0
67,159.jpg,asian,sad,29.0
68,16.jpg,asian,neutral,28.0
69,160.jpg,asian,sad,28.0
70,161.jpg,asian,neutral,30.0
71,162.jpg,asian,sad,29.0
72,163.jpg,asian,sad,36.0
