,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,fear,32.0
1,1.jpg,white,angry,31.0
2,10.jpg,white,happy,33.0
3,100.jpg,,,
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,,,
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,white,happy,31.0
11,108.jpg,latino hispanic,neutral,30.0
12,109.jpg,white,neutral,30.0
13,11.jpg,white,neutral,35.0
14,110.jpg,,,
15,111.jpg,,,
16,112.jpg,,,
17,113.jpg,,,
18,114.jpg,,,
19,115.jpg,,,
20,116.jpg,,,
21,117.jpg,,,
22,118.jpg,,,
23,119.jpg,,,
24,12.jpg,white,sad,38.0
25,120.jpg,,,
26,121.jpg,,,
27,122.jpg,,,
28,123.jpg,,,
29,124.jpg,,,
30,125.jpg,,,
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,white,happy,28.0
34,129.jpg,white,happy,29.0
35,13.jpg,white,neutral,34.0
36,130.jpg,,,
37,131.jpg,,,
38,132.jpg,white,happy,27.0
39,133.jpg,middle eastern,neutral,31.0
40,134.jpg,white,angry,28.0
41,135.jpg,white,happy,34.0
42,136.jpg,white,neutral,31.0
43,137.jpg,white,angry,29.0
44,138.jpg,white,neutral,30.0
45,139.jpg,,,
46,14.jpg,white,neutral,37.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,white,happy,33.0
52,145.jpg,white,happy,34.0
53,146.jpg,white,neutral,35.0
54,147.jpg,,,
55,148.jpg,,,
56,149.jpg,,,
57,15.jpg,white,neutral,36.0
58,150.jpg,,,
59,151.jpg,,,
60,152.jpg,white,happy,32.0
61,153.jpg,white,neutral,32.0
62,154.jpg,white,fear,33.0
63,155.jpg,,,
64,156.jpg,,,
65,157.jpg,,,
66,158.jpg,,,
67,159.jpg,,,
68,16.jpg,,,
69,160.jpg,,,
70,161.jpg,,,
71,162.jpg,,,
72,163.jpg,,,
73,164.jpg,,,
74,165.jpg,white,fear,32.0
75,166.jpg,white,fear,34.0
76,167.jpg,white,happy,32.0
77,168.jpg,,,
78,169.jpg,,,
79,17.jpg,,,
80,170.jpg,,,
81,171.jpg,,,
82,172.jpg,white,neutral,37.0
83,173.jpg,asian,sad,32.0
84,174.jpg,white,happy,33.0
85,175.jpg,latino hispanic,neutral,31.0
86,176.jpg,white,happy,32.0
87,177.jpg,white,happy,33.0
88,178.jpg,white,happy,38.0
89,179.jpg,white,happy,31.0
90,18.jpg,,,
91,180.jpg,white,sad,33.0
92,181.jpg,white,surprise,32.0
93,182.jpg,white,happy,34.0
94,183.jpg,white,neutral,36.0
95,184.jpg,white,neutral,32.0
96,185.jpg,white,surprise,38.0
97,186.jpg,white,neutral,36.0
98,187.jpg,white,neutral,35.0
99,188.jpg,white,neutral,37.0
100,189.jpg,white,happy,36.0
101,19.jpg,,,
102,190.jpg,white,happy,34.0
103,191.jpg,white,surprise,39.0
104,192.jpg,white,happy,36.0
105,193.jpg,,,
106,194.jpg,white,happy,31.0
107,195.jpg,white,neutral,37.0
108,196.jpg,white,neutral,33.0
109,197.jpg,white,neutral,37.0
110,198.jpg,white,neutral,36.0
111,199.jpg,white,neutral,34.0
112,2.jpg,white,neutral,36.0
113,20.jpg,,,
114,200.jpg,white,happy,33.0
115,201.jpg,white,happy,30.0
116,202.jpg,white,happy,31.0
117,203.jpg,white,neutral,38.0
118,204.jpg,white,neutral,36.0
119,205.jpg,white,angry,28.0
120,206.jpg,white,neutral,34.0
121,207.jpg,white,sad,33.0
122,208.jpg,white,surprise,31.0
123,209.jpg,white,neutral,36.0
124,21.jpg,white,neutral,38.0
125,210.jpg,white,happy,32.0
126,211.jpg,latino hispanic,neutral,32.0
127,212.jpg,,,
128,213.jpg,white,neutral,31.0
129,214.jpg,white,sad,29.0
130,215.jpg,white,neutral,37.0
131,216.jpg,white,neutral,36.0
132,217.jpg,white,sad,34.0
133,218.jpg,white,happy,32.0
134,219.jpg,white,surprise,30.0
135,22.jpg,white,angry,31.0
136,220.jpg,white,neutral,34.0
137,221.jpg,white,neutral,34.0
138,222.jpg,asian,neutral,32.0
139,223.jpg,white,neutral,35.0
140,224.jpg,white,fear,33.0
141,225.jpg,white,sad,33.0
142,226.jpg,white,sad,36.0
143,227.jpg,white,sad,36.0
144,228.jpg,white,fear,34.0
145,229.jpg,white,fear,35.0
146,23.jpg,white,neutral,32.0
147,230.jpg,white,fear,36.0
148,231.jpg,white,fear,36.0
149,232.jpg,white,fear,36.0
150,233.jpg,white,fear,36.0
151,234.jpg,white,fear,36.0
152,235.jpg,white,fear,37.0
