,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,neutral,39.0
1,1.jpg,asian,sad,36.0
2,10.jpg,white,fear,36.0
3,100.jpg,white,sad,40.0
4,101.jpg,white,angry,38.0
5,102.jpg,asian,neutral,33.0
6,103.jpg,white,angry,36.0
7,104.jpg,white,angry,39.0
8,105.jpg,white,angry,39.0
9,106.jpg,white,neutral,37.0
10,107.jpg,white,angry,39.0
11,108.jpg,white,angry,39.0
12,109.jpg,white,angry,38.0
13,11.jpg,white,angry,39.0
14,110.jpg,white,angry,38.0
15,111.jpg,white,angry,39.0
16,112.jpg,white,angry,39.0
17,113.jpg,white,angry,39.0
18,114.jpg,white,neutral,39.0
19,115.jpg,white,angry,37.0
20,116.jpg,white,angry,39.0
21,117.jpg,white,neutral,34.0
22,118.jpg,white,neutral,37.0
23,119.jpg,white,fear,35.0
24,12.jpg,white,angry,35.0
25,120.jpg,white,angry,41.0
26,121.jpg,white,angry,39.0
27,122.jpg,white,sad,31.0
28,123.jpg,white,angry,41.0
29,124.jpg,white,angry,42.0
30,125.jpg,white,sad,34.0
31,126.jpg,white,sad,39.0
32,127.jpg,white,angry,36.0
33,128.jpg,white,sad,41.0
34,129.jpg,white,fear,35.0
35,13.jpg,white,sad,34.0
36,130.jpg,asian,neutral,35.0
37,131.jpg,white,angry,36.0
38,132.jpg,white,fear,36.0
39,133.jpg,white,sad,32.0
40,134.jpg,white,angry,40.0
41,135.jpg,white,angry,36.0
42,136.jpg,white,neutral,32.0
43,137.jpg,white,neutral,35.0
44,138.jpg,white,angry,37.0
45,139.jpg,white,sad,34.0
46,14.jpg,white,sad,37.0
47,140.jpg,white,fear,36.0
48,141.jpg,white,neutral,36.0
49,142.jpg,white,fear,39.0
50,143.jpg,white,fear,37.0
51,144.jpg,white,angry,36.0
52,145.jpg,white,angry,36.0
53,146.jpg,white,angry,36.0
54,147.jpg,white,angry,39.0
55,148.jpg,white,angry,37.0
56,149.jpg,white,angry,42.0
57,15.jpg,white,angry,37.0
58,150.jpg,white,angry,38.0
59,151.jpg,white,sad,39.0
60,152.jpg,white,fear,35.0
61,153.jpg,white,fear,36.0
62,154.jpg,white,angry,39.0
63,155.jpg,white,fear,36.0
64,156.jpg,white,angry,39.0
65,157.jpg,white,angry,37.0
66,158.jpg,white,angry,39.0
67,159.jpg,white,angry,39.0
68,16.jpg,white,angry,41.0
69,160.jpg,white,sad,42.0
70,161.jpg,white,angry,40.0
71,162.jpg,white,angry,38.0
72,163.jpg,white,angry,38.0
73,164.jpg,white,angry,39.0
74,165.jpg,white,sad,40.0
75,166.jpg,white,fear,34.0
