,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,neutral,39.0
3,100.jpg,white,sad,45.0
4,101.jpg,asian,fear,53.0
5,102.jpg,white,fear,50.0
6,103.jpg,white,sad,50.0
7,104.jpg,white,sad,49.0
8,105.jpg,middle eastern,angry,34.0
9,106.jpg,white,sad,51.0
10,107.jpg,white,sad,48.0
11,108.jpg,white,sad,48.0
12,109.jpg,white,sad,49.0
13,11.jpg,middle eastern,sad,46.0
14,110.jpg,white,sad,45.0
15,111.jpg,white,fear,50.0
16,112.jpg,white,sad,48.0
17,113.jpg,white,sad,50.0
18,114.jpg,white,happy,50.0
19,115.jpg,white,fear,48.0
20,116.jpg,white,sad,48.0
21,117.jpg,white,sad,47.0
22,118.jpg,white,sad,48.0
23,119.jpg,white,sad,50.0
24,12.jpg,white,happy,50.0
25,120.jpg,white,sad,51.0
26,121.jpg,white,fear,49.0
27,122.jpg,white,fear,30.0
28,123.jpg,white,fear,49.0
29,124.jpg,white,fear,48.0
30,125.jpg,white,neutral,30.0
31,126.jpg,white,fear,45.0
32,127.jpg,white,sad,48.0
33,128.jpg,white,fear,48.0
34,129.jpg,white,fear,51.0
35,13.jpg,asian,sad,48.0
36,130.jpg,white,fear,54.0
37,131.jpg,white,neutral,53.0
38,132.jpg,white,fear,52.0
39,133.jpg,asian,sad,49.0
40,134.jpg,asian,sad,51.0
41,135.jpg,,,
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,,,
45,139.jpg,,,
46,14.jpg,asian,sad,50.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,white,sad,50.0
51,144.jpg,white,sad,47.0
52,145.jpg,white,sad,49.0
53,146.jpg,white,sad,52.0
54,147.jpg,white,sad,50.0
55,148.jpg,white,sad,48.0
56,149.jpg,white,fear,48.0
57,15.jpg,latino hispanic,neutral,51.0
58,150.jpg,white,fear,49.0
59,151.jpg,,,
60,152.jpg,,,
61,153.jpg,,,
62,154.jpg,,,
63,155.jpg,,,
64,156.jpg,,,
65,157.jpg,,,
66,158.jpg,,,
67,159.jpg,,,
68,16.jpg,white,fear,51.0
69,160.jpg,,,
70,161.jpg,,,
71,162.jpg,,,
