,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,happy,33.0
3,100.jpg,,,
4,101.jpg,white,angry,32.0
5,102.jpg,white,sad,35.0
6,103.jpg,,,
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,white,angry,40.0
11,108.jpg,white,neutral,39.0
12,109.jpg,white,angry,36.0
13,11.jpg,white,sad,35.0
14,110.jpg,white,angry,32.0
15,111.jpg,white,angry,32.0
16,112.jpg,white,angry,33.0
17,113.jpg,white,angry,32.0
18,114.jpg,white,angry,38.0
19,115.jpg,white,angry,34.0
20,116.jpg,,,
21,117.jpg,,,
22,118.jpg,,,
23,119.jpg,,,
24,12.jpg,white,happy,36.0
25,120.jpg,white,angry,35.0
26,121.jpg,white,angry,37.0
27,122.jpg,white,happy,34.0
28,123.jpg,white,happy,40.0
29,124.jpg,white,sad,33.0
30,125.jpg,white,angry,41.0
31,126.jpg,white,neutral,37.0
32,127.jpg,latino hispanic,sad,36.0
33,128.jpg,white,neutral,38.0
34,129.jpg,latino hispanic,sad,35.0
35,13.jpg,white,surprise,29.0
36,130.jpg,latino hispanic,neutral,39.0
37,131.jpg,asian,neutral,35.0
38,132.jpg,white,happy,39.0
39,133.jpg,white,happy,32.0
40,134.jpg,white,angry,35.0
41,135.jpg,white,angry,36.0
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,,,
45,139.jpg,,,
46,14.jpg,white,fear,31.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,white,neutral,39.0
52,145.jpg,white,angry,37.0
53,146.jpg,latino hispanic,neutral,36.0
54,147.jpg,white,happy,41.0
55,148.jpg,white,happy,36.0
56,149.jpg,white,angry,36.0
57,15.jpg,white,angry,39.0
58,150.jpg,,,
59,151.jpg,,,
60,152.jpg,,,
61,153.jpg,white,angry,34.0
62,154.jpg,white,angry,33.0
63,155.jpg,white,disgust,39.0
64,156.jpg,white,neutral,39.0
65,157.jpg,white,sad,32.0
66,158.jpg,white,happy,36.0
67,159.jpg,asian,neutral,39.0
68,16.jpg,white,angry,36.0
69,160.jpg,white,angry,36.0
70,161.jpg,white,fear,34.0
