,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,fear,29.0
3,11.jpg,white,fear,30.0
4,12.jpg,,,
5,13.jpg,,,
6,14.jpg,,,
7,15.jpg,,,
8,16.jpg,,,
9,17.jpg,,,
10,18.jpg,,,
11,19.jpg,,,
12,2.jpg,,,
13,20.jpg,,,
14,21.jpg,,,
15,22.jpg,,,
16,23.jpg,,,
17,24.jpg,,,
18,25.jpg,,,
19,26.jpg,,,
20,27.jpg,white,neutral,30.0
21,28.jpg,white,neutral,31.0
22,29.jpg,white,neutral,39.0
23,3.jpg,white,neutral,31.0
24,30.jpg,white,neutral,30.0
25,31.jpg,white,neutral,30.0
26,32.jpg,white,neutral,29.0
27,33.jpg,white,neutral,32.0
28,34.jpg,white,fear,30.0
29,35.jpg,,,
30,36.jpg,,,
31,37.jpg,,,
32,38.jpg,,,
33,39.jpg,,,
34,4.jpg,white,neutral,32.0
35,40.jpg,,,
36,41.jpg,,,
37,42.jpg,,,
38,43.jpg,,,
39,44.jpg,,,
40,45.jpg,white,fear,30.0
41,46.jpg,white,fear,31.0
42,47.jpg,white,neutral,31.0
43,48.jpg,white,neutral,30.0
44,49.jpg,white,sad,32.0
45,5.jpg,white,fear,34.0
46,50.jpg,white,surprise,31.0
47,51.jpg,white,surprise,31.0
48,52.jpg,white,angry,31.0
49,53.jpg,,,
50,54.jpg,,,
51,55.jpg,,,
52,56.jpg,,,
53,57.jpg,,,
54,58.jpg,,,
55,59.jpg,,,
56,6.jpg,white,fear,33.0
57,60.jpg,,,
58,61.jpg,,,
59,62.jpg,,,
60,63.jpg,,,
61,64.jpg,,,
62,65.jpg,,,
63,66.jpg,,,
64,67.jpg,,,
65,68.jpg,,,
66,7.jpg,white,neutral,30.0
67,8.jpg,white,sad,33.0
68,9.jpg,white,surprise,28.0
