,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,latino hispanic,fear,31.0
3,100.jpg,white,surprise,36.0
4,101.jpg,white,angry,31.0
5,102.jpg,white,fear,33.0
6,103.jpg,white,sad,34.0
7,104.jpg,white,angry,34.0
8,105.jpg,white,sad,39.0
9,106.jpg,white,sad,34.0
10,107.jpg,white,sad,39.0
11,108.jpg,white,sad,34.0
12,109.jpg,latino hispanic,sad,30.0
13,11.jpg,latino hispanic,sad,33.0
14,110.jpg,white,sad,30.0
15,111.jpg,latino hispanic,sad,36.0
16,112.jpg,latino hispanic,sad,37.0
17,113.jpg,latino hispanic,sad,32.0
18,114.jpg,white,sad,28.0
19,115.jpg,latino hispanic,sad,31.0
20,116.jpg,white,angry,32.0
21,117.jpg,latino hispanic,sad,32.0
22,118.jpg,white,fear,33.0
23,119.jpg,latino hispanic,sad,33.0
24,12.jpg,white,sad,36.0
25,120.jpg,white,sad,33.0
26,121.jpg,white,sad,32.0
27,122.jpg,white,sad,32.0
28,123.jpg,white,sad,30.0
29,124.jpg,white,neutral,38.0
30,125.jpg,white,neutral,36.0
31,126.jpg,white,happy,36.0
32,127.jpg,latino hispanic,angry,31.0
33,128.jpg,white,angry,27.0
34,129.jpg,white,sad,24.0
35,13.jpg,latino hispanic,neutral,32.0
36,130.jpg,white,sad,31.0
37,131.jpg,white,sad,27.0
38,132.jpg,white,sad,31.0
39,133.jpg,white,neutral,33.0
40,134.jpg,white,sad,32.0
41,135.jpg,latino hispanic,fear,32.0
42,136.jpg,white,sad,34.0
43,137.jpg,white,sad,34.0
44,138.jpg,latino hispanic,fear,34.0
45,139.jpg,white,neutral,35.0
46,14.jpg,white,angry,33.0
47,140.jpg,latino hispanic,sad,28.0
48,141.jpg,latino hispanic,sad,31.0
49,142.jpg,latino hispanic,fear,33.0
50,143.jpg,white,angry,25.0
51,144.jpg,white,sad,31.0
52,145.jpg,white,neutral,36.0
53,146.jpg,white,sad,29.0
54,147.jpg,white,angry,25.0
55,148.jpg,white,angry,35.0
56,149.jpg,white,sad,33.0
57,15.jpg,white,fear,37.0
58,150.jpg,white,angry,27.0
59,151.jpg,white,angry,34.0
60,152.jpg,white,sad,32.0
