,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,fear,31.0
1,1.jpg,white,neutral,30.0
2,10.jpg,white,fear,40.0
3,100.jpg,white,neutral,33.0
4,101.jpg,white,fear,31.0
5,102.jpg,white,sad,41.0
6,103.jpg,white,sad,35.0
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,white,sad,38.0
13,11.jpg,white,neutral,33.0
14,110.jpg,white,happy,31.0
15,111.jpg,white,sad,38.0
16,112.jpg,white,neutral,35.0
17,113.jpg,white,sad,39.0
18,114.jpg,white,happy,32.0
19,115.jpg,white,neutral,31.0
20,116.jpg,white,neutral,27.0
21,117.jpg,white,fear,38.0
22,118.jpg,,,
23,119.jpg,,,
24,12.jpg,white,sad,44.0
25,120.jpg,,,
26,121.jpg,white,happy,34.0
27,122.jpg,white,happy,34.0
28,123.jpg,latino hispanic,neutral,37.0
29,124.jpg,,,
30,125.jpg,,,
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,,,
36,130.jpg,white,fear,26.0
37,131.jpg,white,fear,26.0
38,132.jpg,white,neutral,25.0
39,133.jpg,white,sad,39.0
40,134.jpg,asian,fear,30.0
41,135.jpg,white,sad,44.0
42,136.jpg,white,sad,37.0
43,137.jpg,asian,neutral,27.0
44,138.jpg,white,sad,38.0
45,139.jpg,white,angry,34.0
46,14.jpg,,,
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,white,surprise,41.0
52,145.jpg,white,happy,28.0
53,146.jpg,white,neutral,35.0
54,147.jpg,white,fear,31.0
55,148.jpg,white,neutral,37.0
56,149.jpg,black,fear,30.0
57,15.jpg,,,
58,150.jpg,,,
59,151.jpg,,,
60,152.jpg,white,neutral,30.0
61,153.jpg,asian,fear,35.0
62,154.jpg,asian,fear,31.0
63,155.jpg,white,neutral,39.0
64,156.jpg,white,neutral,36.0
65,157.jpg,white,sad,34.0
66,158.jpg,white,neutral,40.0
67,159.jpg,white,fear,33.0
68,16.jpg,,,
69,160.jpg,white,surprise,41.0
70,161.jpg,,,
71,162.jpg,,,
72,163.jpg,,,
73,164.jpg,white,fear,35.0
74,165.jpg,white,fear,32.0
75,166.jpg,asian,neutral,37.0
76,167.jpg,white,fear,28.0
77,168.jpg,white,surprise,38.0
78,169.jpg,white,fear,29.0
79,17.jpg,,,
80,170.jpg,asian,fear,29.0
81,171.jpg,white,sad,25.0
82,172.jpg,white,sad,33.0
83,173.jpg,white,sad,33.0
84,174.jpg,white,sad,33.0
85,175.jpg,white,sad,33.0
86,176.jpg,asian,fear,30.0
87,177.jpg,white,neutral,34.0
88,178.jpg,white,fear,35.0
89,179.jpg,asian,fear,30.0
90,18.jpg,,,
91,180.jpg,asian,neutral,26.0
92,181.jpg,,,
93,182.jpg,asian,neutral,26.0
94,183.jpg,,,
95,184.jpg,,,
96,185.jpg,,,
97,186.jpg,white,fear,31.0
98,187.jpg,white,fear,31.0
99,188.jpg,white,fear,33.0
100,189.jpg,white,fear,31.0
101,19.jpg,,,
102,190.jpg,,,
103,191.jpg,,,
104,192.jpg,,,
105,193.jpg,,,
106,194.jpg,,,
107,195.jpg,,,
108,196.jpg,,,
109,197.jpg,,,
110,198.jpg,,,
111,199.jpg,white,happy,32.0
112,2.jpg,white,fear,39.0
113,20.jpg,white,fear,35.0
114,200.jpg,white,fear,26.0
115,201.jpg,,,
116,202.jpg,,,
117,203.jpg,white,fear,29.0
118,204.jpg,white,surprise,35.0
119,205.jpg,,,
120,206.jpg,,,
121,207.jpg,white,fear,32.0
122,208.jpg,middle eastern,neutral,25.0
123,209.jpg,middle eastern,neutral,25.0
124,21.jpg,white,neutral,34.0
