,frame,dominant_race,dominant_emotion,age
0,0.jpg,middle eastern,sad,34.0
1,1.jpg,latino hispanic,fear,31.0
2,10.jpg,,,
3,100.jpg,,,
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,,,
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,latino hispanic,happy,32.0
10,107.jpg,middle eastern,sad,36.0
11,108.jpg,middle eastern,sad,35.0
12,109.jpg,latino hispanic,neutral,27.0
13,11.jpg,,,
14,110.jpg,latino hispanic,fear,34.0
15,111.jpg,latino hispanic,fear,34.0
16,112.jpg,latino hispanic,neutral,30.0
17,113.jpg,white,angry,35.0
18,114.jpg,white,neutral,39.0
19,115.jpg,latino hispanic,neutral,30.0
20,116.jpg,indian,neutral,34.0
21,117.jpg,white,fear,39.0
22,118.jpg,middle eastern,sad,39.0
23,119.jpg,middle eastern,happy,39.0
24,12.jpg,,,
25,120.jpg,white,fear,37.0
26,121.jpg,middle eastern,neutral,39.0
27,122.jpg,white,neutral,31.0
28,123.jpg,latino hispanic,fear,34.0
29,124.jpg,latino hispanic,fear,34.0
30,125.jpg,white,neutral,30.0
31,126.jpg,middle eastern,neutral,32.0
32,127.jpg,middle eastern,fear,37.0
33,128.jpg,latino hispanic,neutral,29.0
34,129.jpg,middle eastern,fear,39.0
35,13.jpg,white,happy,39.0
36,130.jpg,white,sad,34.0
37,131.jpg,latino hispanic,neutral,34.0
38,132.jpg,latino hispanic,neutral,30.0
39,133.jpg,middle eastern,fear,35.0
40,134.jpg,middle eastern,sad,37.0
41,135.jpg,middle eastern,happy,39.0
42,136.jpg,middle eastern,neutral,38.0
43,137.jpg,latino hispanic,sad,31.0
44,138.jpg,latino hispanic,neutral,30.0
45,139.jpg,latino hispanic,neutral,30.0
46,14.jpg,white,fear,37.0
47,140.jpg,latino hispanic,neutral,30.0
48,141.jpg,middle eastern,fear,37.0
49,142.jpg,middle eastern,neutral,37.0
50,143.jpg,latino hispanic,neutral,36.0
51,144.jpg,latino hispanic,neutral,30.0
52,145.jpg,latino hispanic,neutral,29.0
53,146.jpg,middle eastern,sad,39.0
54,147.jpg,white,neutral,32.0
55,148.jpg,latino hispanic,sad,37.0
56,149.jpg,latino hispanic,surprise,31.0
57,15.jpg,latino hispanic,fear,34.0
58,150.jpg,middle eastern,fear,37.0
59,151.jpg,latino hispanic,neutral,30.0
60,152.jpg,white,fear,36.0
61,153.jpg,latino hispanic,surprise,34.0
62,154.jpg,latino hispanic,neutral,34.0
63,155.jpg,middle eastern,fear,36.0
64,156.jpg,middle eastern,neutral,34.0
65,157.jpg,middle eastern,neutral,37.0
66,158.jpg,latino hispanic,happy,33.0
67,159.jpg,white,neutral,31.0
68,16.jpg,middle eastern,neutral,33.0
69,160.jpg,middle eastern,fear,39.0
70,161.jpg,white,fear,35.0
71,162.jpg,latino hispanic,neutral,30.0
72,163.jpg,latino hispanic,neutral,32.0
73,164.jpg,middle eastern,neutral,39.0
74,165.jpg,middle eastern,fear,36.0
75,166.jpg,middle eastern,fear,36.0
76,167.jpg,middle eastern,sad,36.0
77,168.jpg,latino hispanic,surprise,33.0
78,169.jpg,middle eastern,fear,36.0
79,17.jpg,latino hispanic,neutral,33.0
80,170.jpg,middle eastern,fear,36.0
81,171.jpg,white,neutral,32.0
82,172.jpg,white,surprise,33.0
83,173.jpg,latino hispanic,neutral,32.0
84,174.jpg,white,sad,30.0
85,175.jpg,middle eastern,neutral,39.0
86,176.jpg,latino hispanic,fear,37.0
87,177.jpg,middle eastern,fear,34.0
88,178.jpg,middle eastern,sad,37.0
89,179.jpg,middle eastern,sad,37.0
90,18.jpg,white,neutral,33.0
91,180.jpg,latino hispanic,fear,33.0
92,181.jpg,middle eastern,neutral,31.0
93,182.jpg,middle eastern,fear,39.0
94,183.jpg,middle eastern,sad,32.0
95,184.jpg,,,
96,185.jpg,middle eastern,fear,32.0
97,186.jpg,,,
98,187.jpg,,,
99,188.jpg,,,
100,189.jpg,,,
101,19.jpg,white,sad,34.0
102,190.jpg,,,
103,191.jpg,,,
104,192.jpg,,,
105,193.jpg,,,
106,194.jpg,,,
107,195.jpg,,,
108,2.jpg,middle eastern,fear,35.0
109,20.jpg,middle eastern,fear,33.0
110,21.jpg,middle eastern,fear,39.0
111,22.jpg,white,happy,34.0
112,23.jpg,white,fear,36.0
113,24.jpg,middle eastern,neutral,32.0
114,25.jpg,latino hispanic,neutral,32.0
115,26.jpg,latino hispanic,fear,36.0
116,27.jpg,indian,fear,34.0
117,28.jpg,middle eastern,neutral,37.0
118,29.jpg,middle eastern,fear,36.0
119,3.jpg,middle eastern,fear,35.0
120,30.jpg,middle eastern,fear,36.0
121,31.jpg,middle eastern,neutral,32.0
122,32.jpg,middle eastern,sad,36.0
123,33.jpg,latino hispanic,fear,33.0
124,34.jpg,latino hispanic,fear,35.0
125,35.jpg,white,neutral,30.0
126,36.jpg,latino hispanic,neutral,31.0
127,37.jpg,latino hispanic,fear,32.0
128,38.jpg,white,fear,31.0
129,39.jpg,white,fear,31.0
130,4.jpg,indian,fear,34.0
131,40.jpg,white,fear,29.0
132,41.jpg,middle eastern,neutral,37.0
133,42.jpg,indian,neutral,33.0
134,43.jpg,indian,fear,33.0
135,44.jpg,white,neutral,36.0
136,45.jpg,latino hispanic,surprise,32.0
137,46.jpg,middle eastern,fear,36.0
138,47.jpg,middle eastern,fear,39.0
139,48.jpg,middle eastern,neutral,36.0
140,49.jpg,white,fear,37.0
141,5.jpg,middle eastern,fear,36.0
142,50.jpg,indian,neutral,33.0
143,51.jpg,indian,fear,34.0
144,52.jpg,white,fear,27.0
145,53.jpg,white,fear,31.0
146,54.jpg,,,
147,55.jpg,indian,neutral,34.0
148,56.jpg,middle eastern,fear,36.0
149,57.jpg,latino hispanic,neutral,31.0
150,58.jpg,,,
151,59.jpg,,,
152,6.jpg,latino hispanic,surprise,32.0
153,60.jpg,,,
154,61.jpg,middle eastern,neutral,33.0
155,62.jpg,white,neutral,31.0
156,63.jpg,white,neutral,37.0
157,64.jpg,latino hispanic,neutral,30.0
158,65.jpg,white,sad,36.0
159,66.jpg,indian,neutral,34.0
160,67.jpg,,,
161,68.jpg,,,
162,69.jpg,white,fear,36.0
163,7.jpg,white,happy,33.0
164,70.jpg,latino hispanic,neutral,31.0
165,71.jpg,middle eastern,surprise,26.0
166,72.jpg,latino hispanic,neutral,28.0
167,73.jpg,white,happy,33.0
168,74.jpg,latino hispanic,fear,33.0
169,75.jpg,middle eastern,neutral,32.0
170,76.jpg,middle eastern,neutral,32.0
171,77.jpg,middle eastern,neutral,36.0
172,78.jpg,middle eastern,fear,33.0
173,79.jpg,middle eastern,neutral,31.0
174,8.jpg,middle eastern,fear,36.0
175,80.jpg,middle eastern,neutral,31.0
176,81.jpg,middle eastern,neutral,34.0
177,82.jpg,white,fear,36.0
178,83.jpg,latino hispanic,fear,34.0
179,84.jpg,latino hispanic,neutral,32.0
180,85.jpg,middle eastern,neutral,37.0
181,86.jpg,middle eastern,fear,35.0
182,87.jpg,middle eastern,fear,38.0
183,88.jpg,middle eastern,neutral,35.0
184,89.jpg,latino hispanic,fear,34.0
185,9.jpg,middle eastern,fear,36.0
186,90.jpg,white,sad,28.0
187,91.jpg,latino hispanic,neutral,30.0
188,92.jpg,latino hispanic,neutral,30.0
189,93.jpg,middle eastern,neutral,34.0
190,94.jpg,middle eastern,fear,36.0
191,95.jpg,latino hispanic,fear,34.0
192,96.jpg,white,happy,31.0
193,97.jpg,latino hispanic,fear,31.0
194,98.jpg,latino hispanic,neutral,29.0
195,99.jpg,indian,neutral,34.0
