,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,surprise,43.0
3,100.jpg,white,neutral,35.0
4,101.jpg,white,surprise,41.0
5,102.jpg,white,neutral,30.0
6,103.jpg,white,neutral,35.0
7,104.jpg,white,angry,31.0
8,105.jpg,white,sad,36.0
9,106.jpg,white,angry,29.0
10,107.jpg,white,surprise,39.0
11,108.jpg,white,fear,36.0
12,109.jpg,white,fear,47.0
13,11.jpg,white,sad,34.0
14,110.jpg,white,surprise,45.0
15,111.jpg,white,fear,37.0
16,112.jpg,middle eastern,surprise,40.0
17,113.jpg,white,fear,35.0
18,114.jpg,white,neutral,34.0
19,115.jpg,white,neutral,38.0
20,116.jpg,white,neutral,37.0
21,117.jpg,white,fear,40.0
22,118.jpg,white,sad,31.0
23,119.jpg,white,surprise,47.0
24,12.jpg,white,surprise,43.0
25,120.jpg,white,sad,35.0
26,121.jpg,white,happy,48.0
27,122.jpg,white,neutral,35.0
28,123.jpg,white,fear,24.0
29,124.jpg,white,neutral,38.0
30,125.jpg,white,surprise,43.0
31,126.jpg,white,surprise,48.0
32,127.jpg,white,neutral,39.0
33,128.jpg,white,sad,32.0
34,129.jpg,white,happy,44.0
35,13.jpg,white,sad,39.0
36,130.jpg,latino hispanic,neutral,50.0
37,131.jpg,white,neutral,49.0
38,132.jpg,,,
39,133.jpg,white,neutral,44.0
40,134.jpg,white,happy,49.0
41,135.jpg,white,neutral,36.0
42,136.jpg,white,fear,39.0
43,137.jpg,white,fear,36.0
44,138.jpg,white,fear,47.0
45,139.jpg,white,surprise,46.0
46,14.jpg,white,neutral,34.0
47,140.jpg,white,neutral,45.0
48,141.jpg,white,neutral,35.0
49,142.jpg,white,neutral,36.0
50,143.jpg,white,neutral,35.0
51,144.jpg,white,happy,43.0
52,145.jpg,white,fear,45.0
53,146.jpg,white,angry,43.0
54,147.jpg,white,fear,37.0
55,148.jpg,white,surprise,46.0
56,149.jpg,white,neutral,38.0
57,15.jpg,white,surprise,43.0
58,150.jpg,white,neutral,37.0
59,151.jpg,white,neutral,35.0
60,152.jpg,white,happy,41.0
61,153.jpg,white,fear,36.0
62,154.jpg,white,neutral,39.0
63,155.jpg,white,happy,45.0
