,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,black,happy,28.0
2,10.jpg,black,angry,29.0
3,100.jpg,black,fear,26.0
4,101.jpg,white,sad,36.0
5,102.jpg,black,angry,31.0
6,103.jpg,white,neutral,35.0
7,104.jpg,middle eastern,neutral,35.0
8,105.jpg,black,angry,27.0
9,106.jpg,black,neutral,31.0
10,107.jpg,black,angry,28.0
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,black,angry,28.0
14,110.jpg,,,
15,111.jpg,,,
16,112.jpg,,,
17,113.jpg,,,
18,114.jpg,,,
19,115.jpg,,,
20,116.jpg,,,
21,117.jpg,,,
22,118.jpg,,,
23,119.jpg,,,
24,12.jpg,black,angry,25.0
25,120.jpg,,,
26,121.jpg,,,
27,122.jpg,,,
28,123.jpg,,,
29,124.jpg,,,
30,125.jpg,,,
31,126.jpg,,,
32,127.jpg,black,angry,24.0
33,128.jpg,black,fear,26.0
34,129.jpg,white,fear,23.0
35,13.jpg,white,sad,36.0
36,130.jpg,black,angry,34.0
37,131.jpg,black,happy,26.0
38,132.jpg,white,sad,36.0
39,133.jpg,white,neutral,36.0
40,134.jpg,white,sad,35.0
41,135.jpg,black,angry,29.0
42,136.jpg,black,fear,29.0
43,137.jpg,black,surprise,28.0
44,138.jpg,black,angry,29.0
45,139.jpg,black,angry,33.0
46,14.jpg,white,sad,35.0
47,140.jpg,black,happy,28.0
48,141.jpg,black,surprise,29.0
49,142.jpg,white,sad,35.0
50,143.jpg,black,fear,28.0
51,144.jpg,black,angry,32.0
52,145.jpg,white,sad,35.0
53,146.jpg,white,sad,39.0
54,147.jpg,black,angry,26.0
55,148.jpg,black,angry,31.0
56,149.jpg,,,
57,15.jpg,white,neutral,37.0
58,150.jpg,,,
59,151.jpg,,,
60,152.jpg,,,
61,153.jpg,,,
62,154.jpg,,,
63,155.jpg,,,
64,156.jpg,,,
65,157.jpg,,,
66,158.jpg,,,
67,159.jpg,,,
68,16.jpg,black,happy,28.0
69,160.jpg,,,
70,161.jpg,,,
71,17.jpg,black,angry,31.0
72,18.jpg,black,angry,28.0
73,19.jpg,black,fear,28.0
74,2.jpg,black,angry,28.0
75,20.jpg,white,neutral,34.0
76,21.jpg,latino hispanic,sad,37.0
77,22.jpg,white,neutral,35.0
78,23.jpg,,,
79,24.jpg,,,
80,25.jpg,,,
81,26.jpg,,,
82,27.jpg,,,
83,28.jpg,,,
84,29.jpg,,,
85,3.jpg,black,fear,27.0
86,30.jpg,,,
87,31.jpg,,,
88,32.jpg,,,
89,33.jpg,,,
90,34.jpg,,,
91,35.jpg,,,
92,36.jpg,,,
93,37.jpg,,,
94,38.jpg,,,
95,39.jpg,,,
96,4.jpg,white,sad,32.0
97,40.jpg,black,surprise,27.0
98,41.jpg,black,happy,25.0
99,42.jpg,white,sad,37.0
100,43.jpg,white,fear,27.0
101,44.jpg,black,surprise,30.0
102,45.jpg,black,angry,27.0
103,46.jpg,white,neutral,36.0
104,47.jpg,white,neutral,36.0
105,48.jpg,black,fear,29.0
106,49.jpg,black,surprise,27.0
107,5.jpg,black,angry,29.0
108,50.jpg,black,angry,26.0
109,51.jpg,black,surprise,28.0
110,52.jpg,white,sad,35.0
111,53.jpg,black,angry,31.0
112,54.jpg,white,neutral,38.0
113,55.jpg,white,neutral,35.0
114,56.jpg,black,surprise,28.0
115,57.jpg,black,angry,29.0
116,58.jpg,black,happy,28.0
117,59.jpg,black,angry,28.0
118,6.jpg,black,angry,27.0
119,60.jpg,black,angry,31.0
120,61.jpg,black,angry,28.0
121,62.jpg,white,sad,32.0
122,63.jpg,black,angry,26.0
123,64.jpg,black,angry,27.0
124,65.jpg,black,angry,29.0
125,66.jpg,black,surprise,26.0
126,67.jpg,black,angry,27.0
127,68.jpg,white,fear,36.0
128,69.jpg,black,angry,28.0
129,7.jpg,black,fear,27.0
130,70.jpg,black,surprise,26.0
131,71.jpg,white,sad,35.0
132,72.jpg,white,sad,36.0
133,73.jpg,white,sad,35.0
134,74.jpg,white,sad,28.0
135,75.jpg,black,angry,27.0
136,76.jpg,black,angry,31.0
137,77.jpg,white,sad,36.0
138,78.jpg,black,angry,28.0
139,79.jpg,,,
140,8.jpg,black,angry,26.0
141,80.jpg,,,
142,81.jpg,,,
143,82.jpg,,,
144,83.jpg,,,
145,84.jpg,,,
146,85.jpg,,,
147,86.jpg,,,
148,87.jpg,,,
149,88.jpg,,,
150,89.jpg,,,
151,9.jpg,white,neutral,30.0
152,90.jpg,,,
153,91.jpg,,,
154,92.jpg,,,
155,93.jpg,,,
156,94.jpg,,,
157,95.jpg,,,
158,96.jpg,,,
159,97.jpg,,,
160,98.jpg,,,
161,99.jpg,,,
