,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,fear,36.0
1,1.jpg,white,fear,41.0
2,10.jpg,white,angry,33.0
3,100.jpg,,,
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,white,surprise,33.0
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,white,surprise,28.0
12,109.jpg,,,
13,11.jpg,asian,fear,37.0
14,110.jpg,,,
15,111.jpg,,,
16,112.jpg,,,
17,113.jpg,asian,neutral,37.0
18,114.jpg,white,fear,44.0
19,115.jpg,white,sad,32.0
20,116.jpg,,,
21,117.jpg,white,happy,37.0
22,118.jpg,white,happy,37.0
23,119.jpg,white,happy,37.0
24,12.jpg,,,
25,120.jpg,,,
26,121.jpg,,,
27,122.jpg,,,
28,123.jpg,,,
29,124.jpg,,,
30,13.jpg,,,
31,14.jpg,,,
32,15.jpg,white,angry,37.0
33,16.jpg,asian,neutral,34.0
34,17.jpg,white,fear,44.0
35,18.jpg,asian,angry,32.0
36,19.jpg,white,fear,45.0
37,2.jpg,asian,fear,31.0
38,20.jpg,white,surprise,29.0
39,21.jpg,,,
40,22.jpg,,,
41,23.jpg,,,
42,24.jpg,,,
43,25.jpg,,,
44,26.jpg,,,
45,27.jpg,white,neutral,30.0
46,28.jpg,,,
47,29.jpg,,,
48,3.jpg,white,fear,33.0
49,30.jpg,middle eastern,fear,34.0
50,31.jpg,asian,fear,37.0
51,32.jpg,asian,fear,38.0
52,33.jpg,,,
53,34.jpg,,,
54,35.jpg,,,
55,36.jpg,,,
56,37.jpg,,,
57,38.jpg,,,
58,39.jpg,asian,neutral,32.0
59,4.jpg,asian,fear,37.0
60,40.jpg,asian,fear,41.0
61,41.jpg,asian,fear,33.0
62,42.jpg,asian,fear,30.0
63,43.jpg,white,surprise,33.0
64,44.jpg,white,surprise,31.0
65,45.jpg,asian,fear,39.0
66,46.jpg,,,
67,47.jpg,,,
68,48.jpg,white,surprise,33.0
69,49.jpg,white,happy,33.0
70,5.jpg,,,
71,50.jpg,white,surprise,33.0
72,51.jpg,asian,fear,39.0
73,52.jpg,asian,fear,41.0
74,53.jpg,white,fear,30.0
75,54.jpg,white,fear,43.0
76,55.jpg,white,neutral,26.0
77,56.jpg,asian,angry,34.0
78,57.jpg,white,surprise,28.0
79,58.jpg,white,happy,33.0
80,59.jpg,,,
81,6.jpg,middle eastern,neutral,39.0
82,60.jpg,,,
83,61.jpg,,,
84,62.jpg,,,
85,63.jpg,white,surprise,33.0
86,64.jpg,asian,fear,43.0
87,65.jpg,white,fear,38.0
88,66.jpg,asian,fear,37.0
89,67.jpg,,,
90,68.jpg,,,
91,69.jpg,white,angry,37.0
92,7.jpg,asian,fear,35.0
93,70.jpg,asian,angry,30.0
94,71.jpg,white,angry,33.0
95,72.jpg,white,angry,33.0
96,73.jpg,asian,fear,39.0
97,74.jpg,white,fear,37.0
98,75.jpg,white,happy,28.0
99,76.jpg,,,
100,77.jpg,,,
101,78.jpg,,,
102,79.jpg,,,
103,8.jpg,white,surprise,29.0
104,80.jpg,,,
105,81.jpg,,,
106,82.jpg,,,
107,83.jpg,,,
108,84.jpg,,,
109,85.jpg,,,
110,86.jpg,,,
111,87.jpg,,,
112,88.jpg,,,
113,89.jpg,,,
114,9.jpg,asian,happy,33.0
115,90.jpg,,,
116,91.jpg,white,angry,30.0
117,92.jpg,white,angry,30.0
118,93.jpg,white,fear,39.0
119,94.jpg,asian,fear,39.0
120,95.jpg,asian,fear,32.0
121,96.jpg,asian,angry,33.0
122,97.jpg,white,surprise,25.0
123,98.jpg,white,fear,37.0
124,99.jpg,,,
