,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,neutral,28.0
1,1.jpg,white,fear,29.0
2,10.jpg,,,
3,100.jpg,white,fear,30.0
4,101.jpg,white,fear,31.0
5,102.jpg,white,neutral,27.0
6,103.jpg,white,neutral,28.0
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,white,angry,38.0
13,11.jpg,white,fear,25.0
14,110.jpg,,,
15,111.jpg,white,fear,28.0
16,112.jpg,,,
17,113.jpg,,,
18,114.jpg,white,sad,26.0
19,115.jpg,white,fear,27.0
20,116.jpg,white,fear,27.0
21,117.jpg,white,sad,30.0
22,118.jpg,white,neutral,31.0
23,119.jpg,white,sad,26.0
24,12.jpg,white,surprise,31.0
25,120.jpg,white,angry,26.0
26,121.jpg,,,
27,122.jpg,white,sad,30.0
28,123.jpg,white,fear,32.0
29,124.jpg,white,fear,29.0
30,125.jpg,white,happy,28.0
31,126.jpg,white,fear,36.0
32,127.jpg,,,
33,128.jpg,white,angry,28.0
34,129.jpg,white,fear,31.0
35,13.jpg,white,sad,30.0
36,130.jpg,white,angry,30.0
37,131.jpg,middle eastern,fear,39.0
38,132.jpg,white,fear,28.0
39,133.jpg,white,fear,39.0
40,134.jpg,white,sad,31.0
41,135.jpg,white,neutral,31.0
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,,,
45,139.jpg,,,
46,14.jpg,asian,neutral,28.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,,,
52,145.jpg,,,
53,146.jpg,,,
54,147.jpg,,,
55,148.jpg,,,
56,149.jpg,,,
57,15.jpg,white,sad,29.0
58,150.jpg,white,fear,30.0
59,151.jpg,white,fear,28.0
60,152.jpg,white,fear,28.0
61,153.jpg,white,happy,27.0
62,154.jpg,white,fear,28.0
63,155.jpg,white,angry,27.0
64,156.jpg,white,neutral,25.0
65,157.jpg,middle eastern,neutral,39.0
66,158.jpg,white,angry,31.0
67,159.jpg,white,fear,29.0
68,16.jpg,,,
69,160.jpg,,,
70,161.jpg,white,neutral,41.0
71,162.jpg,white,fear,28.0
72,163.jpg,white,angry,26.0
73,164.jpg,,,
74,165.jpg,,,
75,166.jpg,,,
76,167.jpg,,,
77,168.jpg,,,
78,169.jpg,,,
79,17.jpg,,,
80,170.jpg,,,
81,171.jpg,,,
82,172.jpg,,,
83,173.jpg,,,
84,174.jpg,,,
85,175.jpg,white,fear,27.0
86,176.jpg,white,fear,29.0
87,177.jpg,asian,surprise,30.0
88,178.jpg,,,
89,179.jpg,,,
90,18.jpg,white,fear,26.0
91,180.jpg,,,
92,181.jpg,,,
93,182.jpg,,,
94,183.jpg,,,
95,184.jpg,white,angry,30.0
96,185.jpg,white,fear,29.0
97,186.jpg,white,fear,29.0
98,187.jpg,white,sad,25.0
99,188.jpg,white,fear,29.0
100,189.jpg,white,fear,26.0
101,19.jpg,white,sad,25.0
102,190.jpg,white,fear,28.0
103,191.jpg,white,sad,28.0
