,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,latino hispanic,neutral,29.0
3,100.jpg,latino hispanic,surprise,29.0
4,101.jpg,latino hispanic,neutral,28.0
5,102.jpg,latino hispanic,surprise,31.0
6,103.jpg,latino hispanic,neutral,31.0
7,104.jpg,white,sad,40.0
8,105.jpg,latino hispanic,surprise,31.0
9,106.jpg,black,happy,31.0
10,107.jpg,white,happy,31.0
11,108.jpg,white,happy,32.0
12,109.jpg,black,happy,31.0
13,11.jpg,latino hispanic,neutral,30.0
14,110.jpg,black,happy,31.0
15,111.jpg,black,happy,32.0
16,112.jpg,black,happy,31.0
17,113.jpg,latino hispanic,happy,31.0
18,114.jpg,latino hispanic,happy,31.0
19,115.jpg,white,happy,31.0
20,116.jpg,black,happy,32.0
21,117.jpg,latino hispanic,happy,36.0
22,118.jpg,latino hispanic,happy,28.0
23,119.jpg,indian,happy,37.0
24,12.jpg,latino hispanic,neutral,28.0
25,120.jpg,latino hispanic,happy,27.0
26,121.jpg,indian,neutral,42.0
27,122.jpg,latino hispanic,happy,27.0
28,123.jpg,latino hispanic,neutral,28.0
29,124.jpg,latino hispanic,angry,26.0
30,125.jpg,white,fear,36.0
31,126.jpg,indian,happy,40.0
32,127.jpg,latino hispanic,neutral,29.0
33,128.jpg,black,fear,27.0
34,129.jpg,indian,happy,40.0
35,13.jpg,latino hispanic,neutral,28.0
36,130.jpg,latino hispanic,happy,31.0
37,131.jpg,latino hispanic,neutral,28.0
38,132.jpg,latino hispanic,happy,26.0
39,133.jpg,indian,surprise,39.0
40,134.jpg,asian,neutral,30.0
41,135.jpg,asian,surprise,27.0
42,136.jpg,latino hispanic,surprise,26.0
43,137.jpg,black,neutral,29.0
44,138.jpg,latino hispanic,surprise,27.0
45,139.jpg,latino hispanic,neutral,32.0
46,14.jpg,latino hispanic,surprise,30.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,15.jpg,latino hispanic,neutral,28.0
52,16.jpg,latino hispanic,surprise,30.0
53,17.jpg,latino hispanic,neutral,28.0
54,18.jpg,latino hispanic,neutral,25.0
55,19.jpg,asian,fear,27.0
56,2.jpg,latino hispanic,surprise,27.0
