,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,happy,27.0
1,1.jpg,white,surprise,37.0
2,10.jpg,white,neutral,30.0
3,11.jpg,white,fear,24.0
4,12.jpg,white,happy,27.0
5,13.jpg,white,neutral,26.0
6,14.jpg,white,fear,38.0
7,15.jpg,white,neutral,28.0
8,16.jpg,white,angry,27.0
9,17.jpg,white,neutral,28.0
10,18.jpg,white,neutral,31.0
11,19.jpg,white,neutral,28.0
12,2.jpg,white,happy,38.0
13,20.jpg,white,happy,27.0
14,21.jpg,white,sad,30.0
15,22.jpg,white,angry,28.0
16,23.jpg,white,happy,26.0
17,24.jpg,white,angry,26.0
18,25.jpg,,,
19,26.jpg,,,
20,27.jpg,,,
21,28.jpg,white,happy,35.0
22,29.jpg,white,happy,25.0
23,3.jpg,white,happy,35.0
24,30.jpg,white,fear,36.0
25,31.jpg,white,fear,25.0
26,32.jpg,white,angry,25.0
27,33.jpg,white,fear,26.0
28,34.jpg,white,fear,25.0
29,35.jpg,white,sad,36.0
30,36.jpg,white,neutral,32.0
31,37.jpg,white,neutral,36.0
32,38.jpg,white,sad,28.0
33,39.jpg,white,angry,24.0
34,4.jpg,white,disgust,36.0
35,40.jpg,white,sad,35.0
36,41.jpg,,,
37,42.jpg,,,
38,43.jpg,,,
39,44.jpg,,,
40,45.jpg,,,
41,46.jpg,white,angry,26.0
42,47.jpg,asian,happy,31.0
43,48.jpg,white,neutral,36.0
44,49.jpg,white,fear,36.0
45,5.jpg,white,happy,35.0
46,50.jpg,white,happy,35.0
47,51.jpg,white,sad,31.0
48,52.jpg,white,fear,36.0
49,53.jpg,white,fear,26.0
50,54.jpg,white,neutral,33.0
51,55.jpg,white,angry,27.0
52,56.jpg,white,fear,25.0
53,57.jpg,white,neutral,24.0
54,58.jpg,white,angry,26.0
55,59.jpg,white,surprise,23.0
56,6.jpg,white,neutral,37.0
57,60.jpg,white,fear,33.0
58,61.jpg,white,fear,26.0
59,62.jpg,white,fear,26.0
60,63.jpg,white,happy,36.0
61,64.jpg,white,fear,25.0
62,65.jpg,white,happy,23.0
63,66.jpg,white,happy,25.0
64,67.jpg,white,angry,34.0
65,68.jpg,white,neutral,24.0
66,69.jpg,white,fear,25.0
67,7.jpg,white,fear,33.0
68,70.jpg,white,happy,34.0
69,71.jpg,,,
70,72.jpg,,,
71,73.jpg,,,
72,74.jpg,,,
73,75.jpg,,,
74,76.jpg,,,
75,77.jpg,,,
76,78.jpg,,,
77,8.jpg,white,neutral,35.0
78,9.jpg,white,happy,26.0
