,frame,dominant_race,dominant_emotion,age
0,0.jpg,asian,fear,34.0
1,1.jpg,middle eastern,sad,31.0
2,10.jpg,white,neutral,37.0
3,100.jpg,,,
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,,,
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,white,neutral,33.0
14,110.jpg,,,
15,111.jpg,,,
16,112.jpg,,,
17,113.jpg,white,sad,41.0
18,114.jpg,white,sad,33.0
19,115.jpg,white,sad,32.0
20,116.jpg,white,neutral,37.0
21,117.jpg,black,neutral,38.0
22,118.jpg,white,sad,35.0
23,119.jpg,white,happy,34.0
24,12.jpg,white,happy,34.0
25,120.jpg,white,fear,30.0
26,121.jpg,white,fear,32.0
27,122.jpg,middle eastern,neutral,39.0
28,123.jpg,white,happy,31.0
29,124.jpg,,,
30,125.jpg,,,
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,white,neutral,38.0
36,130.jpg,,,
37,131.jpg,,,
38,132.jpg,,,
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,,,
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,,,
45,139.jpg,,,
46,14.jpg,white,fear,32.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,,,
52,145.jpg,,,
53,146.jpg,,,
54,147.jpg,,,
55,148.jpg,,,
56,149.jpg,,,
57,15.jpg,white,surprise,31.0
58,150.jpg,,,
59,151.jpg,,,
60,152.jpg,,,
61,153.jpg,,,
62,154.jpg,,,
63,155.jpg,,,
64,156.jpg,,,
65,157.jpg,,,
66,158.jpg,,,
67,159.jpg,,,
68,16.jpg,,,
69,160.jpg,,,
70,161.jpg,,,
71,162.jpg,,,
72,163.jpg,,,
73,164.jpg,white,sad,39.0
74,165.jpg,white,angry,32.0
75,166.jpg,white,angry,31.0
76,167.jpg,,,
77,168.jpg,,,
78,169.jpg,,,
79,17.jpg,,,
80,170.jpg,,,
81,171.jpg,,,
82,172.jpg,,,
83,173.jpg,,,
84,174.jpg,,,
85,175.jpg,,,
86,176.jpg,,,
87,177.jpg,,,
88,178.jpg,white,sad,33.0
89,179.jpg,white,sad,33.0
90,18.jpg,,,
91,180.jpg,white,fear,28.0
92,181.jpg,middle eastern,sad,38.0
93,182.jpg,white,happy,35.0
94,183.jpg,white,happy,30.0
95,184.jpg,white,fear,30.0
96,185.jpg,white,fear,29.0
97,186.jpg,white,fear,32.0
98,187.jpg,white,fear,30.0
99,188.jpg,white,fear,29.0
100,189.jpg,white,happy,37.0
101,19.jpg,,,
102,190.jpg,,,
103,191.jpg,,,
104,192.jpg,,,
105,193.jpg,,,
106,194.jpg,,,
107,195.jpg,,,
108,196.jpg,,,
109,197.jpg,,,
110,198.jpg,,,
111,199.jpg,,,
112,2.jpg,white,angry,31.0
113,20.jpg,,,
114,200.jpg,,,
115,201.jpg,,,
116,202.jpg,,,
117,203.jpg,,,
118,204.jpg,,,
119,205.jpg,,,
120,206.jpg,,,
121,21.jpg,white,fear,32.0
122,22.jpg,,,
123,23.jpg,,,
124,24.jpg,,,
125,25.jpg,,,
126,26.jpg,,,
127,27.jpg,,,
128,28.jpg,white,sad,32.0
129,29.jpg,white,angry,36.0
130,3.jpg,white,neutral,40.0
131,30.jpg,white,happy,29.0
132,31.jpg,white,happy,29.0
133,32.jpg,middle eastern,sad,39.0
134,33.jpg,white,sad,41.0
135,34.jpg,white,happy,33.0
136,35.jpg,white,happy,32.0
137,36.jpg,white,fear,33.0
138,37.jpg,,,
139,38.jpg,,,
140,39.jpg,,,
