,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,white,neutral,30.0
2,10.jpg,white,fear,33.0
3,100.jpg,white,fear,31.0
4,101.jpg,white,fear,30.0
5,102.jpg,white,sad,35.0
6,103.jpg,white,fear,37.0
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,white,surprise,36.0
13,11.jpg,white,surprise,37.0
14,110.jpg,white,neutral,33.0
15,111.jpg,,,
16,112.jpg,,,
17,113.jpg,white,neutral,40.0
18,114.jpg,white,sad,37.0
19,115.jpg,latino hispanic,neutral,34.0
20,116.jpg,white,fear,31.0
21,117.jpg,white,fear,34.0
22,118.jpg,latino hispanic,neutral,37.0
23,119.jpg,latino hispanic,fear,36.0
24,12.jpg,white,surprise,28.0
25,120.jpg,white,fear,39.0
26,121.jpg,white,fear,35.0
27,122.jpg,white,neutral,35.0
28,123.jpg,asian,fear,24.0
29,124.jpg,white,happy,33.0
30,125.jpg,white,neutral,29.0
31,126.jpg,white,fear,36.0
32,127.jpg,white,fear,27.0
33,128.jpg,,,
34,129.jpg,white,fear,30.0
35,13.jpg,white,fear,37.0
36,130.jpg,white,fear,33.0
37,131.jpg,white,sad,34.0
38,132.jpg,white,angry,39.0
39,133.jpg,white,happy,27.0
40,134.jpg,,,
41,135.jpg,white,neutral,34.0
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,,,
45,139.jpg,,,
46,14.jpg,white,fear,33.0
47,140.jpg,white,sad,32.0
48,141.jpg,white,sad,30.0
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,white,fear,34.0
52,145.jpg,,,
53,146.jpg,,,
54,147.jpg,middle eastern,fear,33.0
55,148.jpg,white,fear,37.0
56,149.jpg,white,happy,35.0
57,15.jpg,white,neutral,31.0
58,150.jpg,white,fear,33.0
59,151.jpg,white,sad,33.0
60,152.jpg,,,
61,153.jpg,white,neutral,34.0
62,154.jpg,white,fear,31.0
63,155.jpg,white,fear,32.0
64,156.jpg,,,
65,157.jpg,white,neutral,34.0
66,158.jpg,white,neutral,29.0
67,159.jpg,middle eastern,neutral,39.0
68,16.jpg,white,neutral,32.0
69,160.jpg,white,fear,27.0
70,161.jpg,,,
71,162.jpg,white,neutral,39.0
72,163.jpg,white,surprise,37.0
73,164.jpg,,,
74,165.jpg,,,
75,166.jpg,white,fear,35.0
76,167.jpg,white,neutral,32.0
77,168.jpg,white,fear,34.0
78,169.jpg,middle eastern,sad,26.0
79,17.jpg,white,neutral,33.0
80,170.jpg,,,
81,171.jpg,,,
82,172.jpg,,,
83,173.jpg,,,
84,174.jpg,white,fear,39.0
85,175.jpg,white,neutral,32.0
86,176.jpg,,,
87,177.jpg,,,
