,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,latino hispanic,sad,35.0
2,10.jpg,,,
3,100.jpg,,,
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,,,
7,104.jpg,,,
8,105.jpg,latino hispanic,sad,40.0
9,106.jpg,latino hispanic,sad,47.0
10,107.jpg,latino hispanic,neutral,43.0
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,,,
14,110.jpg,,,
15,111.jpg,,,
16,112.jpg,white,neutral,32.0
17,113.jpg,latino hispanic,neutral,46.0
18,114.jpg,latino hispanic,neutral,42.0
19,115.jpg,asian,neutral,41.0
20,116.jpg,white,sad,44.0
21,117.jpg,white,neutral,43.0
22,118.jpg,latino hispanic,angry,40.0
23,119.jpg,latino hispanic,sad,39.0
24,12.jpg,,,
25,120.jpg,white,angry,40.0
26,121.jpg,middle eastern,angry,45.0
27,122.jpg,asian,sad,38.0
28,123.jpg,latino hispanic,neutral,35.0
29,124.jpg,latino hispanic,sad,37.0
30,125.jpg,latino hispanic,fear,37.0
31,126.jpg,latino hispanic,neutral,41.0
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,latino hispanic,fear,33.0
36,130.jpg,,,
37,131.jpg,,,
38,132.jpg,,,
39,14.jpg,latino hispanic,sad,37.0
40,15.jpg,,,
41,16.jpg,,,
42,17.jpg,,,
43,18.jpg,,,
44,19.jpg,,,
45,2.jpg,latino hispanic,fear,36.0
46,20.jpg,,,
47,21.jpg,latino hispanic,neutral,36.0
48,22.jpg,latino hispanic,neutral,35.0
49,23.jpg,,,
50,24.jpg,,,
51,25.jpg,,,
52,26.jpg,,,
53,27.jpg,,,
54,28.jpg,,,
55,29.jpg,,,
56,3.jpg,latino hispanic,fear,36.0
57,30.jpg,,,
58,31.jpg,asian,neutral,39.0
59,32.jpg,asian,fear,39.0
60,33.jpg,asian,neutral,39.0
61,34.jpg,asian,neutral,33.0
62,35.jpg,,,
63,36.jpg,,,
64,37.jpg,,,
65,38.jpg,,,
66,39.jpg,,,
67,4.jpg,latino hispanic,fear,40.0
68,40.jpg,latino hispanic,neutral,36.0
69,41.jpg,latino hispanic,fear,36.0
70,42.jpg,latino hispanic,neutral,33.0
71,43.jpg,latino hispanic,neutral,33.0
72,44.jpg,,,
73,45.jpg,,,
74,46.jpg,,,
75,47.jpg,,,
76,48.jpg,,,
77,49.jpg,,,
78,5.jpg,white,happy,40.0
79,50.jpg,,,
80,51.jpg,,,
81,52.jpg,,,
82,53.jpg,latino hispanic,fear,34.0
83,54.jpg,latino hispanic,sad,35.0
84,55.jpg,latino hispanic,neutral,34.0
85,56.jpg,latino hispanic,sad,39.0
86,57.jpg,latino hispanic,sad,35.0
87,58.jpg,asian,sad,39.0
88,59.jpg,latino hispanic,sad,35.0
89,6.jpg,white,happy,41.0
90,60.jpg,latino hispanic,fear,35.0
91,61.jpg,latino hispanic,neutral,36.0
92,62.jpg,latino hispanic,fear,36.0
93,63.jpg,latino hispanic,sad,33.0
94,64.jpg,latino hispanic,fear,33.0
95,65.jpg,,,
96,66.jpg,,,
97,67.jpg,,,
98,68.jpg,,,
99,69.jpg,latino hispanic,fear,37.0
100,7.jpg,white,happy,39.0
101,70.jpg,latino hispanic,neutral,32.0
102,71.jpg,latino hispanic,neutral,34.0
103,72.jpg,asian,sad,35.0
104,73.jpg,latino hispanic,fear,36.0
105,74.jpg,latino hispanic,sad,41.0
106,75.jpg,,,
107,76.jpg,,,
108,77.jpg,,,
109,78.jpg,,,
110,79.jpg,,,
111,8.jpg,latino hispanic,neutral,35.0
112,80.jpg,,,
113,81.jpg,latino hispanic,sad,34.0
114,82.jpg,latino hispanic,neutral,34.0
115,83.jpg,latino hispanic,fear,34.0
116,84.jpg,latino hispanic,fear,36.0
117,85.jpg,latino hispanic,happy,37.0
118,86.jpg,,,
119,87.jpg,,,
120,88.jpg,,,
121,89.jpg,,,
122,9.jpg,white,fear,32.0
123,90.jpg,latino hispanic,happy,34.0
124,91.jpg,latino hispanic,happy,38.0
125,92.jpg,,,
126,93.jpg,,,
127,94.jpg,,,
128,95.jpg,asian,sad,37.0
129,96.jpg,asian,neutral,35.0
130,97.jpg,,,
131,98.jpg,,,
132,99.jpg,,,
