,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,angry,45.0
3,100.jpg,middle eastern,sad,37.0
4,101.jpg,white,fear,25.0
5,102.jpg,white,sad,26.0
6,103.jpg,white,neutral,33.0
7,104.jpg,white,angry,32.0
8,105.jpg,white,angry,40.0
9,106.jpg,white,angry,36.0
10,107.jpg,white,angry,38.0
11,108.jpg,white,angry,33.0
12,109.jpg,white,angry,35.0
13,11.jpg,white,angry,45.0
14,110.jpg,white,angry,34.0
15,111.jpg,white,angry,42.0
16,112.jpg,white,angry,34.0
17,113.jpg,white,fear,32.0
18,114.jpg,white,angry,41.0
19,115.jpg,white,angry,32.0
20,116.jpg,white,angry,36.0
21,117.jpg,white,angry,37.0
22,118.jpg,white,angry,39.0
23,119.jpg,white,fear,38.0
24,12.jpg,white,angry,42.0
25,120.jpg,white,angry,38.0
26,121.jpg,white,neutral,36.0
27,122.jpg,white,angry,36.0
28,123.jpg,white,angry,41.0
29,124.jpg,white,angry,40.0
30,125.jpg,white,angry,45.0
31,126.jpg,white,angry,38.0
32,127.jpg,white,neutral,33.0
33,128.jpg,white,surprise,42.0
34,129.jpg,white,surprise,38.0
35,13.jpg,white,angry,42.0
36,130.jpg,white,surprise,39.0
37,131.jpg,white,angry,37.0
38,132.jpg,white,sad,38.0
39,133.jpg,white,sad,38.0
40,134.jpg,white,angry,36.0
41,135.jpg,white,neutral,35.0
42,136.jpg,white,fear,38.0
43,137.jpg,white,sad,31.0
44,138.jpg,white,angry,41.0
45,139.jpg,white,angry,38.0
46,14.jpg,white,angry,42.0
47,140.jpg,white,sad,36.0
48,141.jpg,white,surprise,33.0
49,142.jpg,white,angry,39.0
50,143.jpg,white,neutral,37.0
51,144.jpg,white,angry,37.0
52,145.jpg,white,angry,39.0
53,146.jpg,white,neutral,35.0
54,147.jpg,white,angry,33.0
55,148.jpg,white,angry,34.0
56,149.jpg,white,angry,32.0
57,15.jpg,white,angry,43.0
58,150.jpg,white,angry,36.0
59,151.jpg,white,angry,42.0
60,152.jpg,white,angry,38.0
61,153.jpg,white,neutral,37.0
62,154.jpg,white,angry,34.0
63,155.jpg,white,angry,35.0
64,156.jpg,white,angry,36.0
