,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,angry,35.0
1,1.jpg,white,sad,36.0
2,10.jpg,,,
3,11.jpg,,,
4,12.jpg,,,
5,13.jpg,white,sad,33.0
6,14.jpg,white,surprise,35.0
7,15.jpg,white,surprise,34.0
8,16.jpg,white,neutral,40.0
9,17.jpg,,,
10,18.jpg,white,fear,36.0
11,19.jpg,,,
12,2.jpg,,,
13,20.jpg,,,
14,21.jpg,,,
15,22.jpg,,,
16,23.jpg,,,
17,24.jpg,white,fear,26.0
18,25.jpg,white,fear,34.0
19,26.jpg,white,surprise,35.0
20,27.jpg,,,
21,28.jpg,,,
22,29.jpg,white,neutral,31.0
23,3.jpg,,,
24,30.jpg,,,
25,31.jpg,,,
26,32.jpg,,,
27,33.jpg,white,fear,29.0
28,34.jpg,white,sad,31.0
29,35.jpg,,,
30,36.jpg,,,
31,37.jpg,,,
32,38.jpg,,,
33,39.jpg,white,surprise,38.0
34,4.jpg,white,fear,39.0
35,40.jpg,white,sad,35.0
36,41.jpg,white,neutral,41.0
37,42.jpg,white,neutral,35.0
38,43.jpg,white,surprise,35.0
39,44.jpg,white,angry,39.0
40,45.jpg,white,sad,40.0
41,46.jpg,white,neutral,32.0
42,47.jpg,,,
43,48.jpg,,,
44,49.jpg,white,surprise,27.0
45,5.jpg,white,happy,40.0
46,50.jpg,white,sad,28.0
47,51.jpg,,,
48,52.jpg,,,
49,53.jpg,white,surprise,27.0
50,54.jpg,white,sad,26.0
51,55.jpg,,,
52,56.jpg,white,fear,26.0
53,57.jpg,white,surprise,25.0
54,58.jpg,white,neutral,36.0
55,59.jpg,white,fear,42.0
56,6.jpg,white,fear,30.0
57,60.jpg,,,
58,61.jpg,,,
59,62.jpg,,,
60,63.jpg,white,fear,38.0
61,64.jpg,white,surprise,25.0
62,65.jpg,,,
63,66.jpg,,,
64,67.jpg,white,neutral,34.0
65,68.jpg,,,
66,69.jpg,,,
67,7.jpg,white,angry,39.0
68,70.jpg,,,
69,71.jpg,,,
70,72.jpg,,,
71,73.jpg,white,neutral,41.0
72,74.jpg,,,
73,75.jpg,white,surprise,35.0
74,76.jpg,,,
75,77.jpg,,,
76,78.jpg,,,
77,79.jpg,white,angry,35.0
78,8.jpg,,,
79,80.jpg,white,surprise,36.0
80,81.jpg,white,happy,33.0
81,82.jpg,,,
82,83.jpg,white,fear,24.0
83,84.jpg,white,neutral,28.0
84,85.jpg,white,fear,31.0
85,86.jpg,white,fear,37.0
86,87.jpg,white,neutral,33.0
87,88.jpg,,,
88,9.jpg,,,
