,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,happy,39.0
1,1.jpg,white,fear,29.0
2,10.jpg,white,fear,38.0
3,100.jpg,white,happy,38.0
4,101.jpg,white,fear,34.0
5,102.jpg,white,angry,45.0
6,103.jpg,white,fear,39.0
7,104.jpg,white,fear,36.0
8,105.jpg,white,angry,26.0
9,106.jpg,white,fear,35.0
10,107.jpg,,,
11,108.jpg,white,angry,32.0
12,109.jpg,white,fear,30.0
13,11.jpg,white,fear,33.0
14,110.jpg,white,fear,35.0
15,111.jpg,white,fear,33.0
16,112.jpg,white,happy,37.0
17,113.jpg,white,surprise,38.0
18,114.jpg,white,happy,36.0
19,115.jpg,white,happy,39.0
20,116.jpg,asian,neutral,39.0
21,117.jpg,white,neutral,39.0
22,118.jpg,white,angry,27.0
23,119.jpg,,,
24,12.jpg,white,surprise,30.0
25,120.jpg,white,fear,29.0
26,121.jpg,white,fear,34.0
27,122.jpg,asian,fear,30.0
28,123.jpg,white,surprise,39.0
29,124.jpg,white,angry,32.0
30,125.jpg,white,sad,41.0
31,126.jpg,asian,happy,39.0
32,127.jpg,white,neutral,43.0
33,128.jpg,white,neutral,35.0
34,129.jpg,white,fear,36.0
35,13.jpg,white,neutral,35.0
36,130.jpg,,,
37,14.jpg,white,surprise,39.0
38,15.jpg,white,surprise,39.0
39,16.jpg,white,neutral,44.0
40,17.jpg,white,fear,26.0
41,18.jpg,white,happy,29.0
42,19.jpg,white,happy,37.0
43,2.jpg,,,
44,20.jpg,white,happy,34.0
45,21.jpg,white,angry,34.0
46,22.jpg,,,
47,23.jpg,,,
48,24.jpg,,,
49,25.jpg,white,surprise,26.0
50,26.jpg,white,fear,36.0
51,27.jpg,white,sad,31.0
52,28.jpg,white,angry,43.0
53,29.jpg,white,surprise,38.0
54,3.jpg,white,neutral,37.0
55,30.jpg,white,fear,35.0
56,31.jpg,white,surprise,33.0
57,32.jpg,white,angry,40.0
58,33.jpg,white,fear,38.0
59,34.jpg,white,neutral,40.0
60,35.jpg,white,fear,39.0
61,36.jpg,white,angry,40.0
62,37.jpg,white,fear,31.0
63,38.jpg,white,happy,28.0
64,39.jpg,white,angry,39.0
65,4.jpg,white,angry,39.0
66,40.jpg,,,
67,41.jpg,white,happy,26.0
68,42.jpg,white,fear,39.0
69,43.jpg,white,fear,36.0
70,44.jpg,white,angry,27.0
71,45.jpg,white,fear,27.0
72,46.jpg,white,angry,29.0
73,47.jpg,white,neutral,37.0
74,48.jpg,white,angry,40.0
75,49.jpg,white,surprise,37.0
76,5.jpg,white,fear,31.0
77,50.jpg,white,fear,38.0
78,51.jpg,white,fear,36.0
79,52.jpg,white,fear,26.0
80,53.jpg,white,angry,27.0
81,54.jpg,white,angry,36.0
82,55.jpg,white,fear,26.0
83,56.jpg,white,sad,34.0
84,57.jpg,latino hispanic,happy,39.0
85,58.jpg,white,sad,29.0
86,59.jpg,white,fear,36.0
87,6.jpg,white,fear,33.0
88,60.jpg,white,angry,39.0
89,61.jpg,white,angry,27.0
90,62.jpg,white,angry,30.0
91,63.jpg,white,angry,32.0
92,64.jpg,asian,fear,35.0
93,65.jpg,white,fear,31.0
94,66.jpg,white,fear,35.0
95,67.jpg,white,angry,45.0
96,68.jpg,white,sad,41.0
97,69.jpg,white,fear,37.0
98,7.jpg,,,
99,70.jpg,,,
100,71.jpg,,,
101,72.jpg,white,neutral,39.0
102,73.jpg,asian,fear,35.0
103,74.jpg,white,happy,38.0
104,75.jpg,white,fear,39.0
105,76.jpg,white,fear,41.0
106,77.jpg,white,surprise,38.0
107,78.jpg,white,fear,31.0
108,79.jpg,white,fear,34.0
109,8.jpg,white,fear,36.0
110,80.jpg,white,fear,33.0
111,81.jpg,white,fear,39.0
112,82.jpg,white,angry,41.0
113,83.jpg,white,neutral,39.0
114,84.jpg,white,sad,35.0
115,85.jpg,white,angry,32.0
116,86.jpg,,,
117,87.jpg,white,fear,29.0
118,88.jpg,white,happy,35.0
119,89.jpg,white,angry,37.0
120,9.jpg,white,neutral,35.0
121,90.jpg,white,fear,34.0
122,91.jpg,white,neutral,42.0
123,92.jpg,white,fear,35.0
124,93.jpg,white,fear,31.0
125,94.jpg,white,angry,31.0
126,95.jpg,white,angry,30.0
127,96.jpg,white,fear,31.0
128,97.jpg,white,fear,40.0
129,98.jpg,,,
130,99.jpg,,,
