,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,,,
3,100.jpg,middle eastern,neutral,34.0
4,101.jpg,white,sad,36.0
5,102.jpg,asian,fear,39.0
6,103.jpg,middle eastern,fear,31.0
7,104.jpg,white,neutral,32.0
8,105.jpg,white,sad,28.0
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,asian,sad,38.0
13,11.jpg,,,
14,110.jpg,black,angry,39.0
15,111.jpg,asian,fear,35.0
16,112.jpg,middle eastern,fear,37.0
17,113.jpg,,,
18,114.jpg,white,neutral,39.0
19,115.jpg,,,
20,116.jpg,,,
21,117.jpg,,,
22,118.jpg,,,
23,119.jpg,,,
24,12.jpg,white,happy,31.0
25,120.jpg,,,
26,121.jpg,,,
27,122.jpg,,,
28,123.jpg,,,
29,124.jpg,,,
30,125.jpg,,,
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,,,
36,130.jpg,,,
37,131.jpg,latino hispanic,sad,35.0
38,132.jpg,,,
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,,,
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,black,fear,28.0
45,139.jpg,black,neutral,32.0
46,14.jpg,,,
47,140.jpg,asian,sad,27.0
48,141.jpg,white,angry,29.0
49,142.jpg,latino hispanic,fear,36.0
50,143.jpg,asian,sad,35.0
51,144.jpg,white,angry,37.0
52,145.jpg,,,
53,146.jpg,white,sad,38.0
54,147.jpg,,,
55,148.jpg,,,
56,149.jpg,,,
57,15.jpg,,,
58,150.jpg,,,
59,151.jpg,,,
60,152.jpg,,,
61,153.jpg,black,sad,26.0
62,154.jpg,,,
63,155.jpg,latino hispanic,surprise,39.0
64,156.jpg,white,fear,27.0
65,157.jpg,black,angry,35.0
66,158.jpg,black,angry,36.0
67,159.jpg,indian,happy,37.0
68,16.jpg,,,
69,160.jpg,,,
70,161.jpg,,,
71,162.jpg,,,
72,163.jpg,,,
73,164.jpg,white,neutral,34.0
74,165.jpg,white,sad,39.0
75,166.jpg,black,fear,33.0
76,167.jpg,white,happy,32.0
77,168.jpg,,,
78,169.jpg,,,
79,17.jpg,black,sad,42.0
80,170.jpg,,,
