,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,asian,neutral,34.0
3,100.jpg,black,neutral,33.0
4,1000.jpg,,,
5,1001.jpg,,,
6,1002.jpg,,,
7,1003.jpg,,,
8,1004.jpg,,,
9,1005.jpg,white,happy,30.0
10,1006.jpg,indian,neutral,32.0
11,1007.jpg,,,
12,1008.jpg,indian,neutral,34.0
13,1009.jpg,,,
14,101.jpg,asian,neutral,31.0
15,1010.jpg,,,
16,1011.jpg,middle eastern,neutral,34.0
17,1012.jpg,asian,neutral,34.0
18,1013.jpg,latino hispanic,neutral,34.0
19,1014.jpg,asian,happy,32.0
20,1015.jpg,white,sad,33.0
21,1016.jpg,,,
22,1017.jpg,asian,angry,34.0
23,1018.jpg,,,
24,1019.jpg,,,
25,102.jpg,,,
26,1020.jpg,latino hispanic,neutral,33.0
27,1021.jpg,latino hispanic,happy,34.0
28,1022.jpg,latino hispanic,angry,35.0
29,1023.jpg,latino hispanic,angry,36.0
30,1024.jpg,latino hispanic,angry,33.0
31,1025.jpg,,,
32,1026.jpg,middle eastern,neutral,34.0
33,1027.jpg,middle eastern,neutral,32.0
34,1028.jpg,,,
35,1029.jpg,middle eastern,neutral,36.0
36,103.jpg,,,
37,1030.jpg,,,
38,1031.jpg,,,
39,1032.jpg,,,
40,1033.jpg,,,
41,1034.jpg,,,
42,1035.jpg,,,
43,1036.jpg,,,
44,1037.jpg,,,
45,1038.jpg,,,
46,1039.jpg,,,
47,104.jpg,latino hispanic,sad,36.0
48,1040.jpg,,,
49,1041.jpg,,,
50,1042.jpg,,,
51,1043.jpg,,,
52,1044.jpg,,,
53,1045.jpg,,,
54,1046.jpg,,,
55,1047.jpg,,,
56,1048.jpg,asian,fear,35.0
57,1049.jpg,asian,fear,33.0
58,105.jpg,asian,surprise,32.0
59,1050.jpg,indian,neutral,36.0
60,1051.jpg,,,
61,1052.jpg,indian,angry,32.0
62,1053.jpg,,,
63,1054.jpg,,,
64,1055.jpg,,,
65,1056.jpg,,,
66,1057.jpg,,,
67,1058.jpg,,,
68,1059.jpg,,,
69,106.jpg,indian,neutral,30.0
70,1060.jpg,,,
71,1061.jpg,,,
72,1062.jpg,,,
