,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,fear,47.0
1,10.jpg,,,
2,100.jpg,,,
3,102.jpg,,,
4,104.jpg,,,
5,106.jpg,,,
6,108.jpg,,,
7,110.jpg,,,
8,112.jpg,white,fear,28.0
9,114.jpg,,,
10,116.jpg,,,
11,118.jpg,,,
12,12.jpg,,,
13,120.jpg,,,
14,122.jpg,,,
15,124.jpg,,,
16,126.jpg,,,
17,128.jpg,,,
18,130.jpg,,,
19,132.jpg,,,
20,134.jpg,,,
21,136.jpg,,,
22,138.jpg,,,
23,14.jpg,white,neutral,26.0
24,140.jpg,,,
25,142.jpg,,,
26,144.jpg,,,
27,146.jpg,,,
28,148.jpg,,,
29,150.jpg,,,
30,152.jpg,,,
31,154.jpg,,,
32,156.jpg,,,
33,158.jpg,,,
34,16.jpg,,,
35,160.jpg,,,
36,162.jpg,,,
37,164.jpg,,,
38,166.jpg,,,
39,168.jpg,,,
40,170.jpg,,,
41,172.jpg,,,
42,174.jpg,white,sad,37.0
43,176.jpg,white,surprise,33.0
44,178.jpg,,,
45,18.jpg,white,neutral,36.0
46,180.jpg,white,fear,28.0
47,182.jpg,,,
48,184.jpg,,,
49,186.jpg,,,
50,188.jpg,,,
51,190.jpg,,,
52,192.jpg,white,happy,24.0
53,194.jpg,white,neutral,24.0
54,196.jpg,white,neutral,24.0
55,198.jpg,,,
56,2.jpg,white,fear,29.0
57,20.jpg,white,sad,37.0
58,200.jpg,,,
59,202.jpg,,,
60,204.jpg,,,
61,206.jpg,,,
62,208.jpg,,,
63,210.jpg,,,
64,212.jpg,,,
65,214.jpg,,,
66,216.jpg,,,
67,218.jpg,,,
68,22.jpg,,,
69,220.jpg,,,
70,222.jpg,,,
71,224.jpg,,,
72,226.jpg,,,
73,228.jpg,,,
74,230.jpg,,,
75,232.jpg,,,
76,234.jpg,,,
77,236.jpg,,,
78,238.jpg,,,
79,24.jpg,,,
80,240.jpg,,,
81,242.jpg,,,
82,244.jpg,asian,sad,33.0
83,246.jpg,white,angry,28.0
84,248.jpg,,,
85,250.jpg,,,
86,252.jpg,,,
87,254.jpg,,,
88,256.jpg,,,
89,258.jpg,,,
90,26.jpg,,,
91,260.jpg,,,
92,262.jpg,,,
93,264.jpg,,,
94,266.jpg,,,
95,268.jpg,,,
96,270.jpg,,,
97,272.jpg,,,
98,274.jpg,,,
99,276.jpg,white,sad,33.0
100,278.jpg,white,neutral,29.0
101,28.jpg,,,
102,280.jpg,white,sad,25.0
103,282.jpg,white,happy,28.0
104,284.jpg,white,sad,26.0
105,286.jpg,,,
106,288.jpg,,,
107,290.jpg,,,
108,292.jpg,,,
109,294.jpg,,,
110,296.jpg,,,
111,298.jpg,,,
112,30.jpg,,,
113,300.jpg,,,
114,302.jpg,,,
115,304.jpg,,,
116,306.jpg,,,
117,308.jpg,,,
118,310.jpg,,,
119,312.jpg,,,
120,314.jpg,,,
121,316.jpg,white,angry,44.0
122,318.jpg,,,
123,32.jpg,white,fear,28.0
124,320.jpg,white,neutral,30.0
125,322.jpg,white,surprise,45.0
126,324.jpg,asian,neutral,27.0
127,326.jpg,,,
128,328.jpg,,,
129,330.jpg,,,
130,332.jpg,white,fear,24.0
131,334.jpg,,,
132,336.jpg,,,
133,338.jpg,,,
134,34.jpg,,,
135,340.jpg,,,
136,342.jpg,,,
137,344.jpg,,,
138,346.jpg,white,neutral,23.0
139,348.jpg,white,fear,34.0
140,350.jpg,,,
141,352.jpg,,,
142,354.jpg,,,
143,356.jpg,white,neutral,33.0
144,358.jpg,white,surprise,43.0
145,36.jpg,,,
146,360.jpg,,,
147,362.jpg,,,
148,364.jpg,,,
149,366.jpg,,,
150,368.jpg,,,
151,370.jpg,white,angry,27.0
152,372.jpg,white,angry,26.0
153,374.jpg,white,angry,26.0
154,376.jpg,,,
155,378.jpg,,,
156,38.jpg,,,
157,380.jpg,,,
158,382.jpg,,,
159,384.jpg,,,
160,386.jpg,,,
161,388.jpg,,,
162,390.jpg,,,
163,392.jpg,,,
164,394.jpg,,,
165,396.jpg,,,
166,398.jpg,,,
167,4.jpg,white,neutral,25.0
168,40.jpg,white,fear,30.0
169,400.jpg,,,
170,402.jpg,,,
171,404.jpg,,,
172,406.jpg,,,
173,408.jpg,,,
174,410.jpg,white,fear,30.0
175,412.jpg,,,
176,414.jpg,,,
177,416.jpg,,,
178,418.jpg,,,
179,42.jpg,,,
180,420.jpg,,,
181,422.jpg,,,
182,424.jpg,,,
183,426.jpg,white,neutral,37.0
184,428.jpg,white,fear,36.0
185,430.jpg,,,
186,432.jpg,,,
187,434.jpg,white,fear,26.0
188,436.jpg,,,
189,438.jpg,,,
190,44.jpg,,,
191,440.jpg,,,
192,442.jpg,,,
193,444.jpg,,,
194,446.jpg,,,
195,448.jpg,,,
196,450.jpg,,,
197,452.jpg,,,
198,454.jpg,,,
199,456.jpg,,,
200,458.jpg,,,
201,46.jpg,,,
202,460.jpg,,,
203,462.jpg,white,fear,27.0
204,464.jpg,,,
205,466.jpg,,,
206,468.jpg,white,sad,23.0
207,470.jpg,,,
208,472.jpg,,,
209,474.jpg,,,
210,476.jpg,white,fear,28.0
211,478.jpg,,,
212,48.jpg,,,
213,480.jpg,,,
214,482.jpg,white,sad,30.0
215,484.jpg,white,fear,26.0
216,486.jpg,,,
217,488.jpg,,,
218,490.jpg,,,
219,492.jpg,,,
220,494.jpg,,,
221,496.jpg,,,
222,498.jpg,,,
223,50.jpg,,,
224,500.jpg,,,
225,502.jpg,,,
226,504.jpg,,,
227,506.jpg,,,
228,508.jpg,,,
229,510.jpg,,,
