,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,sad,37.0
3,100.jpg,,,
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,,,
7,104.jpg,white,fear,26.0
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,white,neutral,38.0
14,110.jpg,,,
15,111.jpg,,,
16,112.jpg,,,
17,113.jpg,white,sad,23.0
18,114.jpg,white,fear,23.0
19,115.jpg,white,neutral,33.0
20,116.jpg,white,fear,33.0
21,117.jpg,white,neutral,33.0
22,118.jpg,white,fear,34.0
23,119.jpg,white,fear,35.0
24,12.jpg,white,neutral,36.0
25,120.jpg,indian,fear,40.0
26,121.jpg,white,sad,27.0
27,122.jpg,white,neutral,25.0
28,123.jpg,white,sad,29.0
29,124.jpg,white,neutral,26.0
30,125.jpg,white,fear,34.0
31,126.jpg,latino hispanic,fear,34.0
32,127.jpg,white,sad,34.0
33,128.jpg,white,sad,35.0
34,129.jpg,white,happy,34.0
35,13.jpg,,,
36,130.jpg,white,sad,34.0
37,131.jpg,white,sad,28.0
38,132.jpg,white,sad,28.0
39,133.jpg,white,angry,33.0
40,134.jpg,white,sad,25.0
41,135.jpg,white,sad,25.0
42,136.jpg,white,angry,30.0
43,137.jpg,white,sad,27.0
44,138.jpg,middle eastern,sad,34.0
45,139.jpg,white,sad,35.0
46,14.jpg,,,
47,140.jpg,white,happy,35.0
48,141.jpg,latino hispanic,happy,34.0
49,142.jpg,white,neutral,35.0
50,143.jpg,white,neutral,31.0
51,144.jpg,black,fear,33.0
52,145.jpg,white,fear,32.0
53,146.jpg,asian,neutral,31.0
54,147.jpg,latino hispanic,angry,34.0
55,148.jpg,white,neutral,33.0
56,149.jpg,asian,angry,36.0
57,15.jpg,,,
58,150.jpg,latino hispanic,angry,37.0
59,151.jpg,asian,neutral,33.0
60,152.jpg,asian,neutral,32.0
61,153.jpg,asian,neutral,36.0
62,154.jpg,asian,neutral,32.0
63,155.jpg,latino hispanic,sad,31.0
64,156.jpg,white,neutral,30.0
65,157.jpg,latino hispanic,sad,33.0
66,158.jpg,latino hispanic,neutral,35.0
67,159.jpg,white,fear,34.0
