,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,white,fear,30.0
2,10.jpg,,,
3,100.jpg,white,surprise,39.0
4,101.jpg,white,angry,33.0
5,102.jpg,asian,neutral,32.0
6,103.jpg,white,fear,24.0
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,white,neutral,25.0
14,110.jpg,,,
15,111.jpg,,,
16,112.jpg,white,happy,29.0
17,113.jpg,,,
18,114.jpg,,,
19,115.jpg,,,
20,116.jpg,,,
21,117.jpg,,,
22,118.jpg,,,
23,119.jpg,latino hispanic,surprise,46.0
24,12.jpg,,,
25,120.jpg,white,neutral,35.0
26,121.jpg,,,
27,122.jpg,,,
28,123.jpg,,,
29,124.jpg,,,
30,125.jpg,white,fear,26.0
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,,,
36,130.jpg,,,
37,131.jpg,,,
38,132.jpg,white,neutral,24.0
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,,,
42,136.jpg,middle eastern,fear,37.0
43,137.jpg,,,
44,138.jpg,white,happy,38.0
45,139.jpg,,,
46,14.jpg,,,
47,140.jpg,white,neutral,35.0
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,,,
52,145.jpg,white,fear,29.0
53,146.jpg,,,
54,147.jpg,asian,fear,27.0
55,148.jpg,asian,fear,31.0
56,149.jpg,white,fear,29.0
57,15.jpg,,,
58,150.jpg,,,
59,151.jpg,,,
60,152.jpg,,,
61,153.jpg,,,
62,154.jpg,white,neutral,43.0
63,155.jpg,,,
64,156.jpg,,,
65,157.jpg,white,happy,27.0
66,158.jpg,white,happy,27.0
67,159.jpg,white,happy,27.0
68,16.jpg,,,
69,160.jpg,,,
70,161.jpg,,,
71,162.jpg,,,
72,163.jpg,,,
73,164.jpg,,,
74,165.jpg,,,
75,166.jpg,,,
76,167.jpg,,,
77,168.jpg,,,
78,169.jpg,,,
79,17.jpg,,,
80,170.jpg,,,
81,171.jpg,white,neutral,38.0
82,172.jpg,,,
83,173.jpg,latino hispanic,fear,34.0
84,174.jpg,,,
85,175.jpg,white,happy,25.0
86,176.jpg,white,happy,24.0
87,177.jpg,,,
88,178.jpg,,,
89,179.jpg,,,
90,18.jpg,white,angry,32.0
91,180.jpg,,,
92,181.jpg,middle eastern,happy,34.0
93,182.jpg,,,
94,183.jpg,middle eastern,happy,30.0
95,184.jpg,asian,sad,25.0
96,185.jpg,latino hispanic,sad,31.0
97,186.jpg,white,neutral,36.0
98,187.jpg,white,neutral,42.0
99,188.jpg,,,
100,189.jpg,,,
101,19.jpg,white,fear,28.0
102,190.jpg,,,
103,191.jpg,,,
104,192.jpg,,,
105,193.jpg,,,
106,194.jpg,,,
107,195.jpg,,,
108,196.jpg,,,
109,197.jpg,,,
110,198.jpg,,,
111,199.jpg,,,
112,2.jpg,white,fear,37.0
113,20.jpg,white,surprise,33.0
114,200.jpg,,,
115,201.jpg,,,
116,202.jpg,,,
117,203.jpg,,,
118,204.jpg,asian,fear,34.0
119,205.jpg,white,sad,27.0
120,206.jpg,white,fear,28.0
121,207.jpg,,,
122,208.jpg,,,
123,209.jpg,,,
124,21.jpg,white,fear,32.0
125,210.jpg,,,
126,211.jpg,,,
127,212.jpg,,,
128,213.jpg,asian,fear,37.0
129,214.jpg,,,
130,215.jpg,,,
131,216.jpg,,,
132,217.jpg,white,angry,28.0
133,218.jpg,white,angry,28.0
134,219.jpg,white,sad,39.0
135,22.jpg,white,surprise,47.0
136,220.jpg,asian,fear,33.0
137,221.jpg,asian,angry,27.0
138,222.jpg,asian,angry,28.0
139,223.jpg,white,fear,24.0
140,224.jpg,asian,angry,27.0
141,225.jpg,asian,fear,39.0
142,226.jpg,,,
143,227.jpg,white,fear,29.0
144,228.jpg,white,sad,28.0
145,229.jpg,,,
146,23.jpg,white,fear,23.0
147,230.jpg,,,
148,231.jpg,,,
149,232.jpg,white,angry,28.0
150,233.jpg,asian,neutral,32.0
151,234.jpg,white,neutral,33.0
152,235.jpg,white,angry,28.0
153,236.jpg,,,
