,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,neutral,39.0
1,1.jpg,white,neutral,34.0
2,10.jpg,white,neutral,33.0
3,100.jpg,white,happy,37.0
4,101.jpg,white,neutral,41.0
5,102.jpg,white,fear,27.0
6,103.jpg,white,fear,24.0
7,104.jpg,,,
8,105.jpg,white,fear,31.0
9,106.jpg,white,neutral,42.0
10,107.jpg,,,
11,108.jpg,white,sad,39.0
12,109.jpg,white,happy,35.0
13,11.jpg,white,fear,30.0
14,110.jpg,,,
15,111.jpg,white,fear,33.0
16,112.jpg,white,fear,34.0
17,113.jpg,white,happy,36.0
18,114.jpg,white,neutral,39.0
19,115.jpg,white,fear,34.0
20,116.jpg,white,surprise,41.0
21,117.jpg,,,
22,118.jpg,,,
23,119.jpg,,,
24,12.jpg,,,
25,120.jpg,,,
26,121.jpg,white,surprise,41.0
27,122.jpg,,,
28,123.jpg,white,sad,30.0
29,124.jpg,white,neutral,30.0
30,125.jpg,white,sad,30.0
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,middle eastern,fear,42.0
35,13.jpg,,,
36,130.jpg,white,fear,29.0
37,131.jpg,white,neutral,32.0
38,132.jpg,white,sad,39.0
39,133.jpg,,,
40,134.jpg,white,fear,34.0
41,135.jpg,latino hispanic,fear,37.0
42,136.jpg,white,neutral,27.0
43,137.jpg,white,surprise,24.0
44,138.jpg,,,
45,139.jpg,,,
46,14.jpg,white,neutral,28.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,white,fear,34.0
50,143.jpg,white,neutral,25.0
51,144.jpg,,,
52,145.jpg,white,happy,28.0
53,146.jpg,,,
54,147.jpg,,,
55,148.jpg,white,neutral,38.0
56,149.jpg,,,
57,15.jpg,white,neutral,39.0
58,150.jpg,,,
59,151.jpg,,,
60,152.jpg,,,
61,153.jpg,,,
62,154.jpg,,,
63,155.jpg,,,
64,156.jpg,,,
65,157.jpg,,,
66,158.jpg,,,
67,159.jpg,,,
68,16.jpg,white,neutral,23.0
69,160.jpg,,,
70,161.jpg,,,
71,162.jpg,,,
72,163.jpg,,,
73,164.jpg,white,fear,29.0
74,165.jpg,white,fear,39.0
75,166.jpg,white,fear,37.0
76,167.jpg,white,fear,28.0
77,168.jpg,white,fear,34.0
78,169.jpg,white,neutral,35.0
79,17.jpg,,,
80,170.jpg,asian,fear,39.0
81,171.jpg,asian,fear,31.0
82,172.jpg,white,neutral,27.0
83,173.jpg,,,
84,174.jpg,white,angry,34.0
85,175.jpg,,,
86,176.jpg,,,
87,177.jpg,,,
88,178.jpg,,,
89,179.jpg,,,
90,18.jpg,white,neutral,39.0
91,180.jpg,white,happy,31.0
92,181.jpg,asian,fear,41.0
93,182.jpg,,,
94,183.jpg,,,
95,184.jpg,,,
96,185.jpg,,,
97,186.jpg,,,
98,187.jpg,,,
99,188.jpg,white,fear,31.0
100,189.jpg,,,
101,19.jpg,,,
102,190.jpg,,,
103,191.jpg,,,
104,192.jpg,,,
105,193.jpg,,,
106,194.jpg,white,neutral,39.0
107,195.jpg,white,fear,34.0
108,196.jpg,asian,neutral,23.0
109,197.jpg,,,
110,198.jpg,,,
111,199.jpg,white,fear,42.0
112,2.jpg,white,fear,39.0
113,20.jpg,,,
114,200.jpg,white,fear,24.0
115,201.jpg,,,
116,202.jpg,white,fear,38.0
117,203.jpg,white,neutral,34.0
118,204.jpg,asian,fear,32.0
119,205.jpg,white,fear,39.0
120,206.jpg,white,angry,31.0
121,207.jpg,white,neutral,39.0
122,208.jpg,white,fear,33.0
123,209.jpg,white,fear,27.0
124,21.jpg,white,neutral,25.0
125,210.jpg,,,
126,211.jpg,latino hispanic,happy,36.0
127,22.jpg,,,
128,23.jpg,,,
129,24.jpg,,,
130,25.jpg,,,
131,26.jpg,,,
132,27.jpg,,,
133,28.jpg,white,happy,36.0
134,29.jpg,,,
135,3.jpg,latino hispanic,fear,28.0
136,30.jpg,,,
137,31.jpg,,,
138,32.jpg,,,
139,33.jpg,,,
140,34.jpg,,,
141,35.jpg,,,
142,36.jpg,,,
143,37.jpg,,,
144,38.jpg,,,
145,39.jpg,,,
146,4.jpg,white,fear,31.0
147,40.jpg,,,
148,41.jpg,white,fear,24.0
149,42.jpg,,,
150,43.jpg,,,
151,44.jpg,,,
152,45.jpg,,,
153,46.jpg,,,
154,47.jpg,,,
155,48.jpg,,,
156,49.jpg,,,
157,5.jpg,white,neutral,33.0
158,50.jpg,,,
159,51.jpg,,,
160,52.jpg,,,
161,53.jpg,white,surprise,39.0
162,54.jpg,white,fear,39.0
163,55.jpg,,,
164,56.jpg,white,fear,28.0
165,57.jpg,white,fear,28.0
166,58.jpg,white,fear,35.0
167,59.jpg,,,
168,6.jpg,,,
169,60.jpg,,,
170,61.jpg,white,fear,41.0
171,62.jpg,white,fear,38.0
172,63.jpg,white,fear,30.0
173,64.jpg,white,neutral,31.0
174,65.jpg,,,
175,66.jpg,,,
176,67.jpg,,,
177,68.jpg,,,
178,69.jpg,,,
179,7.jpg,,,
180,70.jpg,,,
181,71.jpg,,,
182,72.jpg,,,
183,73.jpg,,,
184,74.jpg,,,
185,75.jpg,,,
186,76.jpg,,,
187,77.jpg,,,
188,78.jpg,white,surprise,38.0
189,79.jpg,,,
190,8.jpg,,,
