,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,happy,32.0
3,100.jpg,white,neutral,33.0
4,101.jpg,latino hispanic,neutral,34.0
5,102.jpg,white,neutral,33.0
6,103.jpg,white,happy,39.0
7,104.jpg,white,fear,33.0
8,105.jpg,white,neutral,35.0
9,106.jpg,white,fear,36.0
10,107.jpg,latino hispanic,fear,35.0
11,108.jpg,white,sad,31.0
12,109.jpg,white,neutral,35.0
13,11.jpg,white,happy,32.0
14,110.jpg,white,neutral,37.0
15,111.jpg,latino hispanic,fear,34.0
16,112.jpg,latino hispanic,fear,33.0
17,113.jpg,latino hispanic,fear,33.0
18,114.jpg,white,fear,33.0
19,115.jpg,white,fear,33.0
20,116.jpg,white,neutral,34.0
21,117.jpg,white,neutral,33.0
22,118.jpg,white,happy,33.0
23,119.jpg,white,neutral,33.0
24,12.jpg,white,neutral,37.0
25,120.jpg,white,neutral,37.0
26,121.jpg,white,sad,35.0
27,122.jpg,white,neutral,42.0
28,123.jpg,white,fear,33.0
29,124.jpg,latino hispanic,fear,33.0
30,125.jpg,white,neutral,33.0
31,126.jpg,latino hispanic,fear,33.0
32,127.jpg,white,neutral,41.0
33,128.jpg,white,neutral,43.0
34,129.jpg,white,neutral,42.0
35,13.jpg,latino hispanic,fear,34.0
36,130.jpg,white,fear,34.0
37,131.jpg,latino hispanic,neutral,32.0
38,132.jpg,white,surprise,34.0
39,133.jpg,white,neutral,42.0
40,134.jpg,white,happy,36.0
41,135.jpg,white,neutral,33.0
42,136.jpg,white,neutral,27.0
43,137.jpg,white,neutral,36.0
44,138.jpg,white,happy,34.0
45,139.jpg,,,
46,14.jpg,white,fear,35.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,,,
52,145.jpg,,,
53,146.jpg,,,
54,147.jpg,,,
55,148.jpg,,,
56,149.jpg,,,
57,15.jpg,white,fear,35.0
58,16.jpg,white,fear,36.0
59,17.jpg,asian,fear,35.0
60,18.jpg,white,neutral,34.0
61,19.jpg,white,fear,34.0
62,2.jpg,,,
63,20.jpg,white,fear,35.0
64,21.jpg,white,sad,28.0
65,22.jpg,latino hispanic,fear,33.0
66,23.jpg,latino hispanic,fear,33.0
67,24.jpg,white,sad,38.0
68,25.jpg,white,neutral,40.0
69,26.jpg,latino hispanic,fear,33.0
70,27.jpg,latino hispanic,fear,34.0
71,28.jpg,latino hispanic,fear,33.0
72,29.jpg,latino hispanic,fear,35.0
73,3.jpg,,,
74,30.jpg,white,fear,34.0
75,31.jpg,white,neutral,40.0
76,32.jpg,white,fear,29.0
77,33.jpg,white,fear,34.0
78,34.jpg,,,
79,35.jpg,,,
80,36.jpg,,,
81,37.jpg,,,
82,38.jpg,,,
83,39.jpg,,,
84,4.jpg,,,
85,40.jpg,,,
86,41.jpg,,,
87,42.jpg,white,fear,33.0
88,43.jpg,white,fear,34.0
89,44.jpg,white,neutral,38.0
90,45.jpg,white,neutral,33.0
91,46.jpg,white,fear,35.0
92,47.jpg,latino hispanic,fear,34.0
93,48.jpg,latino hispanic,fear,32.0
94,49.jpg,white,angry,37.0
95,5.jpg,,,
96,50.jpg,,,
97,51.jpg,,,
98,52.jpg,,,
99,53.jpg,,,
100,54.jpg,,,
101,55.jpg,,,
102,56.jpg,,,
103,57.jpg,,,
104,58.jpg,,,
105,59.jpg,,,
106,6.jpg,,,
107,60.jpg,,,
108,61.jpg,,,
109,62.jpg,,,
110,63.jpg,white,fear,35.0
111,64.jpg,white,sad,29.0
112,65.jpg,white,neutral,35.0
113,66.jpg,white,neutral,34.0
114,67.jpg,white,fear,37.0
115,68.jpg,white,neutral,32.0
116,69.jpg,white,fear,31.0
117,7.jpg,white,happy,31.0
118,70.jpg,white,fear,34.0
119,71.jpg,white,fear,34.0
120,72.jpg,white,neutral,32.0
121,73.jpg,white,fear,33.0
122,74.jpg,white,neutral,34.0
123,75.jpg,,,
124,76.jpg,,,
125,77.jpg,,,
126,78.jpg,,,
127,79.jpg,,,
128,8.jpg,white,happy,31.0
129,80.jpg,,,
130,81.jpg,,,
131,82.jpg,,,
132,83.jpg,,,
133,84.jpg,,,
134,85.jpg,,,
135,86.jpg,,,
136,87.jpg,,,
137,88.jpg,,,
138,89.jpg,,,
139,9.jpg,white,happy,29.0
140,90.jpg,,,
141,91.jpg,,,
142,92.jpg,,,
143,93.jpg,,,
144,94.jpg,,,
145,95.jpg,white,happy,47.0
146,96.jpg,white,happy,45.0
147,97.jpg,latino hispanic,fear,34.0
148,98.jpg,white,fear,34.0
149,99.jpg,latino hispanic,fear,33.0
