,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,asian,fear,32.0
3,100.jpg,asian,neutral,31.0
4,101.jpg,asian,neutral,37.0
5,102.jpg,asian,sad,31.0
6,103.jpg,asian,neutral,31.0
7,104.jpg,asian,neutral,31.0
8,105.jpg,asian,fear,31.0
9,106.jpg,asian,neutral,31.0
10,107.jpg,asian,neutral,31.0
11,108.jpg,asian,neutral,31.0
12,109.jpg,middle eastern,angry,39.0
13,11.jpg,white,surprise,36.0
14,110.jpg,asian,fear,39.0
15,111.jpg,white,fear,24.0
16,112.jpg,asian,neutral,31.0
17,113.jpg,asian,neutral,31.0
18,114.jpg,white,fear,37.0
19,115.jpg,asian,happy,26.0
20,116.jpg,asian,fear,32.0
21,117.jpg,asian,fear,31.0
22,118.jpg,asian,neutral,31.0
23,119.jpg,asian,neutral,31.0
24,12.jpg,white,fear,27.0
25,120.jpg,white,fear,36.0
26,121.jpg,asian,sad,31.0
27,122.jpg,asian,fear,31.0
28,123.jpg,asian,neutral,32.0
29,124.jpg,asian,sad,31.0
30,125.jpg,white,happy,31.0
31,126.jpg,asian,happy,27.0
32,127.jpg,asian,neutral,31.0
33,128.jpg,white,happy,37.0
34,129.jpg,asian,sad,32.0
35,13.jpg,asian,sad,31.0
36,130.jpg,middle eastern,fear,39.0
37,131.jpg,white,surprise,38.0
38,132.jpg,,,
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,,,
42,136.jpg,,,
43,137.jpg,white,sad,23.0
44,138.jpg,white,sad,23.0
45,139.jpg,white,sad,23.0
46,14.jpg,asian,neutral,32.0
47,140.jpg,white,sad,24.0
48,141.jpg,white,neutral,24.0
49,142.jpg,white,neutral,24.0
50,143.jpg,white,sad,24.0
51,144.jpg,white,fear,24.0
52,145.jpg,white,sad,24.0
53,146.jpg,white,fear,24.0
54,147.jpg,white,fear,24.0
55,148.jpg,white,sad,24.0
56,149.jpg,white,sad,24.0
57,15.jpg,asian,neutral,31.0
58,150.jpg,asian,sad,31.0
59,151.jpg,white,happy,24.0
60,152.jpg,asian,sad,31.0
61,153.jpg,white,angry,36.0
62,154.jpg,asian,sad,31.0
63,155.jpg,asian,neutral,31.0
