,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,indian,neutral,24.0
3,100.jpg,indian,neutral,24.0
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,,,
7,104.jpg,,,
8,105.jpg,indian,happy,29.0
9,106.jpg,indian,happy,29.0
10,107.jpg,indian,fear,28.0
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,indian,neutral,24.0
14,110.jpg,,,
15,12.jpg,,,
16,13.jpg,,,
17,14.jpg,,,
18,15.jpg,,,
19,16.jpg,indian,neutral,25.0
20,17.jpg,indian,sad,25.0
21,18.jpg,indian,neutral,25.0
22,19.jpg,indian,neutral,25.0
23,2.jpg,,,
24,20.jpg,white,neutral,30.0
25,21.jpg,,,
26,22.jpg,,,
27,23.jpg,,,
28,24.jpg,,,
29,25.jpg,,,
30,26.jpg,,,
31,27.jpg,,,
32,28.jpg,,,
33,29.jpg,white,neutral,30.0
34,3.jpg,indian,neutral,24.0
35,30.jpg,white,sad,30.0
36,31.jpg,latino hispanic,angry,25.0
37,32.jpg,latino hispanic,neutral,28.0
38,33.jpg,indian,angry,26.0
39,34.jpg,indian,neutral,25.0
40,35.jpg,latino hispanic,fear,29.0
41,36.jpg,indian,neutral,25.0
42,37.jpg,latino hispanic,neutral,25.0
43,38.jpg,indian,angry,26.0
44,39.jpg,latino hispanic,angry,26.0
45,4.jpg,indian,neutral,24.0
46,40.jpg,latino hispanic,neutral,25.0
47,41.jpg,white,neutral,30.0
48,42.jpg,latino hispanic,neutral,24.0
49,43.jpg,indian,angry,26.0
50,44.jpg,white,neutral,29.0
51,45.jpg,latino hispanic,neutral,24.0
52,46.jpg,indian,angry,26.0
53,47.jpg,indian,angry,26.0
54,48.jpg,white,neutral,28.0
55,49.jpg,indian,surprise,25.0
56,5.jpg,indian,neutral,23.0
57,50.jpg,white,neutral,29.0
58,51.jpg,indian,neutral,24.0
59,52.jpg,latino hispanic,neutral,31.0
60,53.jpg,indian,neutral,25.0
61,54.jpg,indian,neutral,26.0
62,55.jpg,latino hispanic,fear,27.0
63,56.jpg,latino hispanic,neutral,29.0
64,57.jpg,latino hispanic,angry,26.0
65,58.jpg,latino hispanic,angry,26.0
66,59.jpg,indian,neutral,25.0
67,6.jpg,indian,neutral,23.0
68,60.jpg,white,neutral,29.0
69,61.jpg,latino hispanic,neutral,25.0
70,62.jpg,latino hispanic,fear,28.0
71,63.jpg,latino hispanic,neutral,30.0
72,64.jpg,indian,neutral,24.0
73,65.jpg,latino hispanic,fear,29.0
74,66.jpg,white,neutral,33.0
75,67.jpg,indian,neutral,26.0
76,68.jpg,indian,neutral,26.0
77,69.jpg,latino hispanic,neutral,30.0
78,7.jpg,indian,neutral,23.0
79,70.jpg,indian,neutral,25.0
80,71.jpg,latino hispanic,neutral,30.0
81,72.jpg,indian,neutral,24.0
82,73.jpg,indian,neutral,24.0
83,74.jpg,indian,neutral,25.0
84,75.jpg,latino hispanic,neutral,24.0
85,76.jpg,indian,neutral,25.0
86,77.jpg,indian,neutral,24.0
87,78.jpg,indian,neutral,25.0
88,79.jpg,latino hispanic,fear,29.0
89,8.jpg,indian,neutral,24.0
90,80.jpg,middle eastern,neutral,32.0
91,81.jpg,indian,angry,24.0
92,82.jpg,indian,neutral,25.0
93,83.jpg,latino hispanic,neutral,25.0
94,84.jpg,indian,angry,24.0
95,85.jpg,indian,neutral,24.0
96,86.jpg,latino hispanic,neutral,24.0
97,87.jpg,middle eastern,neutral,32.0
98,88.jpg,indian,angry,26.0
99,89.jpg,white,neutral,31.0
100,9.jpg,white,neutral,28.0
101,90.jpg,latino hispanic,neutral,24.0
102,91.jpg,indian,angry,25.0
103,92.jpg,indian,neutral,24.0
104,93.jpg,indian,neutral,24.0
105,94.jpg,indian,neutral,25.0
106,95.jpg,latino hispanic,neutral,24.0
107,96.jpg,latino hispanic,angry,23.0
108,97.jpg,indian,neutral,24.0
109,98.jpg,latino hispanic,neutral,24.0
110,99.jpg,indian,angry,26.0
