,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,latino hispanic,happy,30.0
2,10.jpg,white,neutral,37.0
3,100.jpg,white,fear,41.0
4,101.jpg,white,neutral,30.0
5,102.jpg,white,fear,41.0
6,103.jpg,latino hispanic,neutral,40.0
7,104.jpg,white,fear,38.0
8,105.jpg,latino hispanic,neutral,41.0
9,106.jpg,latino hispanic,sad,41.0
10,107.jpg,white,fear,47.0
11,108.jpg,latino hispanic,fear,46.0
12,109.jpg,white,angry,37.0
13,11.jpg,white,neutral,35.0
14,110.jpg,latino hispanic,sad,43.0
15,111.jpg,latino hispanic,sad,45.0
16,112.jpg,latino hispanic,sad,32.0
17,113.jpg,white,neutral,41.0
18,114.jpg,middle eastern,neutral,44.0
19,115.jpg,white,fear,43.0
20,116.jpg,white,neutral,44.0
21,117.jpg,latino hispanic,neutral,37.0
22,118.jpg,latino hispanic,angry,43.0
23,119.jpg,white,neutral,36.0
24,12.jpg,white,fear,40.0
25,120.jpg,white,neutral,35.0
26,121.jpg,white,neutral,43.0
27,122.jpg,asian,fear,44.0
28,123.jpg,white,sad,38.0
29,124.jpg,white,sad,46.0
30,125.jpg,white,surprise,37.0
31,126.jpg,white,neutral,35.0
32,127.jpg,white,fear,46.0
33,128.jpg,white,fear,40.0
34,129.jpg,middle eastern,fear,45.0
35,13.jpg,middle eastern,sad,33.0
36,130.jpg,white,neutral,43.0
37,131.jpg,white,neutral,37.0
38,132.jpg,white,neutral,29.0
39,133.jpg,white,neutral,36.0
40,134.jpg,latino hispanic,fear,38.0
41,135.jpg,white,neutral,30.0
42,136.jpg,latino hispanic,sad,32.0
43,137.jpg,white,fear,31.0
44,138.jpg,white,neutral,42.0
45,139.jpg,white,fear,34.0
46,14.jpg,latino hispanic,sad,37.0
47,140.jpg,white,neutral,38.0
48,141.jpg,white,surprise,39.0
49,142.jpg,white,sad,42.0
50,143.jpg,white,fear,46.0
51,144.jpg,white,neutral,40.0
52,145.jpg,white,fear,45.0
53,146.jpg,white,neutral,40.0
54,147.jpg,white,sad,33.0
55,148.jpg,latino hispanic,fear,44.0
56,149.jpg,white,neutral,45.0
57,15.jpg,latino hispanic,neutral,29.0
58,150.jpg,white,sad,34.0
59,151.jpg,white,sad,36.0
60,152.jpg,white,happy,32.0
61,153.jpg,,,
62,154.jpg,white,neutral,39.0
63,155.jpg,white,neutral,35.0
64,156.jpg,white,fear,38.0
65,157.jpg,white,neutral,33.0
66,158.jpg,latino hispanic,fear,36.0
67,159.jpg,,,
68,16.jpg,white,neutral,37.0
69,160.jpg,,,
70,161.jpg,,,
71,162.jpg,white,angry,41.0
72,163.jpg,white,fear,44.0
73,164.jpg,white,fear,36.0
