,frame,dominant_race,dominant_emotion,age
0,0.jpg,latino hispanic,neutral,29
1,1.jpg,white,neutral,29
2,10.jpg,white,sad,37
3,100.jpg,white,happy,32
4,101.jpg,white,neutral,30
5,102.jpg,white,fear,34
6,103.jpg,white,neutral,35
7,104.jpg,white,happy,31
8,105.jpg,asian,surprise,35
9,106.jpg,white,disgust,31
10,107.jpg,asian,fear,33
11,108.jpg,latino hispanic,neutral,31
12,109.jpg,asian,sad,33
13,11.jpg,white,sad,37
14,110.jpg,white,neutral,32
15,111.jpg,white,neutral,30
16,112.jpg,latino hispanic,happy,30
17,113.jpg,white,surprise,32
18,114.jpg,white,sad,34
19,115.jpg,latino hispanic,happy,34
20,116.jpg,white,neutral,29
21,12.jpg,white,fear,32
22,13.jpg,white,happy,29
23,14.jpg,white,angry,33
24,15.jpg,latino hispanic,happy,31
25,16.jpg,white,sad,35
26,17.jpg,white,neutral,32
27,18.jpg,latino hispanic,neutral,30
28,19.jpg,white,neutral,32
29,2.jpg,white,fear,33
30,20.jpg,white,neutral,32
31,21.jpg,white,happy,33
32,22.jpg,white,neutral,29
33,23.jpg,asian,fear,33
34,24.jpg,white,neutral,34
35,25.jpg,white,sad,36
36,26.jpg,white,happy,36
37,27.jpg,white,fear,33
38,28.jpg,white,happy,35
39,29.jpg,white,sad,34
40,3.jpg,white,happy,30
41,30.jpg,white,fear,33
42,31.jpg,white,neutral,34
43,32.jpg,white,sad,33
44,33.jpg,white,neutral,29
45,34.jpg,white,happy,33
46,35.jpg,asian,fear,35
47,36.jpg,white,happy,33
48,37.jpg,white,happy,36
49,38.jpg,asian,neutral,34
50,39.jpg,asian,fear,35
51,4.jpg,white,fear,37
52,40.jpg,asian,fear,34
53,41.jpg,white,neutral,26
54,42.jpg,white,neutral,30
55,43.jpg,white,neutral,30
56,44.jpg,white,fear,34
57,45.jpg,white,neutral,32
58,46.jpg,white,happy,34
59,47.jpg,white,neutral,30
60,48.jpg,asian,happy,32
61,49.jpg,asian,fear,35
62,5.jpg,white,happy,34
63,50.jpg,white,neutral,30
64,51.jpg,white,happy,35
65,52.jpg,asian,neutral,29
66,53.jpg,white,neutral,28
67,54.jpg,asian,fear,30
68,55.jpg,white,fear,33
69,56.jpg,white,sad,35
70,57.jpg,white,fear,34
71,58.jpg,white,sad,34
72,59.jpg,white,neutral,30
73,6.jpg,white,fear,31
74,60.jpg,white,happy,30
75,61.jpg,latino hispanic,neutral,29
76,62.jpg,white,sad,36
77,63.jpg,white,neutral,31
78,64.jpg,white,sad,36
79,65.jpg,white,neutral,28
80,66.jpg,white,happy,34
81,67.jpg,asian,surprise,34
82,68.jpg,white,happy,33
83,69.jpg,white,happy,29
84,7.jpg,white,happy,34
85,70.jpg,white,happy,34
86,71.jpg,latino hispanic,happy,33
87,72.jpg,white,neutral,33
88,73.jpg,white,fear,34
89,74.jpg,white,neutral,32
90,75.jpg,white,happy,33
91,76.jpg,white,neutral,31
92,77.jpg,white,happy,37
93,78.jpg,asian,fear,33
94,79.jpg,white,neutral,31
95,8.jpg,white,happy,34
96,80.jpg,white,sad,33
97,81.jpg,white,neutral,29
98,82.jpg,asian,sad,34
99,83.jpg,asian,fear,36
100,84.jpg,white,sad,34
101,85.jpg,white,neutral,30
102,86.jpg,white,happy,35
103,87.jpg,white,happy,31
104,88.jpg,white,fear,35
105,89.jpg,white,happy,34
106,9.jpg,white,happy,34
107,90.jpg,white,sad,30
108,91.jpg,white,neutral,33
109,92.jpg,white,neutral,27
110,93.jpg,asian,angry,29
111,94.jpg,asian,fear,35
112,95.jpg,white,happy,31
113,96.jpg,white,happy,35
114,97.jpg,latino hispanic,happy,32
115,98.jpg,white,neutral,33
116,99.jpg,white,fear,35
