,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,happy,24.0
1,1.jpg,,,
2,10.jpg,white,happy,33.0
3,100.jpg,white,neutral,31.0
4,101.jpg,white,fear,27.0
5,102.jpg,white,sad,27.0
6,103.jpg,white,sad,27.0
7,104.jpg,white,happy,37.0
8,105.jpg,white,neutral,32.0
9,106.jpg,white,surprise,21.0
10,107.jpg,white,neutral,23.0
11,108.jpg,middle eastern,neutral,32.0
12,109.jpg,white,neutral,24.0
13,11.jpg,,,
14,110.jpg,white,surprise,31.0
15,111.jpg,white,happy,27.0
16,112.jpg,white,neutral,30.0
17,113.jpg,middle eastern,angry,28.0
18,114.jpg,white,neutral,25.0
19,115.jpg,white,surprise,31.0
20,116.jpg,white,happy,31.0
21,117.jpg,middle eastern,neutral,32.0
22,118.jpg,white,neutral,32.0
23,119.jpg,middle eastern,neutral,28.0
24,12.jpg,,,
25,120.jpg,white,happy,32.0
26,121.jpg,white,neutral,31.0
27,122.jpg,latino hispanic,neutral,26.0
28,123.jpg,middle eastern,fear,31.0
29,124.jpg,,,
30,125.jpg,,,
31,126.jpg,white,fear,37.0
32,127.jpg,latino hispanic,surprise,32.0
33,128.jpg,white,angry,34.0
34,129.jpg,white,fear,34.0
35,13.jpg,,,
36,130.jpg,latino hispanic,surprise,32.0
37,131.jpg,middle eastern,neutral,34.0
38,132.jpg,,,
39,133.jpg,latino hispanic,neutral,29.0
40,134.jpg,white,fear,29.0
41,135.jpg,middle eastern,sad,31.0
42,136.jpg,white,happy,31.0
43,137.jpg,latino hispanic,fear,31.0
44,138.jpg,,,
45,139.jpg,,,
46,14.jpg,white,neutral,29.0
47,140.jpg,latino hispanic,neutral,31.0
48,141.jpg,middle eastern,neutral,31.0
49,142.jpg,white,sad,31.0
50,143.jpg,middle eastern,surprise,26.0
51,144.jpg,,,
52,145.jpg,middle eastern,neutral,27.0
53,146.jpg,middle eastern,angry,30.0
54,147.jpg,middle eastern,neutral,29.0
55,148.jpg,middle eastern,sad,25.0
56,149.jpg,white,happy,27.0
57,15.jpg,white,neutral,27.0
58,150.jpg,middle eastern,fear,24.0
59,151.jpg,middle eastern,neutral,29.0
60,152.jpg,middle eastern,happy,29.0
61,153.jpg,white,surprise,26.0
62,154.jpg,latino hispanic,happy,34.0
63,155.jpg,white,sad,27.0
64,156.jpg,latino hispanic,fear,35.0
65,157.jpg,middle eastern,neutral,31.0
66,158.jpg,middle eastern,neutral,28.0
67,159.jpg,white,sad,31.0
68,16.jpg,middle eastern,neutral,29.0
69,160.jpg,,,
70,161.jpg,,,
71,162.jpg,,,
72,163.jpg,,,
73,164.jpg,,,
74,165.jpg,,,
75,166.jpg,,,
76,167.jpg,white,happy,35.0
77,168.jpg,,,
78,169.jpg,,,
79,17.jpg,latino hispanic,sad,31.0
80,170.jpg,,,
81,171.jpg,,,
82,172.jpg,,,
83,173.jpg,,,
84,174.jpg,,,
85,175.jpg,,,
86,176.jpg,,,
87,177.jpg,,,
88,178.jpg,,,
89,179.jpg,,,
90,18.jpg,white,neutral,30.0
91,180.jpg,,,
92,181.jpg,,,
93,182.jpg,,,
94,183.jpg,,,
95,184.jpg,,,
