,frame,dominant_race,dominant_emotion,age
0,0.jpg,middle eastern,neutral,31.0
1,1.jpg,white,happy,37.0
2,10.jpg,,,
3,100.jpg,white,sad,31.0
4,101.jpg,middle eastern,neutral,35.0
5,102.jpg,middle eastern,neutral,31.0
6,103.jpg,middle eastern,neutral,33.0
7,104.jpg,middle eastern,sad,32.0
8,105.jpg,middle eastern,fear,34.0
9,106.jpg,,,
10,107.jpg,latino hispanic,neutral,29.0
11,108.jpg,latino hispanic,neutral,30.0
12,109.jpg,white,neutral,30.0
13,11.jpg,white,sad,24.0
14,110.jpg,white,neutral,30.0
15,111.jpg,white,neutral,33.0
16,112.jpg,middle eastern,fear,34.0
17,113.jpg,white,neutral,30.0
18,114.jpg,middle eastern,neutral,34.0
19,115.jpg,middle eastern,happy,32.0
20,116.jpg,middle eastern,neutral,30.0
21,117.jpg,white,neutral,31.0
22,118.jpg,middle eastern,neutral,33.0
23,119.jpg,white,neutral,33.0
24,12.jpg,,,
25,120.jpg,white,neutral,33.0
26,121.jpg,white,neutral,32.0
27,122.jpg,,,
28,123.jpg,,,
29,124.jpg,,,
30,125.jpg,,,
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,middle eastern,happy,31.0
36,130.jpg,,,
37,131.jpg,,,
38,132.jpg,,,
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,,,
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,,,
45,139.jpg,,,
46,14.jpg,middle eastern,neutral,27.0
47,140.jpg,latino hispanic,neutral,33.0
48,141.jpg,middle eastern,neutral,29.0
49,142.jpg,middle eastern,neutral,31.0
50,143.jpg,white,neutral,33.0
51,144.jpg,white,sad,37.0
52,145.jpg,middle eastern,neutral,37.0
53,146.jpg,middle eastern,neutral,33.0
54,147.jpg,middle eastern,neutral,34.0
55,148.jpg,middle eastern,neutral,35.0
56,149.jpg,middle eastern,angry,35.0
57,15.jpg,middle eastern,happy,31.0
58,150.jpg,middle eastern,sad,38.0
59,151.jpg,middle eastern,neutral,38.0
60,152.jpg,middle eastern,neutral,35.0
61,153.jpg,middle eastern,neutral,34.0
62,154.jpg,middle eastern,neutral,33.0
63,155.jpg,latino hispanic,neutral,38.0
64,156.jpg,latino hispanic,neutral,36.0
65,157.jpg,middle eastern,sad,35.0
66,158.jpg,middle eastern,sad,36.0
67,159.jpg,middle eastern,sad,35.0
68,16.jpg,middle eastern,neutral,27.0
69,160.jpg,,,
70,161.jpg,,,
71,162.jpg,,,
72,163.jpg,,,
73,164.jpg,,,
74,165.jpg,,,
75,166.jpg,,,
76,167.jpg,,,
77,168.jpg,,,
78,169.jpg,latino hispanic,neutral,28.0
79,17.jpg,latino hispanic,happy,30.0
80,170.jpg,middle eastern,happy,30.0
81,171.jpg,white,neutral,32.0
82,172.jpg,middle eastern,sad,30.0
83,173.jpg,white,sad,34.0
84,174.jpg,white,sad,27.0
85,175.jpg,latino hispanic,neutral,27.0
86,176.jpg,middle eastern,sad,28.0
87,177.jpg,,,
88,178.jpg,,,
89,179.jpg,,,
90,18.jpg,,,
91,180.jpg,,,
92,181.jpg,,,
93,182.jpg,,,
94,183.jpg,white,sad,40.0
95,184.jpg,white,fear,26.0
96,185.jpg,asian,happy,27.0
97,186.jpg,middle eastern,sad,32.0
98,187.jpg,middle eastern,sad,36.0
99,188.jpg,middle eastern,neutral,32.0
100,189.jpg,middle eastern,neutral,36.0
101,19.jpg,middle eastern,fear,31.0
102,190.jpg,asian,fear,27.0
103,191.jpg,middle eastern,sad,37.0
104,192.jpg,middle eastern,neutral,36.0
105,193.jpg,middle eastern,neutral,37.0
106,194.jpg,latino hispanic,sad,39.0
107,195.jpg,middle eastern,sad,41.0
108,196.jpg,white,sad,37.0
109,197.jpg,middle eastern,angry,37.0
110,198.jpg,white,neutral,39.0
111,199.jpg,white,sad,34.0
112,2.jpg,white,neutral,31.0
113,20.jpg,latino hispanic,neutral,28.0
114,200.jpg,white,sad,40.0
115,201.jpg,middle eastern,sad,41.0
116,202.jpg,middle eastern,sad,31.0
117,203.jpg,middle eastern,sad,35.0
118,204.jpg,middle eastern,sad,36.0
119,205.jpg,,,
120,206.jpg,middle eastern,sad,29.0
121,207.jpg,white,sad,33.0
122,208.jpg,latino hispanic,neutral,36.0
123,209.jpg,latino hispanic,neutral,34.0
124,21.jpg,latino hispanic,neutral,35.0
125,210.jpg,middle eastern,neutral,41.0
126,211.jpg,white,sad,28.0
127,212.jpg,,,
128,213.jpg,,,
129,214.jpg,,,
130,215.jpg,,,
131,216.jpg,,,
132,217.jpg,,,
133,218.jpg,latino hispanic,neutral,28.0
134,219.jpg,middle eastern,neutral,28.0
135,22.jpg,middle eastern,neutral,34.0
136,220.jpg,middle eastern,fear,30.0
137,221.jpg,latino hispanic,fear,33.0
138,222.jpg,middle eastern,happy,29.0
139,223.jpg,,,
140,224.jpg,,,
141,225.jpg,white,fear,36.0
142,226.jpg,latino hispanic,fear,37.0
143,227.jpg,middle eastern,neutral,34.0
144,228.jpg,middle eastern,sad,37.0
145,229.jpg,middle eastern,angry,36.0
146,23.jpg,middle eastern,neutral,32.0
147,230.jpg,middle eastern,neutral,31.0
148,231.jpg,middle eastern,neutral,29.0
149,232.jpg,middle eastern,sad,41.0
150,233.jpg,middle eastern,neutral,44.0
151,234.jpg,latino hispanic,sad,40.0
152,235.jpg,middle eastern,neutral,28.0
153,236.jpg,,,
154,237.jpg,,,
155,238.jpg,middle eastern,neutral,28.0
156,239.jpg,white,sad,37.0
157,24.jpg,middle eastern,neutral,34.0
158,240.jpg,white,sad,38.0
159,241.jpg,,,
160,242.jpg,,,
