,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,sad,45.0
3,100.jpg,white,sad,42.0
4,101.jpg,white,angry,42.0
5,102.jpg,white,sad,43.0
6,103.jpg,white,angry,45.0
7,104.jpg,white,angry,42.0
8,105.jpg,white,sad,39.0
9,106.jpg,asian,angry,22.0
10,107.jpg,white,sad,42.0
11,108.jpg,white,angry,39.0
12,109.jpg,white,sad,44.0
13,11.jpg,white,angry,44.0
14,110.jpg,white,sad,43.0
15,111.jpg,white,sad,44.0
16,112.jpg,white,sad,39.0
17,113.jpg,white,angry,44.0
18,12.jpg,white,sad,43.0
19,13.jpg,white,angry,42.0
20,14.jpg,white,sad,42.0
21,15.jpg,white,sad,39.0
22,16.jpg,white,angry,44.0
23,17.jpg,white,sad,42.0
24,18.jpg,white,angry,42.0
25,19.jpg,white,neutral,44.0
26,2.jpg,,,
27,20.jpg,white,sad,41.0
28,21.jpg,white,sad,45.0
29,22.jpg,white,angry,40.0
30,23.jpg,white,happy,44.0
31,24.jpg,white,neutral,44.0
32,25.jpg,white,neutral,44.0
33,26.jpg,white,sad,42.0
34,27.jpg,white,angry,43.0
35,28.jpg,white,sad,43.0
36,29.jpg,white,sad,39.0
37,3.jpg,,,
38,30.jpg,white,sad,42.0
39,31.jpg,white,sad,42.0
40,32.jpg,white,angry,40.0
41,33.jpg,white,sad,41.0
42,34.jpg,white,happy,48.0
43,35.jpg,white,angry,42.0
44,36.jpg,white,neutral,44.0
45,37.jpg,white,sad,42.0
46,38.jpg,white,angry,44.0
47,39.jpg,white,angry,44.0
48,4.jpg,white,neutral,42.0
49,40.jpg,white,sad,41.0
50,41.jpg,white,neutral,42.0
51,42.jpg,white,angry,39.0
52,43.jpg,white,neutral,45.0
53,44.jpg,white,sad,42.0
54,45.jpg,white,sad,42.0
55,46.jpg,white,angry,41.0
56,47.jpg,white,sad,44.0
57,48.jpg,white,angry,42.0
58,49.jpg,white,angry,41.0
59,5.jpg,white,angry,44.0
60,50.jpg,latino hispanic,angry,52.0
61,51.jpg,white,fear,48.0
62,52.jpg,white,neutral,44.0
63,53.jpg,latino hispanic,sad,51.0
64,54.jpg,white,disgust,44.0
65,55.jpg,white,neutral,56.0
66,56.jpg,latino hispanic,neutral,49.0
67,57.jpg,white,fear,53.0
68,58.jpg,white,neutral,52.0
69,59.jpg,latino hispanic,fear,50.0
70,6.jpg,white,sad,39.0
71,60.jpg,latino hispanic,fear,46.0
72,61.jpg,white,disgust,46.0
73,62.jpg,white,fear,45.0
74,63.jpg,latino hispanic,neutral,51.0
75,64.jpg,white,angry,49.0
76,65.jpg,white,sad,43.0
77,66.jpg,white,disgust,43.0
78,67.jpg,white,sad,43.0
79,68.jpg,white,angry,45.0
80,69.jpg,white,angry,44.0
81,7.jpg,white,angry,41.0
82,70.jpg,white,angry,43.0
83,71.jpg,white,sad,42.0
84,72.jpg,white,angry,45.0
85,73.jpg,white,angry,42.0
86,74.jpg,white,fear,32.0
87,75.jpg,white,angry,42.0
88,76.jpg,white,sad,44.0
89,77.jpg,white,neutral,45.0
90,78.jpg,white,sad,43.0
91,79.jpg,white,sad,44.0
92,8.jpg,white,sad,42.0
93,80.jpg,white,neutral,43.0
94,81.jpg,white,sad,42.0
95,82.jpg,white,angry,43.0
96,83.jpg,white,angry,43.0
97,84.jpg,white,sad,42.0
98,85.jpg,white,sad,39.0
99,86.jpg,white,fear,42.0
100,87.jpg,white,neutral,45.0
101,88.jpg,white,sad,43.0
102,89.jpg,white,sad,49.0
103,9.jpg,white,sad,42.0
104,90.jpg,white,angry,45.0
105,91.jpg,white,sad,32.0
106,92.jpg,white,sad,40.0
107,93.jpg,white,angry,45.0
108,94.jpg,white,happy,34.0
109,95.jpg,white,angry,43.0
110,96.jpg,white,angry,44.0
111,97.jpg,white,fear,44.0
112,98.jpg,white,sad,45.0
113,99.jpg,white,sad,44.0
