,frame,dominant_race,dominant_emotion,age
0,0.jpg,latino hispanic,neutral,31.0
1,1.jpg,latino hispanic,neutral,24.0
2,10.jpg,latino hispanic,sad,32.0
3,100.jpg,,,
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,,,
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,,,
10,107.jpg,,,
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,asian,neutral,34.0
14,110.jpg,,,
15,111.jpg,,,
16,112.jpg,,,
17,113.jpg,,,
18,114.jpg,,,
19,115.jpg,,,
20,116.jpg,,,
21,117.jpg,,,
22,118.jpg,,,
23,119.jpg,,,
24,12.jpg,indian,neutral,39.0
25,120.jpg,,,
26,121.jpg,,,
27,122.jpg,,,
28,123.jpg,,,
29,124.jpg,,,
30,125.jpg,,,
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,,,
35,13.jpg,asian,neutral,25.0
36,130.jpg,,,
37,131.jpg,,,
38,132.jpg,,,
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,indian,neutral,26.0
42,136.jpg,latino hispanic,neutral,29.0
43,137.jpg,latino hispanic,neutral,38.0
44,138.jpg,asian,angry,30.0
45,139.jpg,asian,neutral,26.0
46,14.jpg,asian,neutral,29.0
47,140.jpg,latino hispanic,neutral,24.0
48,141.jpg,latino hispanic,neutral,35.0
49,142.jpg,latino hispanic,neutral,28.0
50,143.jpg,indian,neutral,28.0
51,144.jpg,latino hispanic,sad,24.0
52,145.jpg,indian,neutral,28.0
53,146.jpg,latino hispanic,neutral,31.0
54,147.jpg,latino hispanic,neutral,31.0
55,148.jpg,latino hispanic,neutral,24.0
56,149.jpg,latino hispanic,neutral,30.0
57,15.jpg,indian,neutral,32.0
58,150.jpg,latino hispanic,neutral,33.0
59,151.jpg,latino hispanic,sad,32.0
60,152.jpg,latino hispanic,sad,27.0
61,153.jpg,latino hispanic,sad,28.0
62,154.jpg,latino hispanic,fear,34.0
63,155.jpg,latino hispanic,sad,24.0
64,156.jpg,asian,neutral,31.0
65,157.jpg,asian,sad,27.0
66,158.jpg,asian,neutral,29.0
67,159.jpg,latino hispanic,sad,26.0
68,16.jpg,asian,sad,30.0
69,160.jpg,latino hispanic,sad,25.0
70,161.jpg,asian,neutral,33.0
71,162.jpg,asian,neutral,29.0
72,163.jpg,latino hispanic,neutral,27.0
73,164.jpg,,,
74,165.jpg,,,
75,166.jpg,,,
76,167.jpg,,,
77,17.jpg,latino hispanic,neutral,28.0
78,18.jpg,latino hispanic,fear,28.0
79,19.jpg,latino hispanic,neutral,32.0
80,2.jpg,indian,neutral,30.0
81,20.jpg,indian,neutral,30.0
82,21.jpg,latino hispanic,neutral,29.0
83,22.jpg,latino hispanic,sad,31.0
84,23.jpg,indian,neutral,36.0
85,24.jpg,asian,neutral,29.0
86,25.jpg,asian,neutral,30.0
87,26.jpg,indian,neutral,27.0
88,27.jpg,indian,neutral,34.0
89,28.jpg,asian,neutral,34.0
90,29.jpg,latino hispanic,neutral,27.0
91,3.jpg,asian,sad,28.0
92,30.jpg,latino hispanic,neutral,29.0
93,31.jpg,latino hispanic,neutral,28.0
94,32.jpg,,,
95,33.jpg,,,
96,34.jpg,,,
97,35.jpg,,,
98,36.jpg,,,
99,37.jpg,,,
100,38.jpg,,,
101,39.jpg,,,
102,4.jpg,indian,neutral,28.0
103,40.jpg,,,
104,41.jpg,,,
105,42.jpg,,,
106,43.jpg,,,
107,44.jpg,,,
108,45.jpg,,,
109,46.jpg,,,
110,47.jpg,,,
111,48.jpg,,,
112,49.jpg,,,
113,5.jpg,asian,sad,27.0
114,50.jpg,,,
115,51.jpg,,,
116,52.jpg,,,
117,53.jpg,,,
118,54.jpg,,,
119,55.jpg,,,
120,56.jpg,,,
121,57.jpg,,,
122,58.jpg,,,
123,59.jpg,,,
124,6.jpg,latino hispanic,sad,31.0
125,60.jpg,,,
126,61.jpg,asian,sad,30.0
127,62.jpg,,,
128,63.jpg,,,
129,64.jpg,,,
130,65.jpg,,,
131,66.jpg,,,
132,67.jpg,,,
133,68.jpg,,,
134,69.jpg,,,
135,7.jpg,asian,sad,32.0
136,70.jpg,,,
137,71.jpg,,,
138,72.jpg,,,
139,73.jpg,,,
140,74.jpg,,,
141,75.jpg,,,
142,76.jpg,,,
143,77.jpg,,,
144,78.jpg,,,
145,79.jpg,,,
146,8.jpg,latino hispanic,neutral,27.0
147,80.jpg,,,
148,81.jpg,,,
149,82.jpg,,,
150,83.jpg,,,
151,84.jpg,,,
152,85.jpg,,,
153,86.jpg,,,
154,87.jpg,,,
155,88.jpg,,,
156,89.jpg,,,
157,9.jpg,asian,neutral,31.0
158,90.jpg,,,
159,91.jpg,,,
160,92.jpg,,,
161,93.jpg,,,
162,94.jpg,,,
163,95.jpg,,,
164,96.jpg,,,
165,97.jpg,,,
166,98.jpg,,,
167,99.jpg,,,
