,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,fear,39.0
3,11.jpg,white,fear,39.0
4,12.jpg,white,fear,39.0
5,13.jpg,asian,fear,39.0
6,14.jpg,white,neutral,39.0
7,15.jpg,white,neutral,37.0
8,16.jpg,white,fear,39.0
9,17.jpg,white,fear,34.0
10,18.jpg,white,neutral,39.0
11,19.jpg,asian,neutral,39.0
12,2.jpg,,,
13,20.jpg,white,fear,39.0
14,21.jpg,white,neutral,36.0
15,22.jpg,white,neutral,34.0
16,23.jpg,asian,neutral,39.0
17,24.jpg,white,neutral,37.0
18,25.jpg,white,fear,33.0
19,26.jpg,white,fear,37.0
20,27.jpg,white,neutral,31.0
21,28.jpg,white,neutral,39.0
22,29.jpg,white,surprise,40.0
23,3.jpg,white,fear,39.0
24,30.jpg,asian,fear,39.0
25,31.jpg,white,neutral,39.0
26,32.jpg,asian,fear,36.0
27,33.jpg,white,fear,37.0
28,34.jpg,white,sad,39.0
29,35.jpg,white,fear,39.0
30,36.jpg,white,fear,38.0
31,37.jpg,asian,neutral,39.0
32,38.jpg,white,fear,39.0
33,39.jpg,asian,fear,37.0
34,4.jpg,white,neutral,37.0
35,40.jpg,latino hispanic,neutral,37.0
36,41.jpg,white,sad,38.0
37,42.jpg,white,fear,33.0
38,43.jpg,white,neutral,35.0
39,44.jpg,white,sad,40.0
40,45.jpg,white,neutral,36.0
41,46.jpg,white,neutral,36.0
42,47.jpg,white,neutral,36.0
43,48.jpg,white,fear,39.0
44,49.jpg,white,neutral,37.0
45,5.jpg,white,sad,45.0
46,50.jpg,white,sad,36.0
47,51.jpg,white,neutral,31.0
48,52.jpg,white,neutral,38.0
49,53.jpg,asian,fear,39.0
50,54.jpg,white,fear,37.0
51,55.jpg,asian,fear,39.0
52,56.jpg,asian,neutral,39.0
53,57.jpg,white,neutral,37.0
54,58.jpg,white,fear,38.0
55,59.jpg,white,fear,37.0
56,6.jpg,white,neutral,39.0
57,60.jpg,asian,sad,38.0
58,61.jpg,white,fear,37.0
59,62.jpg,white,fear,34.0
60,63.jpg,white,fear,34.0
61,64.jpg,asian,fear,39.0
62,65.jpg,white,sad,39.0
63,66.jpg,white,fear,39.0
64,67.jpg,white,neutral,39.0
65,68.jpg,white,sad,37.0
66,69.jpg,white,fear,39.0
67,7.jpg,white,neutral,38.0
68,70.jpg,asian,fear,39.0
69,71.jpg,asian,neutral,39.0
70,72.jpg,asian,sad,39.0
71,73.jpg,asian,neutral,39.0
72,74.jpg,white,sad,41.0
73,75.jpg,asian,neutral,39.0
74,76.jpg,white,neutral,39.0
75,77.jpg,white,neutral,34.0
76,78.jpg,white,neutral,39.0
77,79.jpg,asian,neutral,41.0
78,8.jpg,white,neutral,38.0
79,80.jpg,white,fear,37.0
80,81.jpg,asian,neutral,39.0
81,82.jpg,white,fear,38.0
82,83.jpg,white,neutral,39.0
83,84.jpg,white,fear,38.0
84,9.jpg,white,neutral,38.0
