,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,sad,34.0
1,1.jpg,white,fear,33.0
2,10.jpg,,,
3,11.jpg,white,fear,28.0
4,12.jpg,white,fear,28.0
5,13.jpg,white,neutral,31.0
6,14.jpg,white,neutral,39.0
7,15.jpg,,,
8,16.jpg,,,
9,17.jpg,white,neutral,24.0
10,18.jpg,white,angry,28.0
11,19.jpg,white,sad,39.0
12,2.jpg,,,
13,20.jpg,white,neutral,33.0
14,21.jpg,white,fear,26.0
15,22.jpg,white,fear,27.0
16,23.jpg,white,fear,33.0
17,24.jpg,white,neutral,24.0
18,25.jpg,white,neutral,24.0
19,26.jpg,white,neutral,26.0
20,27.jpg,white,surprise,26.0
21,28.jpg,white,fear,27.0
22,29.jpg,middle eastern,angry,30.0
23,3.jpg,white,fear,26.0
24,30.jpg,white,neutral,38.0
25,31.jpg,,,
26,32.jpg,white,happy,28.0
27,33.jpg,white,happy,25.0
28,34.jpg,,,
29,35.jpg,,,
30,36.jpg,white,surprise,32.0
31,37.jpg,white,angry,28.0
32,38.jpg,,,
33,39.jpg,white,fear,29.0
34,4.jpg,white,neutral,34.0
35,40.jpg,,,
36,41.jpg,white,neutral,29.0
37,42.jpg,white,fear,25.0
38,43.jpg,white,fear,28.0
39,44.jpg,white,neutral,24.0
40,45.jpg,white,neutral,24.0
41,46.jpg,white,surprise,29.0
42,47.jpg,white,happy,27.0
43,48.jpg,white,surprise,26.0
44,49.jpg,,,
45,5.jpg,,,
46,50.jpg,asian,fear,36.0
47,51.jpg,white,neutral,36.0
48,52.jpg,white,surprise,35.0
49,53.jpg,white,neutral,32.0
50,54.jpg,white,neutral,27.0
51,55.jpg,,,
52,56.jpg,white,neutral,30.0
53,57.jpg,white,fear,32.0
54,58.jpg,white,neutral,34.0
55,59.jpg,white,neutral,38.0
56,6.jpg,,,
57,60.jpg,white,fear,32.0
58,61.jpg,white,neutral,38.0
59,62.jpg,white,fear,29.0
60,63.jpg,asian,surprise,35.0
61,64.jpg,white,fear,36.0
62,65.jpg,white,fear,34.0
63,7.jpg,,,
64,8.jpg,white,angry,27.0
65,9.jpg,white,surprise,30.0
