,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,neutral,28.0
1,1.jpg,white,neutral,28.0
2,10.jpg,asian,neutral,31.0
3,100.jpg,white,fear,27.0
4,101.jpg,,,
5,102.jpg,white,sad,30.0
6,103.jpg,,,
7,104.jpg,white,happy,31.0
8,105.jpg,white,neutral,33.0
9,106.jpg,white,fear,31.0
10,107.jpg,,,
11,108.jpg,white,happy,31.0
12,109.jpg,,,
13,11.jpg,white,sad,31.0
14,110.jpg,white,happy,33.0
15,111.jpg,white,happy,27.0
16,112.jpg,white,happy,32.0
17,113.jpg,white,neutral,31.0
18,114.jpg,white,neutral,30.0
19,115.jpg,,,
20,116.jpg,white,happy,28.0
21,117.jpg,,,
22,118.jpg,asian,fear,29.0
23,119.jpg,,,
24,12.jpg,white,angry,31.0
25,120.jpg,,,
26,121.jpg,white,angry,27.0
27,122.jpg,white,neutral,37.0
28,123.jpg,white,surprise,27.0
29,124.jpg,black,neutral,28.0
30,125.jpg,,,
31,126.jpg,asian,sad,28.0
32,127.jpg,white,neutral,27.0
33,128.jpg,,,
34,129.jpg,white,angry,27.0
35,13.jpg,white,angry,30.0
36,130.jpg,,,
37,131.jpg,white,neutral,29.0
38,132.jpg,white,neutral,29.0
39,133.jpg,white,angry,32.0
40,134.jpg,white,neutral,29.0
41,135.jpg,asian,sad,30.0
42,136.jpg,asian,fear,29.0
43,137.jpg,asian,neutral,24.0
44,138.jpg,white,neutral,28.0
45,139.jpg,white,neutral,25.0
46,14.jpg,white,sad,29.0
47,140.jpg,white,fear,30.0
48,141.jpg,asian,neutral,27.0
49,142.jpg,white,neutral,29.0
50,143.jpg,white,sad,29.0
51,144.jpg,,,
52,145.jpg,white,fear,36.0
53,146.jpg,asian,sad,29.0
54,147.jpg,white,sad,32.0
55,148.jpg,white,happy,31.0
56,149.jpg,white,sad,28.0
57,15.jpg,white,angry,30.0
58,150.jpg,,,
59,151.jpg,white,angry,32.0
60,152.jpg,white,neutral,26.0
61,153.jpg,white,fear,32.0
62,154.jpg,,,
63,155.jpg,white,angry,32.0
64,156.jpg,white,happy,32.0
65,157.jpg,,,
66,158.jpg,white,neutral,29.0
67,159.jpg,white,angry,32.0
68,16.jpg,white,angry,25.0
69,160.jpg,white,fear,27.0
70,161.jpg,white,sad,27.0
71,162.jpg,asian,sad,28.0
72,163.jpg,white,neutral,26.0
73,164.jpg,,,
74,165.jpg,white,sad,30.0
75,166.jpg,asian,sad,28.0
76,167.jpg,,,
77,168.jpg,white,fear,26.0
78,169.jpg,,,
79,17.jpg,asian,neutral,29.0
80,170.jpg,white,neutral,25.0
81,171.jpg,white,angry,31.0
82,172.jpg,,,
83,173.jpg,white,angry,32.0
84,174.jpg,white,fear,27.0
85,175.jpg,,,
86,176.jpg,white,neutral,28.0
87,177.jpg,white,neutral,26.0
88,178.jpg,white,angry,33.0
89,179.jpg,white,sad,31.0
90,18.jpg,asian,neutral,30.0
91,180.jpg,white,angry,28.0
92,181.jpg,white,sad,31.0
93,182.jpg,white,fear,28.0
94,183.jpg,,,
95,184.jpg,white,fear,29.0
96,185.jpg,white,neutral,30.0
