,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,neutral,29.0
3,100.jpg,,,
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,white,happy,26.0
7,104.jpg,white,neutral,27.0
8,105.jpg,white,happy,27.0
9,106.jpg,white,happy,25.0
10,107.jpg,white,neutral,28.0
11,108.jpg,white,happy,26.0
12,109.jpg,white,sad,26.0
13,11.jpg,white,happy,27.0
14,110.jpg,white,happy,28.0
15,111.jpg,white,neutral,28.0
16,112.jpg,white,fear,33.0
17,113.jpg,white,happy,31.0
18,114.jpg,white,happy,31.0
19,115.jpg,white,happy,31.0
20,116.jpg,white,happy,32.0
21,117.jpg,white,happy,30.0
22,118.jpg,white,happy,27.0
23,119.jpg,,,
24,12.jpg,white,neutral,26.0
25,120.jpg,white,neutral,26.0
26,121.jpg,white,happy,26.0
27,122.jpg,,,
28,123.jpg,white,neutral,27.0
29,124.jpg,,,
30,125.jpg,white,fear,29.0
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,white,angry,28.0
35,13.jpg,white,neutral,27.0
36,130.jpg,white,neutral,28.0
37,131.jpg,latino hispanic,neutral,27.0
38,132.jpg,white,neutral,29.0
39,133.jpg,white,neutral,27.0
40,134.jpg,white,neutral,28.0
41,135.jpg,white,happy,29.0
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,,,
45,139.jpg,,,
46,14.jpg,white,happy,29.0
47,140.jpg,,,
48,141.jpg,,,
49,15.jpg,white,angry,26.0
50,16.jpg,white,surprise,27.0
51,17.jpg,white,happy,27.0
52,18.jpg,white,happy,31.0
53,19.jpg,white,happy,27.0
54,2.jpg,,,
55,20.jpg,,,
56,21.jpg,white,neutral,26.0
57,22.jpg,white,neutral,29.0
58,23.jpg,white,happy,27.0
59,24.jpg,white,happy,26.0
60,25.jpg,white,happy,27.0
61,26.jpg,white,angry,27.0
62,27.jpg,white,neutral,26.0
63,28.jpg,white,neutral,25.0
64,29.jpg,white,happy,25.0
65,3.jpg,,,
66,30.jpg,,,
67,31.jpg,,,
68,32.jpg,,,
69,33.jpg,latino hispanic,sad,30.0
70,34.jpg,white,neutral,27.0
71,35.jpg,white,sad,30.0
72,36.jpg,white,sad,25.0
73,37.jpg,white,neutral,26.0
74,38.jpg,white,happy,30.0
75,39.jpg,white,happy,26.0
76,4.jpg,,,
77,40.jpg,white,sad,28.0
78,41.jpg,white,happy,27.0
79,42.jpg,white,sad,29.0
80,43.jpg,white,happy,30.0
81,44.jpg,white,surprise,29.0
82,45.jpg,white,happy,28.0
83,46.jpg,,,
84,47.jpg,white,fear,28.0
85,48.jpg,white,neutral,31.0
86,49.jpg,white,neutral,23.0
87,5.jpg,,,
88,50.jpg,white,happy,28.0
89,51.jpg,,,
90,52.jpg,,,
91,53.jpg,,,
92,54.jpg,,,
93,55.jpg,white,neutral,32.0
94,56.jpg,white,happy,25.0
95,57.jpg,,,
96,58.jpg,white,neutral,27.0
97,59.jpg,,,
98,6.jpg,,,
99,60.jpg,white,neutral,26.0
100,61.jpg,white,happy,26.0
101,62.jpg,white,happy,27.0
102,63.jpg,,,
103,64.jpg,,,
104,65.jpg,,,
105,66.jpg,white,neutral,26.0
106,67.jpg,white,neutral,26.0
107,68.jpg,white,neutral,28.0
108,69.jpg,white,neutral,26.0
109,7.jpg,white,neutral,31.0
110,70.jpg,white,sad,29.0
111,71.jpg,white,neutral,30.0
112,72.jpg,white,fear,31.0
113,73.jpg,white,happy,30.0
114,74.jpg,white,fear,30.0
115,75.jpg,white,happy,27.0
116,76.jpg,white,happy,29.0
117,77.jpg,white,happy,25.0
118,78.jpg,white,happy,29.0
119,79.jpg,white,happy,30.0
120,8.jpg,white,neutral,27.0
121,80.jpg,white,neutral,28.0
122,81.jpg,white,neutral,29.0
123,82.jpg,white,neutral,27.0
124,83.jpg,white,neutral,29.0
125,84.jpg,white,fear,36.0
126,85.jpg,white,neutral,27.0
127,86.jpg,white,neutral,25.0
128,87.jpg,white,sad,25.0
129,88.jpg,white,neutral,28.0
130,89.jpg,white,fear,29.0
131,9.jpg,white,sad,27.0
132,90.jpg,white,neutral,29.0
133,91.jpg,white,happy,28.0
134,92.jpg,white,neutral,29.0
135,93.jpg,white,neutral,37.0
136,94.jpg,white,happy,28.0
137,95.jpg,white,happy,25.0
138,96.jpg,white,neutral,26.0
139,97.jpg,white,neutral,24.0
140,98.jpg,white,happy,28.0
141,99.jpg,white,neutral,28.0
