,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,latino hispanic,neutral,26.0
2,10.jpg,latino hispanic,happy,27.0
3,11.jpg,middle eastern,neutral,30.0
4,12.jpg,latino hispanic,neutral,27.0
5,13.jpg,white,angry,25.0
6,14.jpg,latino hispanic,neutral,25.0
7,15.jpg,latino hispanic,neutral,25.0
8,16.jpg,latino hispanic,neutral,25.0
9,17.jpg,middle eastern,happy,28.0
10,18.jpg,middle eastern,happy,31.0
11,19.jpg,latino hispanic,neutral,26.0
12,2.jpg,latino hispanic,neutral,27.0
13,20.jpg,latino hispanic,neutral,28.0
14,21.jpg,latino hispanic,neutral,25.0
15,22.jpg,latino hispanic,neutral,25.0
16,23.jpg,latino hispanic,neutral,24.0
17,24.jpg,white,neutral,26.0
18,25.jpg,latino hispanic,surprise,29.0
19,26.jpg,latino hispanic,neutral,25.0
20,27.jpg,latino hispanic,neutral,31.0
21,28.jpg,latino hispanic,neutral,26.0
22,29.jpg,latino hispanic,neutral,24.0
23,3.jpg,white,neutral,30.0
24,30.jpg,latino hispanic,neutral,26.0
25,31.jpg,middle eastern,neutral,32.0
26,32.jpg,middle eastern,neutral,27.0
27,33.jpg,latino hispanic,neutral,26.0
28,34.jpg,latino hispanic,neutral,28.0
29,35.jpg,latino hispanic,neutral,27.0
30,36.jpg,latino hispanic,neutral,26.0
31,37.jpg,latino hispanic,neutral,26.0
32,38.jpg,latino hispanic,neutral,27.0
33,39.jpg,latino hispanic,neutral,27.0
34,4.jpg,latino hispanic,neutral,30.0
35,40.jpg,latino hispanic,neutral,29.0
36,41.jpg,latino hispanic,neutral,29.0
37,42.jpg,latino hispanic,neutral,26.0
38,43.jpg,latino hispanic,neutral,26.0
39,44.jpg,latino hispanic,neutral,26.0
40,45.jpg,latino hispanic,happy,29.0
41,46.jpg,white,fear,23.0
42,47.jpg,white,sad,25.0
43,48.jpg,middle eastern,fear,30.0
44,49.jpg,latino hispanic,neutral,27.0
45,5.jpg,latino hispanic,neutral,26.0
46,50.jpg,,,
47,51.jpg,,,
48,52.jpg,,,
49,53.jpg,,,
50,54.jpg,,,
51,55.jpg,latino hispanic,neutral,33.0
52,56.jpg,latino hispanic,neutral,25.0
53,57.jpg,latino hispanic,neutral,24.0
54,58.jpg,latino hispanic,neutral,29.0
55,59.jpg,latino hispanic,neutral,27.0
56,6.jpg,latino hispanic,neutral,28.0
57,60.jpg,middle eastern,surprise,30.0
58,61.jpg,latino hispanic,neutral,28.0
59,62.jpg,latino hispanic,neutral,30.0
60,63.jpg,middle eastern,neutral,30.0
61,64.jpg,middle eastern,fear,30.0
62,65.jpg,latino hispanic,neutral,26.0
63,66.jpg,latino hispanic,neutral,26.0
64,67.jpg,latino hispanic,neutral,28.0
65,68.jpg,latino hispanic,neutral,30.0
66,69.jpg,latino hispanic,surprise,25.0
67,7.jpg,latino hispanic,neutral,27.0
68,70.jpg,latino hispanic,neutral,25.0
69,71.jpg,latino hispanic,neutral,27.0
70,72.jpg,latino hispanic,neutral,26.0
71,73.jpg,latino hispanic,neutral,26.0
72,74.jpg,latino hispanic,neutral,27.0
73,75.jpg,latino hispanic,neutral,28.0
74,76.jpg,latino hispanic,neutral,28.0
75,77.jpg,,,
76,78.jpg,,,
77,79.jpg,,,
78,8.jpg,latino hispanic,neutral,27.0
79,80.jpg,,,
80,81.jpg,,,
81,82.jpg,,,
82,9.jpg,white,happy,25.0
