,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,sad,26.0
1,1.jpg,white,angry,27.0
2,10.jpg,white,neutral,33.0
3,100.jpg,middle eastern,sad,36.0
4,101.jpg,white,fear,29.0
5,102.jpg,,,
6,103.jpg,,,
7,104.jpg,,,
8,105.jpg,,,
9,106.jpg,white,angry,30.0
10,107.jpg,white,angry,24.0
11,108.jpg,,,
12,109.jpg,,,
13,11.jpg,white,angry,32.0
14,110.jpg,,,
15,111.jpg,,,
16,112.jpg,,,
17,113.jpg,,,
18,114.jpg,white,fear,32.0
19,115.jpg,latino hispanic,neutral,34.0
20,116.jpg,middle eastern,neutral,36.0
21,117.jpg,,,
22,118.jpg,,,
23,119.jpg,,,
24,12.jpg,white,angry,30.0
25,120.jpg,,,
26,121.jpg,,,
27,122.jpg,white,neutral,42.0
28,123.jpg,white,angry,24.0
29,124.jpg,asian,fear,36.0
30,125.jpg,,,
31,126.jpg,,,
32,127.jpg,,,
33,128.jpg,,,
34,129.jpg,white,angry,30.0
35,13.jpg,white,angry,28.0
36,130.jpg,white,fear,25.0
37,131.jpg,white,angry,29.0
38,132.jpg,,,
39,133.jpg,,,
40,134.jpg,,,
41,135.jpg,,,
42,136.jpg,,,
43,137.jpg,,,
44,138.jpg,,,
45,139.jpg,,,
46,14.jpg,white,angry,27.0
47,140.jpg,,,
48,141.jpg,,,
49,142.jpg,,,
50,143.jpg,,,
51,144.jpg,,,
52,145.jpg,,,
53,146.jpg,,,
54,147.jpg,,,
55,148.jpg,,,
56,149.jpg,,,
57,15.jpg,white,fear,26.0
58,150.jpg,,,
59,151.jpg,,,
60,152.jpg,white,neutral,29.0
61,153.jpg,white,sad,27.0
62,154.jpg,white,angry,29.0
63,155.jpg,white,angry,28.0
64,156.jpg,white,angry,29.0
65,157.jpg,,,
66,158.jpg,,,
67,159.jpg,,,
68,16.jpg,white,angry,27.0
69,160.jpg,,,
70,161.jpg,,,
71,162.jpg,,,
72,163.jpg,white,fear,27.0
73,164.jpg,,,
