,frame,dominant_race,dominant_emotion,age
0,0.jpg,,,
1,1.jpg,,,
2,10.jpg,white,neutral,28.0
3,100.jpg,white,neutral,34.0
4,101.jpg,white,neutral,32.0
5,102.jpg,white,neutral,32.0
6,103.jpg,white,neutral,31.0
7,104.jpg,white,neutral,32.0
8,105.jpg,white,neutral,30.0
9,106.jpg,white,neutral,33.0
10,107.jpg,white,neutral,31.0
11,108.jpg,white,neutral,33.0
12,109.jpg,asian,neutral,39.0
13,11.jpg,white,neutral,36.0
14,110.jpg,white,happy,38.0
15,111.jpg,white,neutral,33.0
16,112.jpg,white,neutral,33.0
17,113.jpg,white,neutral,31.0
18,114.jpg,white,neutral,34.0
19,115.jpg,white,neutral,31.0
20,116.jpg,white,neutral,31.0
21,117.jpg,white,neutral,31.0
22,118.jpg,white,neutral,33.0
23,119.jpg,white,neutral,33.0
24,12.jpg,white,neutral,27.0
25,120.jpg,white,neutral,30.0
26,121.jpg,white,neutral,31.0
27,122.jpg,white,neutral,32.0
28,123.jpg,asian,neutral,35.0
29,124.jpg,white,neutral,35.0
30,125.jpg,white,neutral,31.0
31,126.jpg,white,happy,30.0
32,127.jpg,,,
33,128.jpg,,,
34,13.jpg,white,neutral,33.0
35,14.jpg,white,neutral,31.0
36,15.jpg,white,fear,28.0
37,16.jpg,white,neutral,31.0
38,17.jpg,white,neutral,31.0
39,18.jpg,white,neutral,30.0
40,19.jpg,white,neutral,29.0
41,2.jpg,,,
42,20.jpg,white,neutral,31.0
43,21.jpg,white,neutral,29.0
44,22.jpg,white,neutral,28.0
45,23.jpg,white,neutral,31.0
46,24.jpg,white,neutral,30.0
47,25.jpg,white,neutral,34.0
48,26.jpg,white,neutral,32.0
49,27.jpg,white,neutral,31.0
50,28.jpg,white,neutral,33.0
51,29.jpg,white,neutral,32.0
52,3.jpg,,,
53,30.jpg,white,neutral,33.0
54,31.jpg,white,neutral,29.0
55,32.jpg,white,neutral,39.0
56,33.jpg,white,neutral,37.0
57,34.jpg,white,neutral,35.0
58,35.jpg,white,neutral,30.0
59,36.jpg,white,neutral,30.0
60,37.jpg,white,neutral,32.0
61,38.jpg,white,neutral,33.0
62,39.jpg,white,neutral,30.0
63,4.jpg,white,neutral,38.0
64,40.jpg,white,neutral,31.0
65,41.jpg,white,neutral,30.0
66,42.jpg,white,neutral,30.0
67,43.jpg,white,neutral,33.0
68,44.jpg,white,neutral,32.0
69,45.jpg,white,neutral,30.0
70,46.jpg,white,neutral,28.0
71,47.jpg,white,neutral,33.0
72,48.jpg,white,neutral,30.0
73,49.jpg,white,neutral,31.0
74,5.jpg,white,neutral,28.0
75,50.jpg,white,neutral,30.0
76,51.jpg,white,neutral,32.0
77,52.jpg,white,neutral,29.0
78,53.jpg,white,neutral,30.0
79,54.jpg,white,neutral,30.0
80,55.jpg,white,neutral,29.0
81,56.jpg,white,neutral,31.0
82,57.jpg,white,neutral,28.0
83,58.jpg,white,neutral,31.0
84,59.jpg,white,neutral,30.0
85,6.jpg,white,neutral,27.0
86,60.jpg,white,happy,29.0
87,61.jpg,white,neutral,30.0
88,62.jpg,white,neutral,31.0
89,63.jpg,white,neutral,32.0
90,64.jpg,white,neutral,39.0
91,65.jpg,white,neutral,33.0
92,66.jpg,white,happy,35.0
93,67.jpg,white,neutral,30.0
94,68.jpg,white,neutral,30.0
95,69.jpg,white,neutral,31.0
96,7.jpg,white,neutral,29.0
97,70.jpg,white,neutral,29.0
98,71.jpg,white,neutral,31.0
99,72.jpg,white,neutral,30.0
100,73.jpg,white,neutral,31.0
101,74.jpg,white,neutral,33.0
102,75.jpg,white,happy,33.0
103,76.jpg,white,neutral,30.0
104,77.jpg,white,neutral,30.0
105,78.jpg,white,neutral,30.0
106,79.jpg,white,neutral,30.0
107,8.jpg,white,neutral,30.0
108,80.jpg,white,happy,32.0
109,81.jpg,white,neutral,32.0
110,82.jpg,white,neutral,30.0
111,83.jpg,white,neutral,33.0
112,84.jpg,white,neutral,33.0
113,85.jpg,white,neutral,30.0
114,86.jpg,asian,happy,36.0
115,87.jpg,white,neutral,32.0
116,88.jpg,white,angry,28.0
117,89.jpg,white,neutral,32.0
118,9.jpg,white,neutral,30.0
119,90.jpg,white,happy,33.0
120,91.jpg,white,neutral,33.0
121,92.jpg,white,neutral,31.0
122,93.jpg,white,neutral,29.0
123,94.jpg,asian,angry,39.0
124,95.jpg,white,neutral,33.0
125,96.jpg,white,neutral,31.0
126,97.jpg,white,neutral,32.0
127,98.jpg,white,neutral,32.0
128,99.jpg,white,neutral,30.0
