,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,fear,39.0
1,1.jpg,latino hispanic,disgust,43.0
2,10.jpg,latino hispanic,happy,34.0
3,100.jpg,asian,fear,33.0
4,101.jpg,latino hispanic,fear,35.0
5,102.jpg,middle eastern,neutral,33.0
6,103.jpg,white,fear,36.0
7,104.jpg,asian,fear,36.0
8,105.jpg,asian,neutral,36.0
9,106.jpg,white,fear,39.0
10,107.jpg,white,neutral,35.0
11,108.jpg,asian,fear,31.0
12,109.jpg,middle eastern,happy,35.0
13,11.jpg,,,
14,110.jpg,white,sad,37.0
15,111.jpg,asian,surprise,37.0
16,112.jpg,white,happy,33.0
17,113.jpg,white,happy,32.0
18,114.jpg,white,fear,37.0
19,115.jpg,white,fear,34.0
20,116.jpg,white,happy,31.0
21,117.jpg,latino hispanic,fear,35.0
22,118.jpg,asian,fear,35.0
23,119.jpg,latino hispanic,fear,36.0
24,12.jpg,,,
25,120.jpg,white,fear,35.0
26,121.jpg,white,neutral,35.0
27,122.jpg,white,sad,35.0
28,123.jpg,white,fear,34.0
29,124.jpg,latino hispanic,sad,38.0
30,125.jpg,latino hispanic,happy,33.0
31,126.jpg,latino hispanic,sad,37.0
32,127.jpg,latino hispanic,angry,34.0
33,128.jpg,latino hispanic,sad,33.0
34,129.jpg,white,fear,32.0
35,13.jpg,,,
36,130.jpg,asian,neutral,36.0
37,131.jpg,white,sad,37.0
38,132.jpg,latino hispanic,happy,34.0
39,133.jpg,asian,sad,33.0
40,134.jpg,asian,neutral,35.0
41,135.jpg,latino hispanic,disgust,34.0
42,136.jpg,latino hispanic,surprise,32.0
43,137.jpg,white,surprise,36.0
44,138.jpg,white,neutral,37.0
45,139.jpg,white,angry,35.0
46,14.jpg,,,
47,140.jpg,indian,angry,33.0
48,141.jpg,latino hispanic,neutral,33.0
49,142.jpg,latino hispanic,neutral,32.0
50,143.jpg,white,neutral,36.0
51,144.jpg,white,fear,33.0
52,145.jpg,white,fear,35.0
53,146.jpg,latino hispanic,happy,33.0
54,147.jpg,white,sad,37.0
55,148.jpg,white,neutral,32.0
