,frame,dominant_race,dominant_emotion,age
0,0.jpg,white,happy,28.0
1,1.jpg,white,fear,35.0
2,10.jpg,white,happy,30.0
3,100.jpg,,,
4,101.jpg,,,
5,102.jpg,,,
6,103.jpg,white,fear,23.0
7,104.jpg,white,sad,35.0
8,105.jpg,white,sad,36.0
9,106.jpg,white,neutral,37.0
10,107.jpg,white,sad,37.0
11,108.jpg,,,
12,109.jpg,white,fear,24.0
13,11.jpg,white,neutral,36.0
14,110.jpg,white,happy,36.0
15,111.jpg,white,neutral,36.0
16,112.jpg,asian,neutral,38.0
17,113.jpg,white,sad,35.0
18,114.jpg,white,neutral,33.0
19,115.jpg,,,
20,116.jpg,,,
21,117.jpg,,,
22,118.jpg,white,sad,30.0
23,119.jpg,,,
24,12.jpg,white,happy,30.0
25,120.jpg,,,
26,121.jpg,white,fear,31.0
27,122.jpg,,,
28,123.jpg,,,
29,124.jpg,,,
30,125.jpg,white,fear,35.0
31,126.jpg,white,fear,32.0
32,127.jpg,white,sad,36.0
33,128.jpg,,,
34,129.jpg,white,sad,35.0
35,13.jpg,white,neutral,36.0
36,130.jpg,white,sad,40.0
37,131.jpg,white,fear,34.0
38,132.jpg,white,fear,34.0
39,133.jpg,white,happy,30.0
40,134.jpg,white,neutral,36.0
41,135.jpg,white,neutral,37.0
42,136.jpg,white,sad,34.0
43,137.jpg,white,sad,35.0
44,138.jpg,white,happy,39.0
45,139.jpg,white,sad,34.0
46,14.jpg,white,fear,27.0
47,140.jpg,white,fear,37.0
48,141.jpg,white,surprise,39.0
49,142.jpg,white,fear,36.0
50,143.jpg,white,sad,36.0
51,144.jpg,white,fear,35.0
52,145.jpg,white,neutral,36.0
53,146.jpg,white,surprise,33.0
54,147.jpg,white,neutral,36.0
55,148.jpg,white,fear,36.0
56,149.jpg,white,sad,35.0
57,15.jpg,white,happy,28.0
58,150.jpg,white,fear,35.0
59,151.jpg,white,surprise,41.0
60,152.jpg,white,fear,35.0
61,153.jpg,,,
62,154.jpg,,,
63,155.jpg,,,
64,156.jpg,,,
65,157.jpg,,,
66,158.jpg,,,
67,159.jpg,,,
68,16.jpg,white,sad,36.0
69,160.jpg,,,
70,161.jpg,,,
71,162.jpg,,,
72,163.jpg,,,
73,164.jpg,,,
74,165.jpg,,,
75,166.jpg,,,
76,167.jpg,,,
77,168.jpg,,,
78,169.jpg,white,sad,36.0
79,17.jpg,asian,neutral,32.0
80,170.jpg,white,neutral,35.0
81,171.jpg,white,happy,35.0
82,172.jpg,white,fear,29.0
83,173.jpg,,,
84,174.jpg,white,sad,35.0
85,175.jpg,white,angry,46.0
86,176.jpg,white,fear,37.0
87,177.jpg,white,neutral,38.0
88,178.jpg,white,sad,36.0
89,179.jpg,white,neutral,37.0
90,18.jpg,white,neutral,32.0
91,180.jpg,white,neutral,33.0
92,181.jpg,white,surprise,35.0
93,182.jpg,white,sad,34.0
94,183.jpg,white,neutral,32.0
95,184.jpg,white,neutral,33.0
96,185.jpg,white,fear,36.0
97,186.jpg,asian,sad,33.0
98,187.jpg,white,neutral,35.0
99,188.jpg,white,neutral,34.0
100,189.jpg,white,happy,34.0
101,19.jpg,white,happy,32.0
102,190.jpg,white,neutral,38.0
103,191.jpg,white,fear,37.0
104,192.jpg,white,sad,26.0
105,193.jpg,white,sad,35.0
106,194.jpg,white,neutral,33.0
107,195.jpg,white,happy,30.0
108,196.jpg,asian,happy,27.0
109,197.jpg,black,happy,28.0
110,198.jpg,white,neutral,35.0
111,199.jpg,white,fear,35.0
112,2.jpg,white,neutral,35.0
113,20.jpg,white,fear,42.0
114,200.jpg,white,surprise,39.0
115,201.jpg,white,neutral,36.0
116,202.jpg,,,
117,203.jpg,,,
118,204.jpg,white,fear,41.0
119,205.jpg,white,fear,35.0
120,206.jpg,white,neutral,36.0
121,207.jpg,,,
122,208.jpg,,,
123,209.jpg,,,
124,21.jpg,white,neutral,34.0
125,210.jpg,,,
126,211.jpg,,,
127,212.jpg,,,
128,213.jpg,,,
129,214.jpg,,,
130,215.jpg,white,neutral,39.0
131,216.jpg,white,neutral,35.0
132,217.jpg,asian,fear,39.0
133,218.jpg,white,angry,37.0
134,219.jpg,white,surprise,33.0
135,22.jpg,white,sad,36.0
136,220.jpg,white,sad,35.0
137,221.jpg,white,happy,35.0
138,222.jpg,white,neutral,35.0
139,223.jpg,white,surprise,41.0
140,224.jpg,white,neutral,33.0
141,225.jpg,white,neutral,36.0
142,226.jpg,white,fear,31.0
143,227.jpg,white,sad,39.0
144,228.jpg,white,happy,34.0
145,229.jpg,white,happy,42.0
146,23.jpg,white,happy,27.0
147,230.jpg,white,happy,34.0
148,231.jpg,white,angry,35.0
149,232.jpg,white,happy,31.0
150,233.jpg,white,sad,35.0
151,234.jpg,white,neutral,32.0
152,235.jpg,,,
153,236.jpg,,,
154,237.jpg,,,
155,238.jpg,,,
156,239.jpg,,,
157,24.jpg,white,happy,26.0
158,240.jpg,,,
159,241.jpg,,,
160,242.jpg,,,
161,243.jpg,white,happy,25.0
162,244.jpg,white,angry,24.0
163,245.jpg,white,happy,24.0
164,246.jpg,white,neutral,26.0
165,247.jpg,white,fear,23.0
166,248.jpg,white,neutral,25.0
167,249.jpg,white,happy,25.0
168,25.jpg,latino hispanic,happy,27.0
169,250.jpg,,,
170,251.jpg,,,
171,252.jpg,white,neutral,41.0
172,253.jpg,white,fear,39.0
173,254.jpg,white,neutral,37.0
174,255.jpg,white,surprise,31.0
175,256.jpg,white,fear,34.0
176,257.jpg,white,fear,40.0
177,258.jpg,white,fear,35.0
178,259.jpg,white,neutral,34.0
179,26.jpg,latino hispanic,happy,27.0
180,260.jpg,white,neutral,33.0
181,261.jpg,white,sad,35.0
182,262.jpg,white,angry,34.0
183,263.jpg,white,fear,45.0
184,264.jpg,white,sad,36.0
185,265.jpg,white,fear,47.0
186,266.jpg,white,neutral,34.0
187,267.jpg,white,neutral,35.0
188,268.jpg,white,fear,38.0
189,269.jpg,white,sad,35.0
190,27.jpg,latino hispanic,happy,27.0
191,270.jpg,white,fear,30.0
